frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C0,publication_count,-8,-0.046044,0.096338,0.632688,-0.234867,0.142778,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-7,0.015766,0.076394,0.836493,-0.133966,0.165498,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-6,0.090374,0.079187,0.253755,-0.064832,0.245580,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-5,-0.198881,0.253069,0.431941,-0.694897,0.297135,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-4,0.037813,0.070151,0.589875,-0.099684,0.175310,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-3,0.099853,0.096878,0.302678,-0.090028,0.289733,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,-2,0.082271,0.101383,0.417086,-0.116439,0.280981,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,0,0.231557,0.174081,0.183463,-0.109642,0.572756,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,1,0.062390,0.132977,0.638939,-0.198244,0.323025,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,2,0.227361,0.144035,0.114449,-0.054948,0.509671,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,3,0.128804,0.126751,0.309537,-0.119628,0.377235,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,4,0.089688,0.059029,0.128665,-0.026009,0.205386,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,5,0.124687,0.104430,0.232488,-0.079996,0.329371,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,6,-0.012866,0.148748,0.931074,-0.304412,0.278681,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,publication_count,7,0.126339,0.073383,0.085136,-0.017492,0.270170,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-8,-0.002029,0.041050,0.960588,-0.082487,0.078430,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-7,0.006124,0.040288,0.879182,-0.072841,0.085089,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-6,0.025323,0.038142,0.506750,-0.049435,0.100080,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-5,0.021224,0.036521,0.561140,-0.050357,0.092806,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-4,0.022383,0.036092,0.535141,-0.048357,0.093124,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-3,0.010584,0.035070,0.762803,-0.058153,0.079322,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,-2,-0.013607,0.049955,0.785322,-0.111518,0.084304,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,0,0.060031,0.045403,0.186105,-0.028958,0.149021,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,1,-0.067962,0.066265,0.305072,-0.197842,0.061917,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,2,0.047521,0.032668,0.145758,-0.016508,0.111549,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,3,-0.011738,0.057065,0.837035,-0.123585,0.100110,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,4,-0.001199,0.035191,0.972822,-0.070173,0.067775,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,5,0.001068,0.057780,0.985258,-0.112182,0.114317,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C0,any_publication,6,0.069496,0.033152,0.036059,0.004517,0.134474,2024Q2,app_fe_quarter_fe_project_age_bin_fe
