app_id,project_start_date,project_start_year,post_policy_start,original_stage3_classification,stage3_confidence,control_layer,cumulative_control_C0,cumulative_control_C01,cumulative_control_C03,cumulative_control_C05,cumulative_control_C06,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05,regression_group_CONTROL_C06,pub_pre24,pub_post24,any_pub_pre24,any_pub_post24,delta_pub24,delta_any_pub24,p1_existing_project_sample,publication_6m,publication_12m,publication_18m,any_publication_6m,any_publication_12m,any_publication_18m,sufficient_followup_6m,sufficient_followup_12m,sufficient_followup_18m,p2_entry_cohort,dmca_strict_21,dmca_main_27,dmca_broad_48,dmca_notice_count,dmca_lineage_count,first_dmca_notice_date,dmca_count_note,stage3_already_rap_modalities,stage3_legacy_route_modalities,schema27_title,schema27_pi,schema27_institution,website_url
132,2012-08-31,2012,0,UNCLEAR,LOW,,0,0,0,0,0,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,,Prevalence of stroke and identification of associated risk factors,Dr Jonathan Hewitt,Western Infirmary,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/
166,2012-09-30,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",Dr Piers Dawes,University of Manchester,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/
178,2012-10-01,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Dr Lesley Rushton,Imperial College London,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/
236,2015-07-01,2015,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,4,2,1,1,-2,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,GENOTYPING_IMPUTATION|LINKED_HEALTH_RECORDS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Genome-wide association study of blood pressure.,Professor Paul Elliott,Imperial College London,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/
262,2013-12-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,Dr Soren Brage,University of Cambridge,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/
270,2012-06-01,2012,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES,Development of BMI specific cut offs for fat free mass index,Dr Martijn Spruit,CIRO+,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/
289,2012-07-01,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Development of normative values for hand grip strength,Dr Martijn Spruit,CIRO+,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/
291,2012-09-01,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Multimorbidity in participants with and without COPD,Dr Martijn Spruit,CIRO+,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/
338,2013-04-15,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,BIOMARKERS_ASSAYS|IMAGING|QUESTIONNAIRES_ASSESSMENT,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,Dr Thomas MacGillivray,University of Edinburgh,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/
408,2013-12-01,2013,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,2,0,1,0,-2,-1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES,Derivation of fitness indicators and their relation with hemodynamic factors,Dr Soren Brage,University of Cambridge,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/
