app_id,pub_id,publication_date,publication_year,project_start_date,months_since_project_start,publication_before_or_after_policy,title,doi,pubmed_id,journal
132,4542,2016-03-22,2016,2012-08-31,42,before_policy,Cohort profile of the UK Biobank: diagnosis and characteristics of cerebrovascular disease,10.1136/bmjopen-2015-009161,27006341,BMJ Open
166,4490,2014-05-28,2014,2012-09-30,19,before_policy,"Cigarette Smoking, Passive Smoking, Alcohol Consumption, and Hearing Loss",10.1007/s10162-014-0461-0,24899378,Journal of the Association for Research in Otolaryngology
166,4609,2019-01-17,2019,2012-09-30,75,before_policy,Correlates of Hearing Aid Use in UK Adults,10.1097/aud.0000000000000695,30664127,Ear & Hearing
166,5660,2019-07-25,2019,2012-09-30,81,before_policy,"Relationship Between Diet, Tinnitus, and Hearing Difficulties",10.1097/aud.0000000000000765,31356390,Ear & Hearing
166,7321,2020-12-10,2020,2012-09-30,98,before_policy,Natural history of tinnitus in adults: a cross-sectional and longitudinal analysis,10.1136/bmjopen-2020-041290,33303456,BMJ Open
166,7383,2015-03-11,2015,2012-09-30,29,before_policy,"Hearing Loss and Cognition: The Role of Hearing Aids, Social Isolation and Depression",10.1371/journal.pone.0119616,25760329,PLOS ONE
166,7384,2015-03-13,2015,2012-09-30,29,before_policy,"Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population",10.3109/14992027.2015.1014577,25766493,International Journal of Audiology
166,7385,2015-08-24,2015,2012-09-30,34,before_policy,"The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood",10.1371/journal.pone.0136590,26302374,PLOS ONE
166,7554,2014-05-01,2014,2012-09-30,19,before_policy,Hearing in Middle Age,10.1097/aud.0000000000000010,24518430,Ear & Hearing
166,8404,2014-05-29,2014,2012-09-30,19,before_policy,Vision impairment and dual sensory problems in middle age,10.1111/opo.12138,24888710,Ophthalmic & Physiological Optics
166,8406,2014-09-17,2014,2012-09-30,23,before_policy,"Relation between Speech-in-Noise Threshold, Hearing Loss and Cognition from 40-69 Years of Age",10.1371/journal.pone.0107720,25229622,PLOS ONE
178,5878,2019-06-27,2019,2012-10-01,80,before_policy,The occupations at increased risk of COPD: analysis of lifetime job-histories in the population-based UK Biobank Cohort,10.1183/13993003.00186-2019,31248951,European Respiratory Journal
178,8423,2016-03-21,2016,2012-10-01,41,before_policy,Occupations associated with COPD risk in the large population-based UK Biobank cohort study,10.1136/oemed-2015-103406,27001997,Occupational and Environmental Medicine
178,12584,2022-01-26,2022,2012-10-01,111,before_policy,Lifetime occupational exposures and chronic obstructive pulmonary disease risk in the UK Biobank cohort,10.1136/thoraxjnl-2020-216523,35082144,Thorax
236,585,2017-01-30,2017,2015-07-01,18,before_policy,Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk,10.1038/ng.3768,28135244,Nature Genetics
236,3391,2019-08-13,2019,2015-07-01,49,before_policy,GWAS for urinary sodium and potassium excretion highlights pathways shared with cardiovascular traits,10.1038/s41467-019-11451-y,31409800,Nature Communications
236,4885,2021-05-10,2021,2015-07-01,70,before_policy,Genetic analysis in European ancestry individuals identifies 517 loci associated with liver enzymes,10.1038/s41467-021-22338-2,33972514,Nature Communications
236,5539,2020-12-18,2020,2015-07-01,65,before_policy,"Phospholemman Phosphorylation Regulates Vascular Tone, Blood Pressure, and Hypertension in Mice and Humans",10.1161/circulationaha.119.040557,33334125,Circulation
236,7532,2017-10-10,2017,2015-07-01,27,before_policy,The biological impact of blood pressure-associated genetic variants in the natriuretic peptide receptor C gene on human vascular smooth muscle,10.1093/hmg/ddx375,29040610,Human Molecular Genetics
236,8480,2017-09-04,2017,2015-07-01,26,before_policy,Genome-Wide Association Study of Blood Pressure Traits by Hispanic/Latino Background: the Hispanic Community Health Study/Study of Latinos,10.1038/s41598-017-09019-1,28871152,Scientific Reports
236,8486,2017-10-01,2017,2015-07-01,27,before_policy,New Blood Pressure-Associated Loci Identified in Meta-Analyses of 475 000 Individuals,10.1161/circgenetics.117.001778,29030403,Circulation Genomic and Precision Medicine
236,8504,2017-12-18,2017,2015-07-01,29,before_policy,Genetic Predisposition to High Blood Pressure and Lifestyle Factors,10.1161/circulationaha.117.030898,29254930,Circulation
236,8544,2018-06-18,2018,2015-07-01,35,before_policy,Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries,10.1371/journal.pone.0198166,29912962,PLOS ONE
236,8566,2018-09-17,2018,2015-07-01,38,before_policy,Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits,10.1038/s41588-018-0205-x,30224653,Nature Genetics
236,9114,2020-05-18,2020,2015-07-01,58,before_policy,Early exposure to social disadvantages and later life body mass index beyond genetic predisposition in three generations of Finnish birth cohorts,10.1186/s12889-020-08763-w,32423423,BMC Public Health
236,9139,2023-12-20,2023,2015-07-01,101,before_policy,Association between systolic blood pressure and low-density lipoprotein cholesterol with coronary heart disease according to age,10.1371/journal.pone.0295004,38117700,PLOS ONE
236,9319,2020-12-28,2020,2015-07-01,65,before_policy,"Urate, Blood Pressure, and Cardiovascular Disease",10.1161/hypertensionaha.120.16547,33356394,Hypertension
236,9336,2023-10-24,2023,2015-07-01,99,before_policy,Multiple long-term conditions in people with psoriasis: a latent class and bidirectional Mendelian randomization analysis,10.1093/bjd/ljad410,37874776,British Journal of Dermatology
236,10724,2022-11-26,2022,2015-07-01,88,before_policy,Associations of Genetically Predicted Vitamin B12 Status across the Phenome,10.3390/nu14235031,36501061,Nutrients
