month,month_start,at_risk_incumbent_projects,publication_app_links,apps_with_any_publication,publications_per_100_at_risk_projects,any_publication_rate_percent,post_transition,transition_pause_window_jul_sep_2024,april_2026_platform_shock_or_after
2022-07,2022-07-01,2915,115,100,3.95,3.43,0,0,0
2022-08,2022-08-01,2988,129,108,4.32,3.61,0,0,0
2022-09,2022-09-01,3082,114,97,3.70,3.15,0,0,0
2022-10,2022-10-01,3117,128,110,4.11,3.53,0,0,0
2022-11,2022-11-01,3191,123,100,3.85,3.13,0,0,0
2022-12,2022-12-01,3263,114,99,3.49,3.03,0,0,0
2023-01,2023-01-01,3321,143,120,4.31,3.61,0,0,0
2023-02,2023-02-01,3370,143,118,4.24,3.50,0,0,0
2023-03,2023-03-01,3443,149,133,4.33,3.86,0,0,0
2023-04,2023-04-01,3501,128,103,3.66,2.94,0,0,0
2023-05,2023-05-01,3564,130,107,3.65,3.00,0,0,0
2023-06,2023-06-01,3640,158,130,4.34,3.57,0,0,0
2023-07,2023-07-01,3702,137,118,3.70,3.19,0,0,0
2023-08,2023-08-01,3760,142,124,3.78,3.30,0,0,0
2023-09,2023-09-01,3817,140,115,3.67,3.01,0,0,0
2023-10,2023-10-01,3888,136,111,3.50,2.85,0,0,0
2023-11,2023-11-01,3968,164,133,4.13,3.35,0,0,0
2023-12,2023-12-01,4005,131,122,3.27,3.05,0,0,0
2024-01,2024-01-01,4080,173,143,4.24,3.50,0,0,0
2024-02,2024-02-01,4131,128,112,3.10,2.71,0,0,0
2024-03,2024-03-01,4214,163,139,3.87,3.30,0,0,0
2024-04,2024-04-01,4286,184,153,4.29,3.57,0,0,0
2024-05,2024-05-01,4319,179,157,4.14,3.64,0,0,0
2024-06,2024-06-01,4329,156,135,3.60,3.12,0,0,0
2024-07,2024-07-01,4332,201,157,4.64,3.62,1,1,0
2024-08,2024-08-01,4332,190,157,4.39,3.62,1,1,0
2024-09,2024-09-01,4332,148,131,3.42,3.02,1,1,0
2024-10,2024-10-01,4332,176,153,4.06,3.53,1,0,0
2024-11,2024-11-01,4332,175,145,4.04,3.35,1,0,0
2024-12,2024-12-01,4332,156,136,3.60,3.14,1,0,0
2025-01,2025-01-01,4332,230,190,5.31,4.39,1,0,0
2025-02,2025-02-01,4332,178,153,4.11,3.53,1,0,0
2025-03,2025-03-01,4332,221,178,5.10,4.11,1,0,0
2025-04,2025-04-01,4332,214,190,4.94,4.39,1,0,0
2025-05,2025-05-01,4332,217,188,5.01,4.34,1,0,0
2025-06,2025-06-01,4332,192,165,4.43,3.81,1,0,0
2025-07,2025-07-01,4332,277,228,6.39,5.26,1,0,0
2025-08,2025-08-01,4332,257,212,5.93,4.89,1,0,0
2025-09,2025-09-01,4332,215,187,4.96,4.32,1,0,0
2025-10,2025-10-01,4332,253,200,5.84,4.62,1,0,0
2025-11,2025-11-01,4332,209,178,4.82,4.11,1,0,0
2025-12,2025-12-01,4332,247,206,5.70,4.76,1,0,0
2026-01,2026-01-01,4332,276,236,6.37,5.45,1,0,0
2026-02,2026-02-01,4332,218,193,5.03,4.46,1,0,0
2026-03,2026-03-01,4332,239,195,5.52,4.50,1,0,0
2026-04,2026-04-01,4332,255,212,5.89,4.89,1,0,1
2026-05,2026-05-01,4332,210,179,4.85,4.13,1,0,1
2026-06,2026-06-01,4332,123,110,2.84,2.54,1,0,1
