month,month_start,new_projects,post_transition_month,transition_pause_window_jul_sep_2024,october_2024_restart,april_2026_institutional_platform_shock_or_after
2012-06,2012-06-01,1,0,0,0,0
2012-07,2012-07-01,1,0,0,0,0
2012-08,2012-08-01,1,0,0,0,0
2012-09,2012-09-01,4,0,0,0,0
2012-10,2012-10-01,2,0,0,0,0
2012-11,2012-11-01,3,0,0,0,0
2012-12,2012-12-01,1,0,0,0,0
2013-01,2013-01-01,2,0,0,0,0
2013-02,2013-02-01,1,0,0,0,0
2013-03,2013-03-01,3,0,0,0,0
2013-04,2013-04-01,1,0,0,0,0
2013-05,2013-05-01,0,0,0,0,0
2013-06,2013-06-01,5,0,0,0,0
2013-07,2013-07-01,4,0,0,0,0
2013-08,2013-08-01,0,0,0,0,0
2013-09,2013-09-01,4,0,0,0,0
2013-10,2013-10-01,2,0,0,0,0
2013-11,2013-11-01,0,0,0,0,0
2013-12,2013-12-01,4,0,0,0,0
2014-01,2014-01-01,4,0,0,0,0
2014-02,2014-02-01,0,0,0,0,0
2014-03,2014-03-01,4,0,0,0,0
2014-04,2014-04-01,1,0,0,0,0
2014-05,2014-05-01,1,0,0,0,0
2014-06,2014-06-01,2,0,0,0,0
2014-07,2014-07-01,9,0,0,0,0
2014-08,2014-08-01,2,0,0,0,0
2014-09,2014-09-01,8,0,0,0,0
2014-10,2014-10-01,2,0,0,0,0
2014-11,2014-11-01,1,0,0,0,0
2014-12,2014-12-01,12,0,0,0,0
2015-01,2015-01-01,9,0,0,0,0
2015-02,2015-02-01,7,0,0,0,0
2015-03,2015-03-01,3,0,0,0,0
2015-04,2015-04-01,16,0,0,0,0
2015-05,2015-05-01,10,0,0,0,0
2015-06,2015-06-01,6,0,0,0,0
2015-07,2015-07-01,15,0,0,0,0
2015-08,2015-08-01,11,0,0,0,0
2015-09,2015-09-01,23,0,0,0,0
2015-10,2015-10-01,33,0,0,0,0
2015-11,2015-11-01,8,0,0,0,0
2015-12,2015-12-01,11,0,0,0,0
2016-01,2016-01-01,20,0,0,0,0
2016-02,2016-02-01,11,0,0,0,0
2016-03,2016-03-01,15,0,0,0,0
2016-04,2016-04-01,22,0,0,0,0
2016-05,2016-05-01,19,0,0,0,0
2016-06,2016-06-01,20,0,0,0,0
2016-07,2016-07-01,16,0,0,0,0
2016-08,2016-08-01,14,0,0,0,0
2016-09,2016-09-01,10,0,0,0,0
2016-10,2016-10-01,14,0,0,0,0
2016-11,2016-11-01,21,0,0,0,0
2016-12,2016-12-01,11,0,0,0,0
2017-01,2017-01-01,22,0,0,0,0
2017-02,2017-02-01,14,0,0,0,0
2017-03,2017-03-01,17,0,0,0,0
2017-04,2017-04-01,26,0,0,0,0
2017-05,2017-05-01,16,0,0,0,0
2017-06,2017-06-01,17,0,0,0,0
2017-07,2017-07-01,21,0,0,0,0
2017-08,2017-08-01,8,0,0,0,0
2017-09,2017-09-01,10,0,0,0,0
2017-10,2017-10-01,4,0,0,0,0
2017-11,2017-11-01,4,0,0,0,0
2017-12,2017-12-01,0,0,0,0,0
2018-01,2018-01-01,0,0,0,0,0
2018-02,2018-02-01,14,0,0,0,0
2018-03,2018-03-01,20,0,0,0,0
2018-04,2018-04-01,19,0,0,0,0
2018-05,2018-05-01,14,0,0,0,0
2018-06,2018-06-01,27,0,0,0,0
2018-07,2018-07-01,38,0,0,0,0
2018-08,2018-08-01,25,0,0,0,0
2018-09,2018-09-01,43,0,0,0,0
2018-10,2018-10-01,40,0,0,0,0
2018-11,2018-11-01,44,0,0,0,0
2018-12,2018-12-01,32,0,0,0,0
2019-01,2019-01-01,40,0,0,0,0
2019-02,2019-02-01,40,0,0,0,0
2019-03,2019-03-01,52,0,0,0,0
2019-04,2019-04-01,35,0,0,0,0
2019-05,2019-05-01,60,0,0,0,0
2019-06,2019-06-01,33,0,0,0,0
2019-07,2019-07-01,50,0,0,0,0
2019-08,2019-08-01,27,0,0,0,0
2019-09,2019-09-01,31,0,0,0,0
2019-10,2019-10-01,43,0,0,0,0
2019-11,2019-11-01,52,0,0,0,0
2019-12,2019-12-01,29,0,0,0,0
2020-01,2020-01-01,53,0,0,0,0
2020-02,2020-02-01,47,0,0,0,0
2020-03,2020-03-01,91,0,0,0,0
2020-04,2020-04-01,51,0,0,0,0
2020-05,2020-05-01,36,0,0,0,0
2020-06,2020-06-01,69,0,0,0,0
2020-07,2020-07-01,53,0,0,0,0
2020-08,2020-08-01,49,0,0,0,0
2020-09,2020-09-01,46,0,0,0,0
2020-10,2020-10-01,29,0,0,0,0
2020-11,2020-11-01,40,0,0,0,0
2020-12,2020-12-01,5,0,0,0,0
2021-01,2021-01-01,87,0,0,0,0
2021-02,2021-02-01,56,0,0,0,0
2021-03,2021-03-01,78,0,0,0,0
2021-04,2021-04-01,40,0,0,0,0
2021-05,2021-05-01,40,0,0,0,0
2021-06,2021-06-01,44,0,0,0,0
2021-07,2021-07-01,25,0,0,0,0
2021-08,2021-08-01,20,0,0,0,0
2021-09,2021-09-01,33,0,0,0,0
2021-10,2021-10-01,46,0,0,0,0
2021-11,2021-11-01,42,0,0,0,0
2021-12,2021-12-01,35,0,0,0,0
2022-01,2022-01-01,36,0,0,0,0
2022-02,2022-02-01,62,0,0,0,0
2022-03,2022-03-01,81,0,0,0,0
2022-04,2022-04-01,59,0,0,0,0
2022-05,2022-05-01,66,0,0,0,0
2022-06,2022-06-01,46,0,0,0,0
2022-07,2022-07-01,53,0,0,0,0
2022-08,2022-08-01,73,0,0,0,0
2022-09,2022-09-01,94,0,0,0,0
2022-10,2022-10-01,35,0,0,0,0
2022-11,2022-11-01,74,0,0,0,0
2022-12,2022-12-01,72,0,0,0,0
2023-01,2023-01-01,58,0,0,0,0
2023-02,2023-02-01,49,0,0,0,0
2023-03,2023-03-01,73,0,0,0,0
2023-04,2023-04-01,58,0,0,0,0
2023-05,2023-05-01,63,0,0,0,0
2023-06,2023-06-01,76,0,0,0,0
2023-07,2023-07-01,62,0,0,0,0
2023-08,2023-08-01,58,0,0,0,0
2023-09,2023-09-01,57,0,0,0,0
2023-10,2023-10-01,71,0,0,0,0
2023-11,2023-11-01,80,0,0,0,0
2023-12,2023-12-01,37,0,0,0,0
2024-01,2024-01-01,75,0,0,0,0
2024-02,2024-02-01,51,0,0,0,0
2024-03,2024-03-01,83,0,0,0,0
2024-04,2024-04-01,72,0,0,0,0
2024-05,2024-05-01,33,0,0,0,0
2024-06,2024-06-01,10,0,0,0,0
2024-07,2024-07-01,3,1,1,0,0
2024-08,2024-08-01,0,1,1,0,0
2024-09,2024-09-01,1,1,1,0,0
2024-10,2024-10-01,208,1,0,1,0
2024-11,2024-11-01,156,1,0,0,0
2024-12,2024-12-01,106,1,0,0,0
2025-01,2025-01-01,100,1,0,0,0
2025-02,2025-02-01,110,1,0,0,0
2025-03,2025-03-01,110,1,0,0,0
2025-04,2025-04-01,181,1,0,0,0
2025-05,2025-05-01,126,1,0,0,0
2025-06,2025-06-01,160,1,0,0,0
2025-07,2025-07-01,191,1,0,0,0
2025-08,2025-08-01,117,1,0,0,0
2025-09,2025-09-01,165,1,0,0,0
2025-10,2025-10-01,131,1,0,0,0
2025-11,2025-11-01,169,1,0,0,0
2025-12,2025-12-01,102,1,0,0,0
2026-01,2026-01-01,145,1,0,0,0
2026-02,2026-02-01,119,1,0,0,0
2026-03,2026-03-01,141,1,0,0,0
2026-04,2026-04-01,63,1,0,0,1
2026-05,2026-05-01,0,1,0,0,1
2026-06,2026-06-01,0,1,0,0,1
2026-07,2026-07-01,1,1,0,0,1
2026-08,2026-08-01,1,1,0,0,1
