quarter,quarter_start,quarter_end,new_projects,post_transition_quarter,transition_quarter_2024q3,april_2026_institutional_platform_shock_or_after
2012Q2,2012-04-01,2012-06-30,1,0,0,0
2012Q3,2012-07-01,2012-09-30,6,0,0,0
2012Q4,2012-10-01,2012-12-31,6,0,0,0
2013Q1,2013-01-01,2013-03-31,6,0,0,0
2013Q2,2013-04-01,2013-06-30,6,0,0,0
2013Q3,2013-07-01,2013-09-30,8,0,0,0
2013Q4,2013-10-01,2013-12-31,6,0,0,0
2014Q1,2014-01-01,2014-03-31,8,0,0,0
2014Q2,2014-04-01,2014-06-30,4,0,0,0
2014Q3,2014-07-01,2014-09-30,19,0,0,0
2014Q4,2014-10-01,2014-12-31,15,0,0,0
2015Q1,2015-01-01,2015-03-31,19,0,0,0
2015Q2,2015-04-01,2015-06-30,32,0,0,0
2015Q3,2015-07-01,2015-09-30,49,0,0,0
2015Q4,2015-10-01,2015-12-31,52,0,0,0
2016Q1,2016-01-01,2016-03-31,46,0,0,0
2016Q2,2016-04-01,2016-06-30,61,0,0,0
2016Q3,2016-07-01,2016-09-30,40,0,0,0
2016Q4,2016-10-01,2016-12-31,46,0,0,0
2017Q1,2017-01-01,2017-03-31,53,0,0,0
2017Q2,2017-04-01,2017-06-30,59,0,0,0
2017Q3,2017-07-01,2017-09-30,39,0,0,0
2017Q4,2017-10-01,2017-12-31,8,0,0,0
2018Q1,2018-01-01,2018-03-31,34,0,0,0
2018Q2,2018-04-01,2018-06-30,60,0,0,0
2018Q3,2018-07-01,2018-09-30,106,0,0,0
2018Q4,2018-10-01,2018-12-31,116,0,0,0
2019Q1,2019-01-01,2019-03-31,132,0,0,0
2019Q2,2019-04-01,2019-06-30,128,0,0,0
2019Q3,2019-07-01,2019-09-30,108,0,0,0
2019Q4,2019-10-01,2019-12-31,124,0,0,0
2020Q1,2020-01-01,2020-03-31,191,0,0,0
2020Q2,2020-04-01,2020-06-30,156,0,0,0
2020Q3,2020-07-01,2020-09-30,148,0,0,0
2020Q4,2020-10-01,2020-12-31,74,0,0,0
2021Q1,2021-01-01,2021-03-31,221,0,0,0
2021Q2,2021-04-01,2021-06-30,124,0,0,0
2021Q3,2021-07-01,2021-09-30,78,0,0,0
2021Q4,2021-10-01,2021-12-31,123,0,0,0
2022Q1,2022-01-01,2022-03-31,179,0,0,0
2022Q2,2022-04-01,2022-06-30,171,0,0,0
2022Q3,2022-07-01,2022-09-30,220,0,0,0
2022Q4,2022-10-01,2022-12-31,181,0,0,0
2023Q1,2023-01-01,2023-03-31,180,0,0,0
2023Q2,2023-04-01,2023-06-30,197,0,0,0
2023Q3,2023-07-01,2023-09-30,177,0,0,0
2023Q4,2023-10-01,2023-12-31,188,0,0,0
2024Q1,2024-01-01,2024-03-31,209,0,0,0
2024Q2,2024-04-01,2024-06-30,115,0,0,0
2024Q3,2024-07-01,2024-09-30,4,1,1,0
2024Q4,2024-10-01,2024-12-31,470,1,0,0
2025Q1,2025-01-01,2025-03-31,320,1,0,0
2025Q2,2025-04-01,2025-06-30,467,1,0,0
2025Q3,2025-07-01,2025-09-30,473,1,0,0
2025Q4,2025-10-01,2025-12-31,402,1,0,0
2026Q1,2026-01-01,2026-03-31,405,1,0,0
2026Q2,2026-04-01,2026-06-30,63,1,0,1
2026Q3,2026-07-01,2026-09-30,2,1,0,1
