date,daily_recorded_project_starts,month,institution_count,top_institution_share_if_feasible
2024-04-01,0,2024-04,0,
2024-04-02,0,2024-04,0,
2024-04-03,4,2024-04,4,0.2500
2024-04-04,13,2024-04,13,0.0769
2024-04-05,6,2024-04,6,0.1667
2024-04-06,0,2024-04,0,
2024-04-07,0,2024-04,0,
2024-04-08,0,2024-04,0,
2024-04-09,0,2024-04,0,
2024-04-10,6,2024-04,6,0.1667
2024-04-11,1,2024-04,1,1.0000
2024-04-12,0,2024-04,0,
2024-04-13,0,2024-04,0,
2024-04-14,0,2024-04,0,
2024-04-15,2,2024-04,2,0.5000
2024-04-16,14,2024-04,14,0.0714
2024-04-17,7,2024-04,7,0.1429
2024-04-18,0,2024-04,0,
2024-04-19,0,2024-04,0,
2024-04-20,0,2024-04,0,
2024-04-21,0,2024-04,0,
2024-04-22,0,2024-04,0,
2024-04-23,2,2024-04,2,0.5000
2024-04-24,1,2024-04,1,1.0000
2024-04-25,0,2024-04,0,
2024-04-26,0,2024-04,0,
2024-04-27,0,2024-04,0,
2024-04-28,0,2024-04,0,
2024-04-29,0,2024-04,0,
2024-04-30,16,2024-04,16,0.0625
2024-05-01,5,2024-05,5,0.2000
2024-05-02,1,2024-05,1,1.0000
2024-05-03,2,2024-05,2,0.5000
2024-05-04,0,2024-05,0,
2024-05-05,0,2024-05,0,
2024-05-06,0,2024-05,0,
2024-05-07,0,2024-05,0,
2024-05-08,12,2024-05,12,0.0833
2024-05-09,2,2024-05,2,0.5000
2024-05-10,1,2024-05,1,1.0000
2024-05-11,0,2024-05,0,
2024-05-12,0,2024-05,0,
2024-05-13,3,2024-05,3,0.3333
2024-05-14,2,2024-05,2,0.5000
2024-05-15,3,2024-05,3,0.3333
2024-05-16,0,2024-05,0,
2024-05-17,0,2024-05,0,
2024-05-18,0,2024-05,0,
2024-05-19,0,2024-05,0,
2024-05-20,0,2024-05,0,
2024-05-21,0,2024-05,0,
2024-05-22,2,2024-05,1,1.0000
2024-05-23,0,2024-05,0,
2024-05-24,0,2024-05,0,
2024-05-25,0,2024-05,0,
2024-05-26,0,2024-05,0,
2024-05-27,0,2024-05,0,
2024-05-28,0,2024-05,0,
2024-05-29,0,2024-05,0,
2024-05-30,0,2024-05,0,
2024-05-31,0,2024-05,0,
2024-06-01,0,2024-06,0,
2024-06-02,0,2024-06,0,
2024-06-03,0,2024-06,0,
2024-06-04,0,2024-06,0,
2024-06-05,0,2024-06,0,
2024-06-06,1,2024-06,1,1.0000
2024-06-07,0,2024-06,0,
2024-06-08,0,2024-06,0,
2024-06-09,0,2024-06,0,
2024-06-10,0,2024-06,0,
2024-06-11,0,2024-06,0,
2024-06-12,0,2024-06,0,
2024-06-13,0,2024-06,0,
2024-06-14,0,2024-06,0,
2024-06-15,0,2024-06,0,
2024-06-16,0,2024-06,0,
2024-06-17,0,2024-06,0,
2024-06-18,7,2024-06,7,0.1429
2024-06-19,2,2024-06,2,0.5000
2024-06-20,0,2024-06,0,
2024-06-21,0,2024-06,0,
2024-06-22,0,2024-06,0,
2024-06-23,0,2024-06,0,
2024-06-24,0,2024-06,0,
2024-06-25,0,2024-06,0,
2024-06-26,0,2024-06,0,
2024-06-27,0,2024-06,0,
2024-06-28,0,2024-06,0,
2024-06-29,0,2024-06,0,
2024-06-30,0,2024-06,0,
2024-07-01,1,2024-07,1,1.0000
2024-07-02,1,2024-07,1,1.0000
2024-07-03,0,2024-07,0,
2024-07-04,1,2024-07,1,1.0000
2024-07-05,0,2024-07,0,
2024-07-06,0,2024-07,0,
2024-07-07,0,2024-07,0,
2024-07-08,0,2024-07,0,
2024-07-09,0,2024-07,0,
2024-07-10,0,2024-07,0,
2024-07-11,0,2024-07,0,
2024-07-12,0,2024-07,0,
2024-07-13,0,2024-07,0,
2024-07-14,0,2024-07,0,
2024-07-15,0,2024-07,0,
2024-07-16,0,2024-07,0,
2024-07-17,0,2024-07,0,
2024-07-18,0,2024-07,0,
2024-07-19,0,2024-07,0,
2024-07-20,0,2024-07,0,
2024-07-21,0,2024-07,0,
2024-07-22,0,2024-07,0,
2024-07-23,0,2024-07,0,
2024-07-24,0,2024-07,0,
2024-07-25,0,2024-07,0,
2024-07-26,0,2024-07,0,
2024-07-27,0,2024-07,0,
2024-07-28,0,2024-07,0,
2024-07-29,0,2024-07,0,
2024-07-30,0,2024-07,0,
2024-07-31,0,2024-07,0,
2024-08-01,0,2024-08,0,
2024-08-02,0,2024-08,0,
2024-08-03,0,2024-08,0,
2024-08-04,0,2024-08,0,
2024-08-05,0,2024-08,0,
2024-08-06,0,2024-08,0,
2024-08-07,0,2024-08,0,
2024-08-08,0,2024-08,0,
2024-08-09,0,2024-08,0,
2024-08-10,0,2024-08,0,
2024-08-11,0,2024-08,0,
2024-08-12,0,2024-08,0,
2024-08-13,0,2024-08,0,
2024-08-14,0,2024-08,0,
2024-08-15,0,2024-08,0,
2024-08-16,0,2024-08,0,
