institution,projects,starts_2024,starts_jul_sep_2024,starts_oct_2024,notes
University of Oxford,167,8,0,1,Institution strings are not country-standardized.
Imperial College London,86,5,0,0,Institution strings are not country-standardized.
University of Manchester,85,8,0,3,Institution strings are not country-standardized.
University of Cambridge,82,4,1,1,Institution strings are not country-standardized.
University College London,81,6,0,4,Institution strings are not country-standardized.
University of Edinburgh,66,4,0,2,Institution strings are not country-standardized.
King's College London,60,5,0,4,Institution strings are not country-standardized.
University of Bristol,52,2,0,0,Institution strings are not country-standardized.
Stanford University,48,3,0,1,Institution strings are not country-standardized.
Sun Yat-Sen University,47,7,0,0,Institution strings are not country-standardized.
Fudan University,46,3,0,1,Institution strings are not country-standardized.
Peking University,46,6,0,3,Institution strings are not country-standardized.
Nanjing Medical University,44,4,0,1,Institution strings are not country-standardized.
University of Hong Kong,42,7,0,0,Institution strings are not country-standardized.
Zhejiang University,40,4,0,0,Institution strings are not country-standardized.
University of Leicester,38,0,0,0,Institution strings are not country-standardized.
Yale University,37,4,0,2,Institution strings are not country-standardized.
West China Hospital of Sichuan University,36,4,0,1,Institution strings are not country-standardized.
Queen Mary University of London,35,3,0,0,Institution strings are not country-standardized.
University of Pennsylvania,35,4,0,1,Institution strings are not country-standardized.
University of Glasgow,33,1,0,1,Institution strings are not country-standardized.
Southern Medical University,32,4,0,3,Institution strings are not country-standardized.
University of Leeds,32,4,0,0,Institution strings are not country-standardized.
Uppsala University,32,1,0,0,Institution strings are not country-standardized.
Xiangya Hospital of Central South University,32,3,0,1,Institution strings are not country-standardized.
