period,definition,count,universe_n,share
all,HIGH_SENSITIVITY,1048,6935,0.151118
all,LOWER_SENSITIVITY_COMPARISON,5887,6935,0.848882
all,hs_wes_wgs_sequence,459,6935,0.066186
all,hs_s3_direct,2,6935,0.000288
all,hs_s3_text,621,6935,0.089546
all,LOW_STRICT,1147,6935,0.165393
all,hs_o2_field,23,6935,0.003317
all,hs_restricted_field,24,6935,0.003461
pre_july_2024,HIGH_SENSITIVITY,679,4332,0.156741
pre_july_2024,LOWER_SENSITIVITY_COMPARISON,3653,4332,0.843259
pre_july_2024,hs_wes_wgs_sequence,313,4332,0.072253
pre_july_2024,hs_s3_direct,2,4332,0.000462
pre_july_2024,hs_s3_text,382,4332,0.088181
pre_july_2024,LOW_STRICT,806,4332,0.186057
pre_july_2024,hs_o2_field,23,4332,0.005309
pre_july_2024,hs_restricted_field,24,4332,0.005540
post_july_2024,HIGH_SENSITIVITY,369,2603,0.141760
post_july_2024,LOWER_SENSITIVITY_COMPARISON,2234,2603,0.858240
post_july_2024,hs_wes_wgs_sequence,146,2603,0.056089
post_july_2024,hs_s3_direct,0,2603,0.000000
post_july_2024,hs_s3_text,239,2603,0.091817
post_july_2024,LOW_STRICT,341,2603,0.131003
post_july_2024,hs_o2_field,0,2603,0.000000
post_july_2024,hs_restricted_field,0,2603,0.000000
