period,definition_a,definition_b,overlap_count
all,hs_c03,hs_c03,267
all,hs_c03,hs_c05,267
all,hs_c03,hs_explicit_wes_wgs,266
all,hs_c03,hs_s3_field,0
all,hs_c03,hs_o2_field,1
all,hs_c03,hs_restricted_field,1
all,hs_c03,HIGH_C03_S3,267
all,hs_c03,HIGH_C05_S3,267
all,hs_c03,LOW_STRICT,0
all,hs_c03,NOT_HIGH,0
all,hs_c05,hs_c03,267
all,hs_c05,hs_c05,269
all,hs_c05,hs_explicit_wes_wgs,267
all,hs_c05,hs_s3_field,0
all,hs_c05,hs_o2_field,1
all,hs_c05,hs_restricted_field,1
all,hs_c05,HIGH_C03_S3,268
all,hs_c05,HIGH_C05_S3,269
all,hs_c05,LOW_STRICT,0
all,hs_c05,NOT_HIGH,0
all,hs_explicit_wes_wgs,hs_c03,266
all,hs_explicit_wes_wgs,hs_c05,267
all,hs_explicit_wes_wgs,hs_explicit_wes_wgs,459
all,hs_explicit_wes_wgs,hs_s3_field,0
all,hs_explicit_wes_wgs,hs_o2_field,1
all,hs_explicit_wes_wgs,hs_restricted_field,1
all,hs_explicit_wes_wgs,HIGH_C03_S3,459
all,hs_explicit_wes_wgs,HIGH_C05_S3,459
all,hs_explicit_wes_wgs,LOW_STRICT,0
all,hs_explicit_wes_wgs,NOT_HIGH,0
all,hs_s3_field,hs_c03,0
all,hs_s3_field,hs_c05,0
all,hs_s3_field,hs_explicit_wes_wgs,0
all,hs_s3_field,hs_s3_field,2
all,hs_s3_field,hs_o2_field,2
all,hs_s3_field,hs_restricted_field,2
all,hs_s3_field,HIGH_C03_S3,2
all,hs_s3_field,HIGH_C05_S3,2
all,hs_s3_field,LOW_STRICT,0
all,hs_s3_field,NOT_HIGH,0
all,hs_o2_field,hs_c03,1
all,hs_o2_field,hs_c05,1
all,hs_o2_field,hs_explicit_wes_wgs,1
all,hs_o2_field,hs_s3_field,2
all,hs_o2_field,hs_o2_field,23
all,hs_o2_field,hs_restricted_field,23
all,hs_o2_field,HIGH_C03_S3,3
all,hs_o2_field,HIGH_C05_S3,3
all,hs_o2_field,LOW_STRICT,0
all,hs_o2_field,NOT_HIGH,20
all,hs_restricted_field,hs_c03,1
all,hs_restricted_field,hs_c05,1
all,hs_restricted_field,hs_explicit_wes_wgs,1
all,hs_restricted_field,hs_s3_field,2
