month,month_start,time,post_july2024,time_after_july2024,month_of_year,all_count,high_sensitivity_count,lower_sensitivity_count,low_strict_count,hs_wes_wgs_sequence_count,hs_s3_direct_count,hs_s3_text_count,hs_o2_field_count,classified_denom_high_lower,high_sensitivity_share_all,low_share_all,index_high_pre_mean,index_lower_pre_mean,index_diff_pre_mean,index_high_2023_mean,index_lower_2023_mean,index_diff_2023_mean
2019-01,2019-01-01,1,0,0,1,40,9,31,7,5,0,4,0,40,0.22500000,0.17500000,113.79310345,70.50310131,43.29000214,106.93069307,58.03432137,48.89637170
2019-02,2019-02-01,2,0,0,2,40,12,28,7,5,0,7,1,40,0.30000000,0.17500000,151.72413793,63.68022054,88.04391739,142.57425743,52.41809672,90.15616070
2019-03,2019-03-01,3,0,0,3,52,12,40,8,5,0,7,0,52,0.23076923,0.15384615,151.72413793,90.97174363,60.75239431,142.57425743,74.88299532,67.69126211
2019-04,2019-04-01,4,0,0,4,35,4,31,9,4,0,0,0,35,0.11428571,0.25714286,50.57471264,70.50310131,-19.92838867,47.52475248,58.03432137,-10.50956890
2019-05,2019-05-01,5,0,0,5,60,8,52,16,4,0,4,2,60,0.13333333,0.26666667,101.14942529,118.26326671,-17.11384143,95.04950495,97.34789392,-2.29838897
2019-06,2019-06-01,6,0,0,6,33,4,29,10,2,0,2,0,33,0.12121212,0.30303030,50.57471264,65.95451413,-15.37980148,47.52475248,54.29017161,-6.76541913
2019-07,2019-07-01,7,0,0,7,50,12,38,9,6,0,7,0,50,0.24000000,0.18000000,151.72413793,86.42315644,65.30098149,142.57425743,71.13884555,71.43541187
2019-08,2019-08-01,8,0,0,8,27,7,20,3,4,0,3,1,27,0.25925926,0.11111111,88.50574713,45.48587181,43.01987531,83.16831683,37.44149766,45.72681917
2019-09,2019-09-01,9,0,0,9,31,7,24,4,2,0,5,0,31,0.22580645,0.12903226,88.50574713,54.58304618,33.92270095,83.16831683,44.92979719,38.23851964
2019-10,2019-10-01,10,0,0,10,43,8,35,7,6,0,3,0,43,0.18604651,0.16279070,101.14942529,79.60027567,21.54914962,95.04950495,65.52262090,29.52688405
2019-11,2019-11-01,11,0,0,11,52,13,39,9,8,0,5,0,52,0.25000000,0.17307692,164.36781609,88.69745003,75.67036606,154.45544554,73.01092044,81.44452511
2019-12,2019-12-01,12,0,0,12,29,7,22,1,3,0,4,0,29,0.24137931,0.03448276,88.50574713,50.03445899,38.47128813,83.16831683,41.18564743,41.98266941
2020-01,2020-01-01,13,0,0,1,53,7,46,10,3,0,4,0,53,0.13207547,0.18867925,88.50574713,104.61750517,-16.11175804,83.16831683,86.11544462,-2.94712779
2020-02,2020-02-01,14,0,0,2,47,8,39,11,6,0,2,0,47,0.17021277,0.23404255,101.14942529,88.69745003,12.45197525,95.04950495,73.01092044,22.03858451
2020-03,2020-03-01,15,0,0,3,91,16,75,16,4,0,12,0,91,0.17582418,0.17582418,202.29885057,170.57201930,31.72683128,190.09900990,140.40561622,49.69339368
2020-04,2020-04-01,16,0,0,4,51,5,46,9,3,0,2,0,51,0.09803922,0.17647059,63.21839080,104.61750517,-41.39911436,59.40594059,86.11544462,-26.70950402
2020-05,2020-05-01,17,0,0,5,36,3,33,3,0,0,3,0,36,0.08333333,0.08333333,37.93103448,75.05168849,-37.12065401,35.64356436,61.77847114,-26.13490678
2020-06,2020-06-01,18,0,0,6,69,11,58,9,3,0,9,0,69,0.15942029,0.13043478,139.08045977,131.90902826,7.17143151,130.69306931,108.58034321,22.11272609
2020-07,2020-07-01,19,0,0,7,53,11,42,6,5,0,7,0,53,0.20754717,0.11320755,139.08045977,95.52033081,43.56012896,130.69306931,78.62714509,52.06592422
2020-08,2020-08-01,20,0,0,8,49,11,38,5,5,0,6,0,49,0.22448980,0.10204082,139.08045977,86.42315644,52.65730333,130.69306931,71.13884555,59.55422375
2020-09,2020-09-01,21,0,0,9,46,6,40,16,1,0,5,0,46,0.13043478,0.34782609,75.86206897,90.97174363,-15.10967466,71.28712871,74.88299532,-3.59586661
2020-10,2020-10-01,22,0,0,10,29,7,22,3,3,0,4,0,29,0.24137931,0.10344828,88.50574713,50.03445899,38.47128813,83.16831683,41.18564743,41.98266941
2020-11,2020-11-01,23,0,0,11,40,3,37,6,2,0,1,0,40,0.07500000,0.15000000,37.93103448,84.14886285,-46.21782837,35.64356436,69.26677067,-33.62320631
2020-12,2020-12-01,24,0,0,12,5,0,5,0,0,0,0,0,5,0.00000000,0.00000000,0.00000000,11.37146795,-11.37146795,0.00000000,9.36037441,-9.36037441
2021-01,2021-01-01,25,0,0,1,87,17,70,17,10,0,8,0,87,0.19540230,0.19540230,214.94252874,159.20055134,55.74197739,201.98019802,131.04524181,70.93495621
2021-02,2021-02-01,26,0,0,2,56,9,47,13,4,0,5,0,56,0.16071429,0.23214286,113.79310345,106.89179876,6.90130469,106.93069307,87.98751950,18.94317357
2021-03,2021-03-01,27,0,0,3,78,11,67,17,4,0,7,0,78,0.14102564,0.21794872,139.08045977,152.37767057,-13.29721080,130.69306931,125.42901716,5.26405215
2021-04,2021-04-01,28,0,0,4,40,6,34,9,3,0,3,0,40,0.15000000,0.22500000,75.86206897,77.32598208,-1.46391312,71.28712871,63.65054602,7.63658269
2021-05,2021-05-01,29,0,0,5,40,6,34,9,2,0,4,0,40,0.15000000,0.22500000,75.86206897,77.32598208,-1.46391312,71.28712871,63.65054602,7.63658269
2021-06,2021-06-01,30,0,0,6,44,9,35,10,5,0,4,0,44,0.20454545,0.22727273,113.79310345,79.60027567,34.19282778,106.93069307,65.52262090,41.40807216
2021-07,2021-07-01,31,0,0,7,25,2,23,9,2,0,0,0,25,0.08000000,0.36000000,25.28735632,52.30875258,-27.02139626,23.76237624,43.05772231,-19.29534607
2021-08,2021-08-01,32,0,0,8,20,3,17,1,1,0,2,0,20,0.15000000,0.05000000,37.93103448,38.66299104,-0.73195656,35.64356436,31.82527301,3.81829135
2021-09,2021-09-01,33,0,0,9,33,2,31,6,1,0,1,0,33,0.06060606,0.18181818,25.28735632,70.50310131,-45.21574499,23.76237624,58.03432137,-34.27194514
2021-10,2021-10-01,34,0,0,10,46,5,41,9,3,0,2,0,46,0.10869565,0.19565217,63.21839080,93.24603722,-30.02764641,59.40594059,76.75507020,-17.34912961
2021-11,2021-11-01,35,0,0,11,42,9,33,7,5,0,4,0,42,0.21428571,0.16666667,113.79310345,75.05168849,38.74141496,106.93069307,61.77847114,45.15222193
2021-12,2021-12-01,36,0,0,12,35,6,29,7,2,0,4,0,35,0.17142857,0.20000000,75.86206897,65.95451413,9.90755484,71.28712871,54.29017161,16.99695711
2022-01,2022-01-01,37,0,0,1,36,5,31,8,3,0,2,0,36,0.13888889,0.22222222,63.21839080,70.50310131,-7.28471050,59.40594059,58.03432137,1.37161922
2022-02,2022-02-01,38,0,0,2,62,7,55,12,3,0,4,0,62,0.11290323,0.19354839,88.50574713,125.08614748,-36.58040036,83.16831683,102.96411856,-19.79580173
2022-03,2022-03-01,39,0,0,3,81,12,69,13,7,0,5,0,81,0.14814815,0.16049383,151.72413793,156.92625775,-5.20211982,142.57425743,129.17316693,13.40109050
2022-04,2022-04-01,40,0,0,4,59,13,46,9,9,0,6,0,59,0.22033898,0.15254237,164.36781609,104.61750517,59.75031092,154.45544554,86.11544462,68.34000093
2022-05,2022-05-01,41,0,0,5,66,8,58,11,3,0,5,0,66,0.12121212,0.16666667,101.14942529,131.90902826,-30.75960297,95.04950495,108.58034321,-13.53083826
2022-06,2022-06-01,42,0,0,6,46,10,36,13,7,0,3,0,46,0.21739130,0.28260870,126.43678161,81.87456926,44.56221235,118.81188119,67.39469579,51.41718540
