model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Intercept,8.49394078,1.51084029,5.62199781,0.00000002,5.53269382,11.45518774,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Time,-0.01340049,0.01809644,-0.74050414,0.45899415,-0.04886951,0.02206853,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,PostJuly2024,0.84391026,3.66270885,0.23040604,0.81777627,-6.33499910,8.02281961,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,TimeAfterJuly2024,0.86153846,0.36725337,2.34589670,0.01898137,0.14172186,1.58135506,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_02,0.46175214,1.43324481,0.32217255,0.74732198,-2.34740769,3.27091196,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_03,1.92350427,1.86874681,1.02930170,0.30333792,-1.73923948,5.58624802,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_04,0.38525641,2.15202769,0.17902019,0.85792185,-3.83271787,4.60323069,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_05,-1.29584860,1.64725723,-0.78667046,0.43147480,-4.52447276,1.93277557,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_06,1.45161783,2.47158317,0.58732307,0.55698675,-3.39268519,6.29592084,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_07,-1.35004579,2.08277450,-0.64819585,0.51685829,-5.43228381,2.73219223,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_08,-2.01137057,2.04340775,-0.98432169,0.32495737,-6.01644976,1.99370861,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_09,-1.38698107,2.37527754,-0.58392379,0.55927158,-6.04252506,3.26856291,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_10,0.09455128,2.15803527,0.04381359,0.96505299,-4.13519785,4.32430042,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_11,2.57608364,2.72313597,0.94599890,0.34414915,-2.76126287,7.91343014,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_12,-3.22809829,2.71277882,-1.18996000,0.23406211,-8.54514478,2.08894819,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Intercept,0.18484271,0.01769575,10.44559843,0.00000000,0.15015904,0.21952638,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Time,-0.00113399,0.00037117,-3.05514523,0.00224952,-0.00186150,-0.00040649,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
