field_id,field_title,main_category,item_type,field_tier,debut,private
20158,DXA images,103,20,o2 s3,2015-09-23T00:00:00,0
20201,Dixon technique for internal fat - DICOM,105,20,o2 s3,2014-07-25T00:00:00,0
20202,Pancreatic fat - DICOM,131,20,o2 s3,2014-07-25T00:00:00,0
20203,Liver imaging - gradient echo - DICOM,126,20,o2 s3,2014-07-25T00:00:00,0
20204,Liver Imaging - T1 ShMoLLI - DICOM,126,20,o2 s3,2014-07-25T00:00:00,0
20206,Measurements of pancreas volume - DICOM,131,20,o2 s3,2014-07-25T00:00:00,0
20207,Scout images for heart MRI - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20208,Long axis heart images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20209,Short axis heart images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20210,Aortic distensibilty images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20211,Cine tagging images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20212,Left ventricular outflow tract images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20213,Blood flow images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20214,Experimental shMOLLI sequence images - DICOM,102,20,o2 s3,2014-07-25T00:00:00,0
20215,Scout images for brain scans - DICOM,507,20,o2 s3,2014-07-25T00:00:00,1
20216,T1 structural brain images - DICOM,507,20,o2 s3,2014-07-25T00:00:00,1
20217,Functional brain images - task - DICOM,507,20,o2 s3,2014-07-25T00:00:00,0
20218,Multiband diffusion brain images - DICOM,507,20,o2 s3,2014-07-25T00:00:00,0
20219,Susceptibility weighted brain images - DICOM,507,20,o2 s3,2014-07-25T00:00:00,0
20220,T2 FLAIR structural brain images - DICOM,507,20,o2 s3,2014-07-25T00:00:00,1
20221,T2/PD brain images - DICOM,507,20,o2 s3,2014-07-25T00:00:00,1
20222,Carotid artery ultrasound image (left),101,20,o2 s3,2014-07-28T00:00:00,0
20223,Carotid artery ultrasound image (right),101,20,o2 s3,2014-07-28T00:00:00,0
20224,Phoenix - DICOM,507,20,o2 s3,2015-02-10T00:00:00,0
20225,Functional brain images - resting - DICOM,507,20,o2 s3,2015-02-10T00:00:00,0
20226,Carotid artery ultrasound report,101,20,o2 s3,2015-02-11T00:00:00,0
20227,Functional brain images - resting - NIFTI,111,20,o2 s3,2015-10-12T00:00:00,0
20241,Raw carotid device data,101,20,o2 s3,2020-01-14T00:00:00,0
20243,Kidney Imaging - T1 ShMOLLI - DICOM,156,20,o2 s3,2021-02-11T00:00:00,0
20249,Functional brain images - task - NIFTI,106,20,o2 s3,2015-10-12T00:00:00,0
20250,Multiband diffusion brain images - NIFTI,107,20,o2 s3,2015-10-12T00:00:00,0
20251,Susceptibility weighted brain images - NIFTI,109,20,o2 s3,2015-10-12T00:00:00,0
20252,T1 structural brain images - NIFTI,110,20,o2 s3,2015-10-12T00:00:00,0
20253,T2 FLAIR structural brain images - NIFTI,112,20,o2 s3,2015-10-12T00:00:00,0
20254,Liver imaging - IDEAL protocol - DICOM,126,20,o2 s3,2018-02-26T00:00:00,0
20259,Pancreas Images - ShMoLLI - DICOM,131,20,o2 s3,2018-05-09T00:00:00,0
20260,Pancreas Images - gradient echo - DICOM,131,20,o2 s3,2018-05-09T00:00:00,0
20263,T1 surface model files and additional structural segmentations,110,20,o2 s3,2019-04-05T00:00:00,0
20264,Kidney Imaging - gradient echo - DICOM,156,20,o2 s3,2021-02-11T00:00:00,0
20265,Kidney Imaging - T2 haste - DICOM,156,20,o2 s3,2021-02-11T00:00:00,0
20266,Arterial spin labelling brain images - DICOM,507,20,o2 s3,2021-02-11T00:00:00,0
20267,Kidney imaging - T1 Vibe - DICOM,156,20,o2 s3,2021-03-18T00:00:00,0
25747,Eprime advisor file,507,20,o2 s3,2015-10-13T00:00:00,0
25748,Eprime txt file,507,20,o2 s3,2015-10-13T00:00:00,0
25749,Eprime ed2 file,507,20,o2 s3,2015-10-13T00:00:00,0
26300,Arterial spin labelling brain images - NIFTI,119,20,o2 s3,2023-02-03T00:00:00,0
26301,Quantitative susceptibility mapping images - NIFTI,109,20,o2 s3,2023-02-03T00:00:00,0
30005,Carotid Artery Ultrasound (MAT format),101,20,o2 s3,2024-03-05T00:00:00,0
30029,Reason cine file not available,101,10,o2 s3,2024-03-05T00:00:00,0
30099,Cardiac biventricular mesh models,538,20,o2 s3,2025-08-23T00:00:00,0
31000,MNI Native Transform,200,20,o2 s3,2023-09-10T00:00:00,0
31001,Native aparc a2009s dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31002,Native aparc dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31003,Native Glasser dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31004,Native Schaefer7n200p dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31005,Native Schaefer7n500p dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31006,Native Tian Subcortex S1 3T dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31007,Native Tian Subcortex S4 3T dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
