model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Intercept,10.41534815,2.17291783,4.79325449,0.00000164,6.15642920,14.67426710,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Time,-0.01030756,0.01938050,-0.53185198,0.59482852,-0.04829334,0.02767822,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,PostJuly2024,4.72401069,4.37584467,1.07956544,0.28033574,-3.85264487,13.30066625,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,TimeAfterJuly2024,0.28229138,0.39101265,0.72194950,0.47032553,-0.48409340,1.04867617,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_02,-1.56026529,2.36418846,-0.65995808,0.50928073,-6.19407468,3.07354410,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_03,1.50446942,2.43673132,0.61741293,0.53696240,-3.27152397,6.28046282,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_04,-2.43079586,3.07117353,-0.79148763,0.42865949,-8.45029599,3.58870426,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_05,-5.24106115,3.09345557,-1.69424161,0.09021938,-11.30423407,0.82211176,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_06,-2.80132644,3.76723337,-0.74360311,0.45711662,-10.18510384,4.58245096,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_07,-3.52005432,2.94637712,-1.19470597,0.23220193,-9.29495347,2.25484483,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_08,-4.01897287,2.82208843,-1.42411302,0.15441376,-9.55026619,1.51232045,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_09,-3.23217714,3.24655717,-0.99557068,0.31945879,-9.59542919,3.13107491,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_10,-1.58823855,2.65144563,-0.59900853,0.54916720,-6.78507197,3.60859488,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_11,1.05570005,3.10034706,0.34051028,0.73347228,-5.02098018,7.13238028,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_12,-4.58607565,3.32480682,-1.37935101,0.16778656,-11.10269702,1.93054573,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Intercept,0.19328259,0.01835109,10.53248786,0.00000000,0.15731446,0.22925072,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Time,-0.00112769,0.00037247,-3.02758864,0.00246513,-0.00185773,-0.00039765,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,PostJuly2024,-0.04661334,0.02728916,-1.70812656,0.08761286,-0.10010009,0.00687341,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,TimeAfterJuly2024,0.00686511,0.00161387,4.25381495,0.00002102,0.00370192,0.01002830,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_02,0.00944491,0.01923532,0.49101936,0.62341275,-0.02825631,0.04714613,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_03,-0.00377637,0.01487982,-0.25379108,0.79965697,-0.03294081,0.02538808,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_04,-0.01110974,0.02333157,-0.47616775,0.63395487,-0.05683962,0.03462014,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_05,-0.01071928,0.02726585,-0.39313958,0.69421639,-0.06416035,0.04272178,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_06,0.01601379,0.02331996,0.68669879,0.49227256,-0.02969333,0.06172091,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_07,-0.02022716,0.02320946,-0.87150513,0.38347841,-0.06571771,0.02526338,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_08,0.01750673,0.02009517,0.87119095,0.38364990,-0.02187980,0.05689326,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_09,-0.02128169,0.02464540,-0.86351587,0.38785390,-0.06958667,0.02702329,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_10,0.00064918,0.01924486,0.03373268,0.97309032,-0.03707075,0.03836911,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_11,0.01447639,0.03132354,0.46215696,0.64396877,-0.04691775,0.07587054,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_12,-0.01570792,0.03672153,-0.42775784,0.66882743,-0.08768212,0.05626627,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Intercept,89.52457614,16.42920983,5.44911028,0.00000005,57.32332487,121.72582742,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Time,0.76058145,0.25334656,3.00213839,0.00268090,0.26402218,1.25714071,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,PostJuly2024,88.67772957,67.11848444,1.32121174,0.18643077,-42.87449993,220.22995907,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,TimeAfterJuly2024,-0.94141159,5.56308284,-0.16922480,0.86561982,-11.84505395,9.96223076,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_02,-14.17099009,12.17227943,-1.16420184,0.24434223,-38.02865778,9.68667760,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_03,27.94678618,12.60315109,2.21744435,0.02659274,3.24461004,52.64896233,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_04,-6.40855953,25.76489473,-0.24873222,0.80356792,-56.90775319,44.09063413,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
