test,quantity,through_2025_12_estimate,through_2025_12_std_error,through_2025_12_p_value,through_2025_12_ci_low,through_2025_12_ci_high,through_2026_06_estimate,through_2026_06_std_error,through_2026_06_p_value,through_2026_06_ci_low,through_2026_06_ci_high,change_estimate
Test 1,beta1,-0.01340049,0.01809644,0.45899415,-0.04886951,0.02206853,-0.01030756,0.01938050,0.59482852,-0.04829334,0.02767822,0.00309293
Test 1,beta2,0.84391026,3.66270885,0.81777627,-6.33499910,8.02281961,4.72401069,4.37584467,0.28033574,-3.85264487,13.30066625,3.88010043
Test 1,beta3,0.86153846,0.36725337,0.01898137,0.14172186,1.58135506,0.28229138,0.39101265,0.47032553,-0.48409340,1.04867617,-0.57924708
Test 1,post slope,0.84813797,0.36287420,0.01942472,0.13690454,1.55937141,0.27198383,0.38743580,0.48267289,-0.48739033,1.03135799,-0.57615414
Test 2,beta1,-0.00113399,0.00037117,0.00224952,-0.00186150,-0.00040649,-0.00112769,0.00037247,0.00246513,-0.00185773,-0.00039765,0.00000630
Test 2,beta2,-0.03720663,0.03360559,0.26822646,-0.10307359,0.02866032,-0.04661334,0.02728916,0.08761286,-0.10010009,0.00687341,-0.00940671
Test 2,beta3,0.00540024,0.00254052,0.03353299,0.00042082,0.01037966,0.00686511,0.00161387,0.00002102,0.00370192,0.01002830,0.00146487
Test 2,post slope,0.00426625,0.00257029,0.09694903,-0.00077153,0.00930403,0.00573742,0.00160667,0.00035562,0.00258835,0.00888650,0.00147117
Test 3,High pre slope,-0.16943146,0.22880556,0.45899415,-0.61789035,0.27902743,-0.13032544,0.24504081,0.59482852,-0.61060543,0.34995455,0.03910602
Test 3,High post slope,10.72358357,4.58806463,0.01942472,1.73097689,19.71619025,3.43887596,4.89861351,0.48267289,-6.16240652,13.04015844,-7.28470761
Test 3,High slope change,10.89301503,4.64343338,0.01898137,1.79188561,19.99414445,3.56920140,4.94383806,0.47032553,-6.12072120,13.25912399,-7.32381363
Test 3,Lower pre slope,0.75002121,0.25510585,0.00328171,0.25001374,1.25002867,0.76058145,0.25334656,0.00268090,0.26402218,1.25714071,0.01056024
Test 3,Lower post slope,12.38425754,5.21258061,0.01750905,2.16759954,22.60091554,-0.18083015,5.47984967,0.97367530,-10.92133550,10.55967520,-12.56508769
Test 3,Lower slope change,11.63423634,5.30428360,0.02828101,1.23784049,22.03063218,-0.94141159,5.56308284,0.86561982,-11.84505395,9.96223076,-12.57564793
Test 3,delta2,1.47726004,17.38836700,0.93229573,-32.60393927,35.55845936,-28.94885877,20.34421089,0.15474974,-68.82351211,10.92579457,-30.42611881
Test 3,delta3,-0.74122130,1.61526095,0.64631573,-3.90713276,2.42469015,4.51061299,1.86341427,0.01549418,0.85832103,8.16290496,5.25183429
