app_id,HIGH_SENSITIVITY,hs_wes_wgs_sequence,hs_s3_direct,hs_s3_text,treatment,control_strict,control_broad,group_strict,group_broad,start_date,pre_post
648,1,1,0,0,0,1,1,Strict control,Broad control,2012-11-01,pre_july_2024
2112,1,1,0,0,0,1,1,Strict control,Broad control,2013-03-04,pre_july_2024
4844,1,0,0,1,1,0,0,Treatment,Treatment,2014-09-27,pre_july_2024
9905,1,1,0,0,0,1,1,Strict control,Broad control,2014-12-01,pre_july_2024
8835,1,0,0,1,1,0,0,Treatment,Treatment,2014-12-15,pre_july_2024
7089,1,1,0,0,0,1,1,Strict control,Broad control,2015-01-01,pre_july_2024
9055,1,1,0,0,0,1,1,Strict control,Broad control,2015-01-05,pre_july_2024
9072,1,1,0,0,0,1,1,Strict control,Broad control,2015-01-05,pre_july_2024
6077,1,1,0,0,0,1,1,Strict control,Broad control,2015-04-01,pre_july_2024
12010,1,0,0,1,1,0,0,Treatment,Treatment,2015-04-13,pre_july_2024
10438,1,1,0,0,0,1,1,Strict control,Broad control,2015-05-01,pre_july_2024
871,1,1,0,0,0,1,1,Strict control,Broad control,2015-05-31,pre_july_2024
1251,1,1,0,0,0,1,1,Strict control,Broad control,2015-07-01,pre_july_2024
12113,1,1,0,0,0,1,1,Strict control,Broad control,2015-08-01,pre_july_2024
12514,1,1,0,0,0,1,1,Strict control,Broad control,2015-08-28,pre_july_2024
2964,1,0,0,1,1,0,0,Treatment,Treatment,2015-09-01,pre_july_2024
14179,1,0,0,1,1,0,0,Treatment,Treatment,2015-09-01,pre_july_2024
14631,1,1,0,0,0,1,1,Strict control,Broad control,2015-10-01,pre_july_2024
14654,1,1,0,0,0,1,1,Strict control,Broad control,2015-10-01,pre_july_2024
16698,1,1,0,0,0,1,1,Strict control,Broad control,2015-10-15,pre_july_2024
9914,1,0,0,1,1,0,0,Treatment,Treatment,2015-11-01,pre_july_2024
16434,1,1,0,0,0,1,1,Strict control,Broad control,2015-11-17,pre_july_2024
16389,1,1,0,0,0,1,1,Strict control,Broad control,2015-12-01,pre_july_2024
9616,1,1,0,0,0,1,1,Strict control,Broad control,2016-01-01,pre_july_2024
16097,1,1,0,0,0,1,1,Strict control,Broad control,2016-01-01,pre_july_2024
17085,1,1,0,0,0,1,1,Strict control,Broad control,2016-01-01,pre_july_2024
15479,1,1,0,0,0,1,1,Strict control,Broad control,2016-02-01,pre_july_2024
16013,1,1,0,0,0,1,1,Strict control,Broad control,2016-02-01,pre_july_2024
17689,1,0,1,1,1,0,0,Treatment,Treatment,2016-02-01,pre_july_2024
16406,1,0,0,1,1,0,0,Treatment,Treatment,2016-02-15,pre_july_2024
16066,1,1,0,1,0,0,1,Excluded from strict control,Broad control,2016-03-01,pre_july_2024
16273,1,0,0,1,1,0,0,Treatment,Treatment,2016-03-01,pre_july_2024
18545,1,0,0,1,1,0,0,Treatment,Treatment,2016-04-01,pre_july_2024
24460,1,1,0,0,0,1,1,Strict control,Broad control,2016-04-01,pre_july_2024
17909,1,0,0,1,1,0,0,Treatment,Treatment,2016-04-15,pre_july_2024
11559,1,0,0,1,1,0,0,Treatment,Treatment,2016-04-30,pre_july_2024
19934,1,1,0,0,0,1,1,Strict control,Broad control,2016-05-01,pre_july_2024
18219,1,1,0,0,0,1,1,Strict control,Broad control,2016-05-02,pre_july_2024
20802,1,1,0,0,0,1,1,Strict control,Broad control,2016-05-24,pre_july_2024
4477,1,1,0,0,0,1,1,Strict control,Broad control,2016-06-01,pre_july_2024
13126,1,0,0,1,1,0,0,Treatment,Treatment,2016-06-13,pre_july_2024
20361,1,1,0,0,0,1,1,Strict control,Broad control,2016-06-13,pre_july_2024
18051,1,1,0,0,0,1,1,Strict control,Broad control,2016-07-10,pre_july_2024
16218,1,1,0,0,0,1,1,Strict control,Broad control,2016-07-15,pre_july_2024
17720,1,0,0,1,1,0,0,Treatment,Treatment,2016-08-01,pre_july_2024
36509,1,1,0,1,0,0,1,Excluded from strict control,Broad control,2016-08-01,pre_july_2024
17044,1,0,0,1,1,0,0,Treatment,Treatment,2016-09-01,pre_july_2024
20272,1,1,0,0,0,1,1,Strict control,Broad control,2016-09-01,pre_july_2024
22016,1,0,0,1,1,0,0,Treatment,Treatment,2016-09-01,pre_july_2024
19542,1,1,0,0,0,1,1,Strict control,Broad control,2016-10-01,pre_july_2024
23827,1,0,0,1,1,0,0,Treatment,Treatment,2016-10-01,pre_july_2024
17488,1,1,0,0,0,1,1,Strict control,Broad control,2016-11-01,pre_july_2024
19056,1,1,0,0,0,1,1,Strict control,Broad control,2016-11-01,pre_july_2024
22783,1,0,1,1,1,0,0,Treatment,Treatment,2016-11-01,pre_july_2024
23359,1,1,0,0,0,1,1,Strict control,Broad control,2016-11-01,pre_july_2024
22207,1,0,0,1,1,0,0,Treatment,Treatment,2016-11-24,pre_july_2024
23509,1,0,0,1,1,0,0,Treatment,Treatment,2016-11-28,pre_july_2024
23889,1,0,0,1,1,0,0,Treatment,Treatment,2016-11-28,pre_july_2024
24898,1,1,0,0,0,1,1,Strict control,Broad control,2016-12-01,pre_july_2024
24642,1,0,0,1,1,0,0,Treatment,Treatment,2016-12-07,pre_july_2024
24299,1,1,0,0,0,1,1,Strict control,Broad control,2017-01-01,pre_july_2024
26041,1,1,0,0,0,1,1,Strict control,Broad control,2017-01-03,pre_july_2024
24089,1,0,0,1,1,0,0,Treatment,Treatment,2017-01-09,pre_july_2024
19416,1,1,0,0,0,1,1,Strict control,Broad control,2017-01-10,pre_july_2024
21237,1,1,0,0,0,1,1,Strict control,Broad control,2017-01-15,pre_july_2024
24795,1,0,0,1,1,0,0,Treatment,Treatment,2017-01-15,pre_july_2024
17731,1,1,0,0,0,1,1,Strict control,Broad control,2017-01-24,pre_july_2024
20666,1,0,0,1,1,0,0,Treatment,Treatment,2017-02-01,pre_july_2024
25673,1,0,0,1,1,0,0,Treatment,Treatment,2017-02-01,pre_july_2024
24983,1,1,0,0,0,1,1,Strict control,Broad control,2017-02-16,pre_july_2024
15175,1,0,0,1,1,0,0,Treatment,Treatment,2017-02-27,pre_july_2024
1969,1,0,0,1,1,0,0,Treatment,Treatment,2017-03-01,pre_july_2024
2532,1,1,0,0,0,1,1,Strict control,Broad control,2017-03-01,pre_july_2024
25953,1,1,0,0,0,1,1,Strict control,Broad control,2017-04-01,pre_july_2024
27449,1,1,0,0,0,1,1,Strict control,Broad control,2017-04-01,pre_july_2024
28967,1,1,0,0,0,1,1,Strict control,Broad control,2017-04-07,pre_july_2024
24661,1,1,0,0,0,1,1,Strict control,Broad control,2017-04-15,pre_july_2024
28404,1,0,0,1,1,0,0,Treatment,Treatment,2017-04-18,pre_july_2024
27412,1,1,0,0,0,1,1,Strict control,Broad control,2017-04-21,pre_july_2024
24711,1,1,0,0,0,1,1,Strict control,Broad control,2017-05-01,pre_july_2024
25570,1,0,0,1,1,0,0,Treatment,Treatment,2017-05-01,pre_july_2024
28174,1,0,0,1,1,0,0,Treatment,Treatment,2017-05-01,pre_july_2024
28807,1,1,0,0,0,1,1,Strict control,Broad control,2017-05-01,pre_july_2024
27960,1,1,0,0,0,1,1,Strict control,Broad control,2017-05-31,pre_july_2024
25205,1,1,0,0,0,1,1,Strict control,Broad control,2017-06-01,pre_july_2024
25214,1,1,0,0,0,1,1,Strict control,Broad control,2017-06-01,pre_july_2024
27121,1,0,0,1,1,0,0,Treatment,Treatment,2017-06-15,pre_july_2024
23739,1,0,0,1,1,0,0,Treatment,Treatment,2017-07-01,pre_july_2024
31282,1,0,0,1,1,0,0,Treatment,Treatment,2017-07-01,pre_july_2024
28126,1,1,0,0,0,1,1,Strict control,Broad control,2017-07-03,pre_july_2024
23424,1,1,0,0,0,1,1,Strict control,Broad control,2017-07-14,pre_july_2024
26503,1,0,0,1,1,0,0,Treatment,Treatment,2017-07-19,pre_july_2024
29900,1,1,0,0,0,1,1,Strict control,Broad control,2017-08-01,pre_july_2024
19655,1,1,0,0,0,1,1,Strict control,Broad control,2017-08-03,pre_july_2024
23476,1,0,0,1,1,0,0,Treatment,Treatment,2017-09-01,pre_july_2024
30603,1,0,0,1,1,0,0,Treatment,Treatment,2017-09-01,pre_july_2024
31063,1,1,0,0,0,1,1,Strict control,Broad control,2017-10-01,pre_july_2024
18120,1,1,0,0,0,1,1,Strict control,Broad control,2017-11-17,pre_july_2024
22875,1,0,0,1,1,0,0,Treatment,Treatment,2018-02-22,pre_july_2024
33601,1,1,0,0,0,1,1,Strict control,Broad control,2018-02-22,pre_july_2024
27483,1,1,0,0,0,1,1,Strict control,Broad control,2018-02-23,pre_july_2024
24954,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-13,pre_july_2024
29985,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-15,pre_july_2024
31028,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-15,pre_july_2024
30036,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-20,pre_july_2024
21677,1,1,0,0,0,1,1,Strict control,Broad control,2018-03-27,pre_july_2024
30544,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-27,pre_july_2024
33073,1,0,0,1,1,0,0,Treatment,Treatment,2018-03-27,pre_july_2024
18359,1,0,0,1,1,0,0,Treatment,Treatment,2018-04-06,pre_july_2024
32011,1,0,0,1,1,0,0,Treatment,Treatment,2018-05-02,pre_july_2024
