specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,treatment_count,control_count,treatment_pre_mean,control_pre_mean,treatment_index_pre_mean,control_index_pre_mean,index_diff_treatment_minus_control,raw_diff_treatment_minus_control
broad,2021-10,2021-10-01,1,0,0,10,2,3,4.75757576,3.30303030,42.03821656,90.82568807,-48.78747151,-1
broad,2021-11,2021-11-01,2,0,0,11,4,5,4.75757576,3.30303030,84.07643312,151.37614679,-67.29971367,-1
broad,2021-12,2021-12-01,3,0,0,12,4,2,4.75757576,3.30303030,84.07643312,60.55045872,23.52597441,2
broad,2022-01,2022-01-01,4,0,0,1,2,3,4.75757576,3.30303030,42.03821656,90.82568807,-48.78747151,-1
broad,2022-02,2022-02-01,5,0,0,2,4,3,4.75757576,3.30303030,84.07643312,90.82568807,-6.74925495,1
broad,2022-03,2022-03-01,6,0,0,3,5,7,4.75757576,3.30303030,105.09554140,211.92660550,-106.83106410,-2
broad,2022-04,2022-04-01,7,0,0,4,4,9,4.75757576,3.30303030,84.07643312,272.47706422,-188.40063110,-5
broad,2022-05,2022-05-01,8,0,0,5,5,3,4.75757576,3.30303030,105.09554140,90.82568807,14.26985333,2
broad,2022-06,2022-06-01,9,0,0,6,3,7,4.75757576,3.30303030,63.05732484,211.92660550,-148.86928066,-4
broad,2022-07,2022-07-01,10,0,0,7,3,4,4.75757576,3.30303030,63.05732484,121.10091743,-58.04359259,-1
broad,2022-08,2022-08-01,11,0,0,8,3,7,4.75757576,3.30303030,63.05732484,211.92660550,-148.86928066,-4
broad,2022-09,2022-09-01,12,0,0,9,6,6,4.75757576,3.30303030,126.11464968,181.65137615,-55.53672647,0
broad,2022-10,2022-10-01,13,0,0,10,5,0,4.75757576,3.30303030,105.09554140,0.00000000,105.09554140,5
broad,2022-11,2022-11-01,14,0,0,11,7,3,4.75757576,3.30303030,147.13375796,90.82568807,56.30806989,4
broad,2022-12,2022-12-01,15,0,0,12,6,3,4.75757576,3.30303030,126.11464968,90.82568807,35.28896161,3
broad,2023-01,2023-01-01,16,0,0,1,4,3,4.75757576,3.30303030,84.07643312,90.82568807,-6.74925495,1
broad,2023-02,2023-02-01,17,0,0,2,5,2,4.75757576,3.30303030,105.09554140,60.55045872,44.54508269,3
broad,2023-03,2023-03-01,18,0,0,3,6,1,4.75757576,3.30303030,126.11464968,30.27522936,95.83942032,5
broad,2023-04,2023-04-01,19,0,0,4,5,2,4.75757576,3.30303030,105.09554140,60.55045872,44.54508269,3
broad,2023-05,2023-05-01,20,0,0,5,5,3,4.75757576,3.30303030,105.09554140,90.82568807,14.26985333,2
broad,2023-06,2023-06-01,21,0,0,6,7,8,4.75757576,3.30303030,147.13375796,242.20183486,-95.06807690,-1
broad,2023-07,2023-07-01,22,0,0,7,3,3,4.75757576,3.30303030,63.05732484,90.82568807,-27.76836323,0
broad,2023-08,2023-08-01,23,0,0,8,6,1,4.75757576,3.30303030,126.11464968,30.27522936,95.83942032,5
