specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,treatment_count,control_count,treatment_pre_mean,control_pre_mean,treatment_index_pre_mean,control_index_pre_mean,index_diff_treatment_minus_control,raw_diff_treatment_minus_control
strict,2019-01,2019-01-01,1,0,0,1,4,5,4.42424242,3.28787879,90.41095890,152.07373272,-61.66277381,-1
strict,2019-02,2019-02-01,2,0,0,2,7,5,4.42424242,3.28787879,158.21917808,152.07373272,6.14544536,2
strict,2019-03,2019-03-01,3,0,0,3,7,5,4.42424242,3.28787879,158.21917808,152.07373272,6.14544536,2
strict,2019-04,2019-04-01,4,0,0,4,0,4,4.42424242,3.28787879,0.00000000,121.65898618,-121.65898618,-4
strict,2019-05,2019-05-01,5,0,0,5,4,4,4.42424242,3.28787879,90.41095890,121.65898618,-31.24802727,0
strict,2019-06,2019-06-01,6,0,0,6,2,2,4.42424242,3.28787879,45.20547945,60.82949309,-15.62401364,0
strict,2019-07,2019-07-01,7,0,0,7,6,5,4.42424242,3.28787879,135.61643836,152.07373272,-16.45729436,1
strict,2019-08,2019-08-01,8,0,0,8,3,4,4.42424242,3.28787879,67.80821918,121.65898618,-53.85076700,-1
strict,2019-09,2019-09-01,9,0,0,9,5,2,4.42424242,3.28787879,113.01369863,60.82949309,52.18420554,3
strict,2019-10,2019-10-01,10,0,0,10,2,5,4.42424242,3.28787879,45.20547945,152.07373272,-106.86825327,-3
strict,2019-11,2019-11-01,11,0,0,11,5,8,4.42424242,3.28787879,113.01369863,243.31797235,-130.30427372,-3
strict,2019-12,2019-12-01,12,0,0,12,4,3,4.42424242,3.28787879,90.41095890,91.24423963,-0.83328073,1
strict,2020-01,2020-01-01,13,0,0,1,4,3,4.42424242,3.28787879,90.41095890,91.24423963,-0.83328073,1
strict,2020-02,2020-02-01,14,0,0,2,2,6,4.42424242,3.28787879,45.20547945,182.48847926,-137.28299981,-4
strict,2020-03,2020-03-01,15,0,0,3,12,4,4.42424242,3.28787879,271.23287671,121.65898618,149.57389054,8
strict,2020-04,2020-04-01,16,0,0,4,2,3,4.42424242,3.28787879,45.20547945,91.24423963,-46.03876018,-1
strict,2020-05,2020-05-01,17,0,0,5,3,0,4.42424242,3.28787879,67.80821918,0.00000000,67.80821918,3
strict,2020-06,2020-06-01,18,0,0,6,8,2,4.42424242,3.28787879,180.82191781,60.82949309,119.99242472,6
strict,2020-07,2020-07-01,19,0,0,7,6,4,4.42424242,3.28787879,135.61643836,121.65898618,13.95745218,2
strict,2020-08,2020-08-01,20,0,0,8,6,5,4.42424242,3.28787879,135.61643836,152.07373272,-16.45729436,1
strict,2020-09,2020-09-01,21,0,0,9,5,1,4.42424242,3.28787879,113.01369863,30.41474654,82.59895209,4
strict,2020-10,2020-10-01,22,0,0,10,4,3,4.42424242,3.28787879,90.41095890,91.24423963,-0.83328073,1
strict,2020-11,2020-11-01,23,0,0,11,1,2,4.42424242,3.28787879,22.60273973,60.82949309,-38.22675336,-1
strict,2020-12,2020-12-01,24,0,0,12,0,0,4.42424242,3.28787879,0.00000000,0.00000000,0.00000000,0
strict,2021-01,2021-01-01,25,0,0,1,7,9,4.42424242,3.28787879,158.21917808,273.73271889,-115.51354081,-2
strict,2021-02,2021-02-01,26,0,0,2,5,4,4.42424242,3.28787879,113.01369863,121.65898618,-8.64528754,1
strict,2021-03,2021-03-01,27,0,0,3,7,4,4.42424242,3.28787879,158.21917808,121.65898618,36.56019191,3
strict,2021-04,2021-04-01,28,0,0,4,3,3,4.42424242,3.28787879,67.80821918,91.24423963,-23.43602045,0
strict,2021-05,2021-05-01,29,0,0,5,4,2,4.42424242,3.28787879,90.41095890,60.82949309,29.58146582,2
strict,2021-06,2021-06-01,30,0,0,6,4,5,4.42424242,3.28787879,90.41095890,152.07373272,-61.66277381,-1
strict,2021-07,2021-07-01,31,0,0,7,0,2,4.42424242,3.28787879,0.00000000,60.82949309,-60.82949309,-2
strict,2021-08,2021-08-01,32,0,0,8,2,1,4.42424242,3.28787879,45.20547945,30.41474654,14.79073291,1
strict,2021-09,2021-09-01,33,0,0,9,1,1,4.42424242,3.28787879,22.60273973,30.41474654,-7.81200682,0
strict,2021-10,2021-10-01,34,0,0,10,2,3,4.42424242,3.28787879,45.20547945,91.24423963,-46.03876018,-1
strict,2021-11,2021-11-01,35,0,0,11,4,5,4.42424242,3.28787879,90.41095890,152.07373272,-61.66277381,-1
strict,2021-12,2021-12-01,36,0,0,12,4,2,4.42424242,3.28787879,90.41095890,60.82949309,29.58146582,2
strict,2022-01,2022-01-01,37,0,0,1,2,3,4.42424242,3.28787879,45.20547945,91.24423963,-46.03876018,-1
strict,2022-02,2022-02-01,38,0,0,2,4,3,4.42424242,3.28787879,90.41095890,91.24423963,-0.83328073,1
strict,2022-03,2022-03-01,39,0,0,3,5,7,4.42424242,3.28787879,113.01369863,212.90322581,-99.88952718,-2
strict,2022-04,2022-04-01,40,0,0,4,4,7,4.42424242,3.28787879,90.41095890,212.90322581,-122.49226690,-3
strict,2022-05,2022-05-01,41,0,0,5,5,3,4.42424242,3.28787879,113.01369863,91.24423963,21.76945900,2
strict,2022-06,2022-06-01,42,0,0,6,3,7,4.42424242,3.28787879,67.80821918,212.90322581,-145.09500663,-4
strict,2022-07,2022-07-01,43,0,0,7,3,4,4.42424242,3.28787879,67.80821918,121.65898618,-53.85076700,-1
strict,2022-08,2022-08-01,44,0,0,8,3,7,4.42424242,3.28787879,67.80821918,212.90322581,-145.09500663,-4
strict,2022-09,2022-09-01,45,0,0,9,6,4,4.42424242,3.28787879,135.61643836,121.65898618,13.95745218,2
strict,2022-10,2022-10-01,46,0,0,10,5,0,4.42424242,3.28787879,113.01369863,0.00000000,113.01369863,5
strict,2022-11,2022-11-01,47,0,0,11,7,3,4.42424242,3.28787879,158.21917808,91.24423963,66.97493845,4
strict,2022-12,2022-12-01,48,0,0,12,6,3,4.42424242,3.28787879,135.61643836,91.24423963,44.37219872,3
strict,2023-01,2023-01-01,49,0,0,1,4,2,4.42424242,3.28787879,90.41095890,60.82949309,29.58146582,2
strict,2023-02,2023-02-01,50,0,0,2,5,2,4.42424242,3.28787879,113.01369863,60.82949309,52.18420554,3
strict,2023-03,2023-03-01,51,0,0,3,6,0,4.42424242,3.28787879,135.61643836,0.00000000,135.61643836,6
strict,2023-04,2023-04-01,52,0,0,4,5,2,4.42424242,3.28787879,113.01369863,60.82949309,52.18420554,3
strict,2023-05,2023-05-01,53,0,0,5,5,3,4.42424242,3.28787879,113.01369863,91.24423963,21.76945900,2
strict,2023-06,2023-06-01,54,0,0,6,7,8,4.42424242,3.28787879,158.21917808,243.31797235,-85.09879427,-1
strict,2023-07,2023-07-01,55,0,0,7,3,3,4.42424242,3.28787879,67.80821918,91.24423963,-23.43602045,0
strict,2023-08,2023-08-01,56,0,0,8,6,1,4.42424242,3.28787879,135.61643836,30.41474654,105.20169181,5
strict,2023-09,2023-09-01,57,0,0,9,5,5,4.42424242,3.28787879,113.01369863,152.07373272,-39.06003409,0
strict,2023-10,2023-10-01,58,0,0,10,5,1,4.42424242,3.28787879,113.01369863,30.41474654,82.59895209,4
strict,2023-11,2023-11-01,59,0,0,11,12,4,4.42424242,3.28787879,271.23287671,121.65898618,149.57389054,8
strict,2023-12,2023-12-01,60,0,0,12,5,0,4.42424242,3.28787879,113.01369863,0.00000000,113.01369863,5
strict,2024-01,2024-01-01,61,0,0,1,4,0,4.42424242,3.28787879,90.41095890,0.00000000,90.41095890,4
strict,2024-02,2024-02-01,62,0,0,2,4,1,4.42424242,3.28787879,90.41095890,30.41474654,59.99621236,3
strict,2024-03,2024-03-01,63,0,0,3,5,1,4.42424242,3.28787879,113.01369863,30.41474654,82.59895209,4
strict,2024-04,2024-04-01,64,0,0,4,8,3,4.42424242,3.28787879,180.82191781,91.24423963,89.57767818,5
strict,2024-05,2024-05-01,65,0,0,5,5,3,4.42424242,3.28787879,113.01369863,91.24423963,21.76945900,2
strict,2024-06,2024-06-01,66,0,0,6,0,1,4.42424242,3.28787879,0.00000000,30.41474654,-30.41474654,-1
strict,2024-07,2024-07-01,67,1,0,7,0,0,4.42424242,3.28787879,0.00000000,0.00000000,0.00000000,0
strict,2024-08,2024-08-01,68,1,1,8,0,0,4.42424242,3.28787879,0.00000000,0.00000000,0.00000000,0
strict,2024-09,2024-09-01,69,1,2,9,0,0,4.42424242,3.28787879,0.00000000,0.00000000,0.00000000,0
strict,2024-10,2024-10-01,70,1,3,10,14,7,4.42424242,3.28787879,316.43835616,212.90322581,103.53513036,7
strict,2024-11,2024-11-01,71,1,4,11,9,12,4.42424242,3.28787879,203.42465753,364.97695853,-161.55230099,-3
strict,2024-12,2024-12-01,72,1,5,12,7,8,4.42424242,3.28787879,158.21917808,243.31797235,-85.09879427,-1
strict,2025-01,2025-01-01,73,1,6,1,7,5,4.42424242,3.28787879,158.21917808,152.07373272,6.14544536,2
strict,2025-02,2025-02-01,74,1,7,2,9,8,4.42424242,3.28787879,203.42465753,243.31797235,-39.89331482,1
