role,quantity,parameter,stata_term,inference_source,estimate,std_error,p_value,ci_low,ci_high
interaction_coefficient,Intercept,beta0,_cons,Control-series regression,141.10837156,34.74489367,0.00004881,73.00837996,209.20836315
interaction_coefficient,Time,beta1,Time,Control-series regression,-2.66737612,1.26872767,0.03551804,-5.15408235,-0.18066989
interaction_coefficient,PostJuly2024,beta2,PostJuly2024,Control-series regression,94.57006752,56.91388200,0.09658609,-16.98114121,206.12127624
interaction_coefficient,TimeAfterJuly2024,beta3,TimeAfterJuly2024,Control-series regression,8.72994739,4.40108529,0.04730160,0.10382022,17.35607456
interaction_coefficient,Treated,delta0,Treated,Treatment-minus-Control difference regression,-53.16782429,26.00250861,0.04088257,-104.13274116,-2.20290742
interaction_coefficient,Treated x Time,delta1,Treated x Time,Treatment-minus-Control difference regression,4.37675602,1.04294288,0.00002710,2.33258797,6.42092407
interaction_coefficient,Treated x PostJuly2024,delta2,Treated x PostJuly2024,Treatment-minus-Control difference regression,-124.81080092,48.66856300,0.01033229,-220.20118439,-29.42041745
interaction_coefficient,Treated x TimeAfterJuly2024,delta3,Treated x TimeAfterJuly2024,Treatment-minus-Control difference regression,1.23508108,2.91336797,0.67161261,-4.47512015,6.94528231
linear_combination,Control pre slope,control_pre_slope,,Newey-West HAC from the named component series,-2.66737612,1.26872767,0.03551804,-5.15408235,-0.18066989
linear_combination,Control post slope,control_post_slope,,Newey-West HAC from the named component series,6.06257127,4.05651465,0.13503789,-1.88819745,14.01333999
linear_combination,Control slope change,control_slope_change,,Newey-West HAC from the named component series,8.72994739,4.40108529,0.04730160,0.10382022,17.35607456
linear_combination,Treatment pre slope,treatment_pre_slope,,Newey-West HAC from the named component series,1.70937990,0.88150860,0.05248273,-0.01837695,3.43713675
linear_combination,Treatment post slope,treatment_post_slope,,Newey-West HAC from the named component series,11.67440837,2.34879582,0.00000067,7.07076856,16.27804818
linear_combination,Treatment slope change,treatment_slope_change,,Newey-West HAC from the named component series,9.96502847,2.75741230,0.00030162,4.56050036,15.36955659
linear_combination,Differential pre slope (delta1),delta1,,Newey-West HAC from the named component series,4.37675602,1.04294288,0.00002710,2.33258797,6.42092407
linear_combination,Differential immediate change (delta2),delta2,,Newey-West HAC from the named component series,-124.81080092,48.66856300,0.01033229,-220.20118439,-29.42041745
linear_combination,Differential slope change (delta3),delta3,,Newey-West HAC from the named component series,1.23508108,2.91336797,0.67161261,-4.47512015,6.94528231
