role,quantity,parameter,stata_term,inference_source,estimate,std_error,p_value,ci_low,ci_high
interaction_coefficient,Intercept,beta0,_cons,Control-series regression,4.52376838,1.11388041,0.00004881,2.34056277,6.70697400
interaction_coefficient,Time,beta1,Time,Control-series regression,-0.08551294,0.04067392,0.03551804,-0.16523382,-0.00579206
interaction_coefficient,PostJuly2024,beta2,PostJuly2024,Control-series regression,3.03180511,1.82459210,0.09658609,-0.54439541,6.60800562
interaction_coefficient,TimeAfterJuly2024,beta3,TimeAfterJuly2024,Control-series regression,0.27987184,0.14109362,0.04730160,0.00332835,0.55641533
interaction_coefficient,Treated,delta0,Treated,Treatment-minus-Control difference regression,-0.46298429,1.27499731,0.71651099,-2.96197902,2.03601044
interaction_coefficient,Treated x Time,delta1,Treated x Time,Treatment-minus-Control difference regression,0.16444607,0.03725953,0.00001017,0.09141739,0.23747475
interaction_coefficient,Treated x PostJuly2024,delta2,Treated x PostJuly2024,Treatment-minus-Control difference regression,-4.42821544,1.58764147,0.00528419,-7.53999273,-1.31643816
interaction_coefficient,Treated x TimeAfterJuly2024,delta3,Treated x TimeAfterJuly2024,Treatment-minus-Control difference regression,0.18027800,0.09356796,0.05401621,-0.00311520,0.36367121
linear_combination,Control pre slope,control_pre_slope,,Newey-West HAC from the named component series,-0.08551294,0.04067392,0.03551804,-0.16523382,-0.00579206
linear_combination,Control post slope,control_post_slope,,Newey-West HAC from the named component series,0.19435890,0.13004709,0.13503789,-0.06053339,0.44925119
linear_combination,Control slope change,control_slope_change,,Newey-West HAC from the named component series,0.27987184,0.14109362,0.04730160,0.00332835,0.55641533
linear_combination,Treatment pre slope,treatment_pre_slope,,Newey-West HAC from the named component series,0.07893313,0.04070496,0.05248273,-0.00084858,0.15871484
linear_combination,Treatment post slope,treatment_post_slope,,Newey-West HAC from the named component series,0.53908297,0.10845910,0.00000067,0.32650314,0.75166281
linear_combination,Treatment slope change,treatment_slope_change,,Newey-West HAC from the named component series,0.46014984,0.12732757,0.00030162,0.21058781,0.70971188
linear_combination,Differential pre slope (delta1),delta1,,Newey-West HAC from the named component series,0.16444607,0.03725953,0.00001017,0.09141739,0.23747475
linear_combination,Differential immediate change (delta2),delta2,,Newey-West HAC from the named component series,-4.42821544,1.58764147,0.00528419,-7.53999273,-1.31643816
linear_combination,Differential slope change (delta3),delta3,,Newey-West HAC from the named component series,0.18027800,0.09356796,0.05401621,-0.00311520,0.36367121
