role,quantity,parameter,stata_term,inference_source,estimate,std_error,p_value,ci_low,ci_high
interaction_coefficient,Intercept,beta0,_cons,Control-series regression,4.13665482,1.10110780,0.00017209,1.97848353,6.29482611
interaction_coefficient,Time,beta1,Time,Control-series regression,-0.08443008,0.03861821,0.02879540,-0.16012178,-0.00873838
interaction_coefficient,PostJuly2024,beta2,PostJuly2024,Control-series regression,3.18406341,1.76347332,0.07098652,-0.27234429,6.64047111
interaction_coefficient,TimeAfterJuly2024,beta3,TimeAfterJuly2024,Control-series regression,0.21629005,0.13918269,0.12018417,-0.05650803,0.48908813
interaction_coefficient,Treated,delta0,Treated,Treatment-minus-Control difference regression,-0.07587072,1.25354159,0.95173743,-2.53281224,2.38107079
interaction_coefficient,Treated x Time,delta1,Treated x Time,Treatment-minus-Control difference regression,0.16336321,0.03676594,0.00000886,0.09130198,0.23542445
interaction_coefficient,Treated x PostJuly2024,delta2,Treated x PostJuly2024,Treatment-minus-Control difference regression,-4.58047375,1.55210541,0.00316608,-7.62260035,-1.53834715
interaction_coefficient,Treated x TimeAfterJuly2024,delta3,Treated x TimeAfterJuly2024,Treatment-minus-Control difference regression,0.24385979,0.09816390,0.01298390,0.05145856,0.43626103
linear_combination,Control pre slope,control_pre_slope,,Newey-West HAC from the named component series,-0.08443008,0.03861821,0.02879540,-0.16012178,-0.00873838
linear_combination,Control post slope,control_post_slope,,Newey-West HAC from the named component series,0.13185997,0.12921305,0.30749854,-0.12139761,0.38511754
linear_combination,Control slope change,control_slope_change,,Newey-West HAC from the named component series,0.21629005,0.13918269,0.12018417,-0.05650803,0.48908813
linear_combination,Treatment pre slope,treatment_pre_slope,,Newey-West HAC from the named component series,0.07893313,0.04070496,0.05248273,-0.00084858,0.15871484
linear_combination,Treatment post slope,treatment_post_slope,,Newey-West HAC from the named component series,0.53908297,0.10845910,0.00000067,0.32650314,0.75166281
linear_combination,Treatment slope change,treatment_slope_change,,Newey-West HAC from the named component series,0.46014984,0.12732757,0.00030162,0.21058781,0.70971188
linear_combination,Differential pre slope (delta1),delta1,,Newey-West HAC from the named component series,0.16336321,0.03676594,0.00000886,0.09130198,0.23542445
linear_combination,Differential immediate change (delta2),delta2,,Newey-West HAC from the named component series,-4.58047375,1.55210541,0.00316608,-7.62260035,-1.53834715
linear_combination,Differential slope change (delta3),delta3,,Newey-West HAC from the named component series,0.24385979,0.09816390,0.01298390,0.05145856,0.43626103
