specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,Intercept,141.10837156,34.74489367,4.06126934,0.00004881,73.00837996,209.20836315,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,Time,-2.66737612,1.26872767,-2.10240242,0.03551804,-5.15408235,-0.18066989,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,PostJuly2024,94.57006752,56.91388200,1.66163446,0.09658609,-16.98114121,206.12127624,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,8.72994739,4.40108529,1.98358969,0.04730160,0.10382022,17.35607456,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_02,-7.06313495,31.13280164,-0.22687116,0.82052393,-68.08342617,53.95715628,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_03,4.58932644,33.59945532,0.13658931,0.89135543,-61.26560600,70.44425887,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_04,22.48031993,51.58806579,0.43576590,0.66300659,-78.63228901,123.59292887,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_05,-13.18045486,33.38522078,-0.39479909,0.69299116,-78.61548759,52.25457786,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_06,88.68058120,41.38408087,2.14286700,0.03212378,7.56778269,169.79337971,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_07,-28.05502806,38.02542423,-0.73779658,0.46063807,-102.58485954,46.47480342,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_08,-14.15629536,51.22323725,-0.27636471,0.78226796,-114.55384036,86.24124965,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_09,-2.94012077,57.11611143,-0.05147621,0.95894606,-114.88769916,109.00745762,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_10,-28.71885205,32.61528497,-0.88053353,0.37857035,-92.64481058,35.20710649,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_11,70.27305888,37.74946782,1.86156423,0.06266454,-3.71589804,144.26201580,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_12,-42.84512194,53.61700416,-0.79909578,0.42423487,-147.93445008,62.24420621,56,0.47743134,2.67561353,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,Intercept,87.94054726,42.38390484,2.07485713,0.03799978,4.86809379,171.01300074,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,Time,1.70937990,0.88150860,1.93915284,0.05248273,-0.01837695,3.43713675,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,PostJuly2024,-30.24073340,27.14104739,-1.11420657,0.26519058,-83.43718628,22.95571948,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,9.96502847,2.75741230,3.61390586,0.00030162,4.56050036,15.36955659,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_02,-36.01386262,50.46984201,-0.71357193,0.47549192,-134.93475296,62.90702771,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_03,14.59647857,36.87579407,0.39582818,0.69223178,-57.68007781,86.87303495,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_04,-34.41101463,66.16814535,-0.52005409,0.60302588,-164.10057951,95.27855025,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_05,-10.68186116,39.22688458,-0.27230970,0.78538390,-87.56655493,66.20283262,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_06,-14.88249817,59.19192595,-0.25142784,0.80148334,-130.89867303,101.13367669,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_07,-49.42104101,44.45074395,-1.11181584,0.26621734,-136.54449916,37.70241713,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_08,-61.52694789,44.00819072,-1.39807947,0.16208920,-147.78300169,24.72910592,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_09,-46.51779790,46.27527594,-1.00524085,0.31478089,-137.21733876,44.18174295,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_10,17.08617387,49.03860117,0.34842295,0.72752257,-79.02948442,113.20183215,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_11,20.05320296,58.24080028,0.34431537,0.73060912,-94.09876559,134.20517150,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_12,-37.61671062,58.25048599,-0.64577505,0.51842505,-151.78766315,76.55424191,56,0.59473748,4.29778502,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,Intercept,-53.16782429,26.00250861,-2.04471903,0.04088257,-104.13274116,-2.20290742,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,Time,4.37675602,1.04294288,4.19654432,0.00002710,2.33258797,6.42092407,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,PostJuly2024,-124.81080092,48.66856300,-2.56450557,0.01033229,-220.20118439,-29.42041745,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,1.23508108,2.91336797,0.42393583,0.67161261,-4.47512015,6.94528231,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_02,-28.95072768,30.33566065,-0.95434637,0.33990834,-88.40862255,30.50716719,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_03,10.00715213,34.29466148,0.29179912,0.77044022,-57.21038436,77.22468862,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_04,-56.89133456,44.07785638,-1.29070103,0.19680737,-143.28393308,29.50126395,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_05,2.49859371,35.41992039,0.07054205,0.94376223,-66.92445026,71.92163767,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_06,-103.56307938,36.53984119,-2.83425094,0.00459332,-175.18116812,-31.94499064,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_07,-21.36601296,30.17860862,-0.70798536,0.47895435,-80.51608587,37.78405994,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_08,-47.37065253,46.85865720,-1.01092638,0.31205167,-139.21362064,44.47231557,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_09,-43.57767714,35.33987513,-1.23310218,0.21753764,-112.84383239,25.68847811,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
broad,new_cits_broad_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_10,45.80502591,29.62239211,1.54629733,0.12203278,-12.25486263,103.86491445,56,0.38777499,1.85491733,3,OLS Newey-West HAC,2021-09-28 through 2026-04
