specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,Intercept,145.94255122,34.19570142,4.26786248,0.00001974,78.91897643,212.96612600,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,Time,-3.48135187,1.06012225,-3.28391550,0.00102376,-5.55919148,-1.40351227,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,PostJuly2024,109.99516497,58.77231618,1.87154722,0.06126927,-5.19857475,225.18890469,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,7.96464678,4.54148079,1.75375547,0.07947242,-0.93665555,16.86594912,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_02,-12.77381377,42.67481868,-0.29932907,0.76468898,-96.41645838,70.86883084,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_03,-5.94366714,39.80267092,-0.14932835,0.88129455,-83.95690215,72.06956786,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_04,13.95578641,44.09285285,0.31650904,0.75161617,-72.46620518,100.37777800,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_05,3.35030811,34.15473314,0.09809206,0.92185919,-63.59296885,70.29358506,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_06,102.86030027,42.11538321,2.44234511,0.01459219,20.31414918,185.40645136,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_07,-12.99978595,40.94682339,-0.31747972,0.75087963,-93.25555979,67.25598790,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_08,-5.33244063,52.04325739,-0.10246170,0.91839021,-107.33722511,96.67234385,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_09,18.67153834,54.71454712,0.34125364,0.73291265,-88.56897402,125.91205071,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_10,-13.95578641,35.81168041,-0.38969929,0.69675892,-84.14668001,56.23510719,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_control,Control series,control_index_pre_mean,normalized,sequence control proxy,each group's full pre-July-2024 monthly mean,month_11,90.89416220,40.71221262,2.23260187,0.02557521,11.09822546,170.69009894,55,0.46421479,2.47548450,3,OLS Newey-West HAC,2021-10 through 2026-04
