specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
broad,2021-09,2021-09-01,1,0,0,9,Control,0,0,0.00000000
broad,2021-09,2021-09-01,1,0,0,9,Treatment,1,0,0.00000000
broad,2021-10,2021-10-01,2,0,0,10,Control,0,3,93.57798165
broad,2021-10,2021-10-01,2,0,0,10,Treatment,1,2,43.31210191
broad,2021-11,2021-11-01,3,0,0,11,Control,0,5,155.96330275
broad,2021-11,2021-11-01,3,0,0,11,Treatment,1,4,86.62420382
broad,2021-12,2021-12-01,4,0,0,12,Control,0,2,62.38532110
broad,2021-12,2021-12-01,4,0,0,12,Treatment,1,4,86.62420382
broad,2022-01,2022-01-01,5,0,0,1,Control,0,3,93.57798165
broad,2022-01,2022-01-01,5,0,0,1,Treatment,1,2,43.31210191
broad,2022-02,2022-02-01,6,0,0,2,Control,0,3,93.57798165
broad,2022-02,2022-02-01,6,0,0,2,Treatment,1,4,86.62420382
broad,2022-03,2022-03-01,7,0,0,3,Control,0,7,218.34862385
broad,2022-03,2022-03-01,7,0,0,3,Treatment,1,5,108.28025478
broad,2022-04,2022-04-01,8,0,0,4,Control,0,9,280.73394495
broad,2022-04,2022-04-01,8,0,0,4,Treatment,1,4,86.62420382
broad,2022-05,2022-05-01,9,0,0,5,Control,0,3,93.57798165
broad,2022-05,2022-05-01,9,0,0,5,Treatment,1,5,108.28025478
broad,2022-06,2022-06-01,10,0,0,6,Control,0,7,218.34862385
broad,2022-06,2022-06-01,10,0,0,6,Treatment,1,3,64.96815287
broad,2022-07,2022-07-01,11,0,0,7,Control,0,4,124.77064220
broad,2022-07,2022-07-01,11,0,0,7,Treatment,1,3,64.96815287
broad,2022-08,2022-08-01,12,0,0,8,Control,0,7,218.34862385
broad,2022-08,2022-08-01,12,0,0,8,Treatment,1,3,64.96815287
broad,2022-09,2022-09-01,13,0,0,9,Control,0,6,187.15596330
broad,2022-09,2022-09-01,13,0,0,9,Treatment,1,6,129.93630573
broad,2022-10,2022-10-01,14,0,0,10,Control,0,0,0.00000000
broad,2022-10,2022-10-01,14,0,0,10,Treatment,1,5,108.28025478
broad,2022-11,2022-11-01,15,0,0,11,Control,0,3,93.57798165
broad,2022-11,2022-11-01,15,0,0,11,Treatment,1,7,151.59235669
broad,2022-12,2022-12-01,16,0,0,12,Control,0,3,93.57798165
broad,2022-12,2022-12-01,16,0,0,12,Treatment,1,6,129.93630573
broad,2023-01,2023-01-01,17,0,0,1,Control,0,3,93.57798165
broad,2023-01,2023-01-01,17,0,0,1,Treatment,1,4,86.62420382
broad,2023-02,2023-02-01,18,0,0,2,Control,0,2,62.38532110
broad,2023-02,2023-02-01,18,0,0,2,Treatment,1,5,108.28025478
broad,2023-03,2023-03-01,19,0,0,3,Control,0,1,31.19266055
broad,2023-03,2023-03-01,19,0,0,3,Treatment,1,6,129.93630573
broad,2023-04,2023-04-01,20,0,0,4,Control,0,2,62.38532110
broad,2023-04,2023-04-01,20,0,0,4,Treatment,1,5,108.28025478
broad,2023-05,2023-05-01,21,0,0,5,Control,0,3,93.57798165
broad,2023-05,2023-05-01,21,0,0,5,Treatment,1,5,108.28025478
broad,2023-06,2023-06-01,22,0,0,6,Control,0,8,249.54128440
broad,2023-06,2023-06-01,22,0,0,6,Treatment,1,7,151.59235669
broad,2023-07,2023-07-01,23,0,0,7,Control,0,3,93.57798165
broad,2023-07,2023-07-01,23,0,0,7,Treatment,1,3,64.96815287
broad,2023-08,2023-08-01,24,0,0,8,Control,0,1,31.19266055
broad,2023-08,2023-08-01,24,0,0,8,Treatment,1,6,129.93630573
broad,2023-09,2023-09-01,25,0,0,9,Control,0,5,155.96330275
broad,2023-09,2023-09-01,25,0,0,9,Treatment,1,5,108.28025478
broad,2023-10,2023-10-01,26,0,0,10,Control,0,1,31.19266055
broad,2023-10,2023-10-01,26,0,0,10,Treatment,1,5,108.28025478
broad,2023-11,2023-11-01,27,0,0,11,Control,0,4,124.77064220
broad,2023-11,2023-11-01,27,0,0,11,Treatment,1,12,259.87261146
broad,2023-12,2023-12-01,28,0,0,12,Control,0,0,0.00000000
broad,2023-12,2023-12-01,28,0,0,12,Treatment,1,5,108.28025478
broad,2024-01,2024-01-01,29,0,0,1,Control,0,0,0.00000000
broad,2024-01,2024-01-01,29,0,0,1,Treatment,1,4,86.62420382
broad,2024-02,2024-02-01,30,0,0,2,Control,0,2,62.38532110
broad,2024-02,2024-02-01,30,0,0,2,Treatment,1,4,86.62420382
broad,2024-03,2024-03-01,31,0,0,3,Control,0,1,31.19266055
broad,2024-03,2024-03-01,31,0,0,3,Treatment,1,5,108.28025478
broad,2024-04,2024-04-01,32,0,0,4,Control,0,4,124.77064220
broad,2024-04,2024-04-01,32,0,0,4,Treatment,1,8,173.24840764
broad,2024-05,2024-05-01,33,0,0,5,Control,0,3,93.57798165
broad,2024-05,2024-05-01,33,0,0,5,Treatment,1,5,108.28025478
broad,2024-06,2024-06-01,34,0,0,6,Control,0,1,31.19266055
broad,2024-06,2024-06-01,34,0,0,6,Treatment,1,0,0.00000000
broad,2024-07,2024-07-01,35,1,0,7,Control,0,0,0.00000000
broad,2024-07,2024-07-01,35,1,0,7,Treatment,1,0,0.00000000
broad,2024-08,2024-08-01,36,1,1,8,Control,0,0,0.00000000
