specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
strict,2019-01,2019-01-01,1,0,0,1,Control,0,5,152.07373272
strict,2019-01,2019-01-01,1,0,0,1,Treatment,1,4,90.41095890
strict,2019-02,2019-02-01,2,0,0,2,Control,0,5,152.07373272
strict,2019-02,2019-02-01,2,0,0,2,Treatment,1,7,158.21917808
strict,2019-03,2019-03-01,3,0,0,3,Control,0,5,152.07373272
strict,2019-03,2019-03-01,3,0,0,3,Treatment,1,7,158.21917808
strict,2019-04,2019-04-01,4,0,0,4,Control,0,4,121.65898618
strict,2019-04,2019-04-01,4,0,0,4,Treatment,1,0,0.00000000
strict,2019-05,2019-05-01,5,0,0,5,Control,0,4,121.65898618
strict,2019-05,2019-05-01,5,0,0,5,Treatment,1,4,90.41095890
strict,2019-06,2019-06-01,6,0,0,6,Control,0,2,60.82949309
strict,2019-06,2019-06-01,6,0,0,6,Treatment,1,2,45.20547945
strict,2019-07,2019-07-01,7,0,0,7,Control,0,5,152.07373272
strict,2019-07,2019-07-01,7,0,0,7,Treatment,1,6,135.61643836
strict,2019-08,2019-08-01,8,0,0,8,Control,0,4,121.65898618
strict,2019-08,2019-08-01,8,0,0,8,Treatment,1,3,67.80821918
strict,2019-09,2019-09-01,9,0,0,9,Control,0,2,60.82949309
strict,2019-09,2019-09-01,9,0,0,9,Treatment,1,5,113.01369863
strict,2019-10,2019-10-01,10,0,0,10,Control,0,5,152.07373272
strict,2019-10,2019-10-01,10,0,0,10,Treatment,1,2,45.20547945
strict,2019-11,2019-11-01,11,0,0,11,Control,0,8,243.31797235
strict,2019-11,2019-11-01,11,0,0,11,Treatment,1,5,113.01369863
strict,2019-12,2019-12-01,12,0,0,12,Control,0,3,91.24423963
strict,2019-12,2019-12-01,12,0,0,12,Treatment,1,4,90.41095890
strict,2020-01,2020-01-01,13,0,0,1,Control,0,3,91.24423963
strict,2020-01,2020-01-01,13,0,0,1,Treatment,1,4,90.41095890
strict,2020-02,2020-02-01,14,0,0,2,Control,0,6,182.48847926
strict,2020-02,2020-02-01,14,0,0,2,Treatment,1,2,45.20547945
strict,2020-03,2020-03-01,15,0,0,3,Control,0,4,121.65898618
strict,2020-03,2020-03-01,15,0,0,3,Treatment,1,12,271.23287671
strict,2020-04,2020-04-01,16,0,0,4,Control,0,3,91.24423963
strict,2020-04,2020-04-01,16,0,0,4,Treatment,1,2,45.20547945
strict,2020-05,2020-05-01,17,0,0,5,Control,0,0,0.00000000
