project_age_band_at_publication_month,quarter,project_periods,publication_count,any_publication_rate_percent,publication_count_per_100_project_periods
2_5y,2019Q1,436,87,,19.95
2_5y,2019Q2,491,86,,17.52
2_5y,2019Q3,511,88,,17.22
2_5y,2019Q4,504,99,,19.64
2_5y,2020Q1,519,90,,17.34
2_5y,2020Q2,547,86,,15.72
2_5y,2020Q3,604,119,,19.70
2_5y,2020Q4,668,95,,14.22
2_5y,2021Q1,754,129,,17.11
2_5y,2021Q2,821,132,,16.08
2_5y,2021Q3,889,125,,14.06
2_5y,2021Q4,967,132,,13.65
2_5y,2022Q1,1105,115,,10.41
2_5y,2022Q2,1202,119,,9.90
2_5y,2022Q3,1311,159,,12.13
2_5y,2022Q4,1377,170,,12.35
2_5y,2023Q1,1564,206,,13.17
2_5y,2023Q2,1628,201,,12.35
2_5y,2023Q3,1600,215,,13.44
2_5y,2023Q4,1607,220,,13.69
2_5y,2024Q1,1654,200,,12.09
2_5y,2024Q2,1697,231,,13.61
2_5y,2024Q3,1809,251,,13.88
2_5y,2024Q4,1866,221,,11.84
2_5y,2025Q1,1855,299,,16.12
2_5y,2025Q2,1896,332,,17.51
2_5y,2025Q3,1925,423,,21.97
2_5y,2025Q4,2039,412,,20.21
5y_plus,2019Q1,47,5,,10.64
5y_plus,2019Q2,51,9,,17.65
5y_plus,2019Q3,70,9,,12.86
5y_plus,2019Q4,85,16,,18.82
5y_plus,2020Q1,104,16,,15.38
5y_plus,2020Q2,136,34,,25.00
5y_plus,2020Q3,185,34,,18.38
5y_plus,2020Q4,237,55,,23.21
5y_plus,2021Q1,283,64,,22.61
5y_plus,2021Q2,344,71,,20.64
5y_plus,2021Q3,384,69,,17.97
5y_plus,2021Q4,430,85,,19.77
5y_plus,2022Q1,483,113,,23.40
5y_plus,2022Q2,542,116,,21.40
5y_plus,2022Q3,581,122,,21.00
5y_plus,2022Q4,589,136,,23.09
5y_plus,2023Q1,623,134,,21.51
5y_plus,2023Q2,683,141,,20.64
5y_plus,2023Q3,789,125,,15.84
5y_plus,2023Q4,905,113,,12.49
5y_plus,2024Q1,1037,167,,16.10
5y_plus,2024Q2,1165,147,,12.62
5y_plus,2024Q3,1273,159,,12.49
5y_plus,2024Q4,1397,176,,12.60
5y_plus,2025Q1,1588,214,,13.48
5y_plus,2025Q2,1744,192,,11.01
5y_plus,2025Q3,1892,238,,12.58
5y_plus,2025Q4,1966,232,,11.80
lt_2y,2019Q1,554,18,,3.25
lt_2y,2019Q2,623,19,,3.05
lt_2y,2019Q3,692,4,,0.58
lt_2y,2019Q4,808,25,,3.09
lt_2y,2020Q1,965,26,,2.69
lt_2y,2020Q2,1061,32,,3.02
lt_2y,2020Q3,1103,34,,3.08
lt_2y,2020Q4,1061,47,,4.43
lt_2y,2021Q1,1150,63,,5.48
lt_2y,2021Q2,1146,63,,5.50
lt_2y,2021Q3,1116,44,,3.94
lt_2y,2021Q4,1115,51,,4.57
lt_2y,2022Q1,1103,63,,5.71
lt_2y,2022Q2,1118,56,,5.01
lt_2y,2022Q3,1190,68,,5.71
lt_2y,2022Q4,1297,53,,4.09
lt_2y,2023Q1,1256,84,,6.69
lt_2y,2023Q2,1329,63,,4.74
lt_2y,2023Q3,1428,68,,4.76
lt_2y,2023Q4,1493,81,,5.43
lt_2y,2024Q1,1523,91,,5.98
lt_2y,2024Q2,1467,133,,9.07
lt_2y,2024Q3,1250,113,,9.04
lt_2y,2024Q4,1069,95,,8.89
lt_2y,2025Q1,889,99,,11.14
lt_2y,2025Q2,692,88,,12.72
lt_2y,2025Q3,515,78,,15.15
lt_2y,2025Q4,327,55,,16.82
