period,period_start,publication_app_links,unique_publication_ids,fractional_publication_count,app_links_minus_unique_ids,app_links_minus_fractional_count,unique_id_reduction_percent_vs_app_links,fractional_reduction_percent_vs_app_links,note
2019-01,2019-01-01,45,40,40.000,5,5.000,11.11,11.11,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-02,2019-02-01,41,39,39.000,2,2.000,4.88,4.88,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-03,2019-03-01,36,29,29.000,7,7.000,19.44,19.44,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-04,2019-04-01,33,32,32.000,1,1.000,3.03,3.03,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-05,2019-05-01,45,40,40.000,5,5.000,11.11,11.11,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-06,2019-06-01,45,37,37.000,8,8.000,17.78,17.78,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-07,2019-07-01,41,36,36.000,5,5.000,12.20,12.20,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-08,2019-08-01,36,33,33.000,3,3.000,8.33,8.33,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-09,2019-09-01,33,31,31.000,2,2.000,6.06,6.06,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-10,2019-10-01,48,45,45.000,3,3.000,6.25,6.25,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-11,2019-11-01,49,45,45.000,4,4.000,8.16,8.16,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2019-12,2019-12-01,48,44,44.000,4,4.000,8.33,8.33,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-01,2020-01-01,43,42,42.000,1,1.000,2.33,2.33,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-02,2020-02-01,38,34,34.000,4,4.000,10.53,10.53,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-03,2020-03-01,57,52,52.000,5,5.000,8.77,8.77,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-04,2020-04-01,42,36,36.000,6,6.000,14.29,14.29,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-05,2020-05-01,49,49,49.000,0,0.000,0.00,0.00,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-06,2020-06-01,66,62,62.000,4,4.000,6.06,6.06,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-07,2020-07-01,70,70,70.000,0,0.000,0.00,0.00,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-08,2020-08-01,66,63,63.000,3,3.000,4.55,4.55,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2020-09,2020-09-01,58,53,53.000,5,5.000,8.62,8.62,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
