age_band,month,month_start,post_start_incumbent_projects,unique_publication_ids,publication_intensity_per_100,post_transition
lt_2y,2019-01,2019-01-01,493,7,1.420,0
2_5y,2019-01,2019-01-01,409,31,7.579,0
5y_plus,2019-01,2019-01-01,43,2,4.651,0
lt_2y,2019-02,2019-02-01,519,6,1.156,0
2_5y,2019-02,2019-02-01,423,31,7.329,0
5y_plus,2019-02,2019-02-01,43,3,6.977,0
lt_2y,2019-03,2019-03-01,554,5,0.903,0
2_5y,2019-03,2019-03-01,436,25,5.734,0
5y_plus,2019-03,2019-03-01,47,0,0.000,0
lt_2y,2019-04,2019-04-01,563,2,0.355,0
2_5y,2019-04,2019-04-01,461,27,5.857,0
5y_plus,2019-04,2019-04-01,48,3,6.250,0
lt_2y,2019-05,2019-05-01,607,8,1.318,0
2_5y,2019-05,2019-05-01,476,32,6.723,0
5y_plus,2019-05,2019-05-01,49,3,6.122,0
lt_2y,2019-06,2019-06-01,623,9,1.445,0
2_5y,2019-06,2019-06-01,491,27,5.499,0
5y_plus,2019-06,2019-06-01,51,3,5.882,0
lt_2y,2019-07,2019-07-01,652,2,0.307,0
2_5y,2019-07,2019-07-01,503,30,5.964,0
5y_plus,2019-07,2019-07-01,60,4,6.667,0
lt_2y,2019-08,2019-08-01,671,0,0.000,0
2_5y,2019-08,2019-08-01,509,31,6.090,0
5y_plus,2019-08,2019-08-01,62,2,3.226,0
lt_2y,2019-09,2019-09-01,692,2,0.289,0
2_5y,2019-09,2019-09-01,511,27,5.284,0
5y_plus,2019-09,2019-09-01,70,3,4.286,0
lt_2y,2019-10,2019-10-01,731,8,1.094,0
2_5y,2019-10,2019-10-01,513,34,6.628,0
5y_plus,2019-10,2019-10-01,72,5,6.944,0
lt_2y,2019-11,2019-11-01,779,9,1.155,0
2_5y,2019-11,2019-11-01,516,31,6.008,0
5y_plus,2019-11,2019-11-01,73,6,8.219,0
lt_2y,2019-12,2019-12-01,808,8,0.990,0
2_5y,2019-12,2019-12-01,504,34,6.746,0
5y_plus,2019-12,2019-12-01,85,5,5.882,0
lt_2y,2020-01,2020-01-01,861,7,0.813,0
2_5y,2020-01,2020-01-01,495,30,6.061,0
5y_plus,2020-01,2020-01-01,94,5,5.319,0
lt_2y,2020-02,2020-02-01,894,4,0.447,0
2_5y,2020-02,2020-02-01,502,28,5.578,0
5y_plus,2020-02,2020-02-01,101,3,2.970,0
lt_2y,2020-03,2020-03-01,965,15,1.554,0
2_5y,2020-03,2020-03-01,519,32,6.166,0
5y_plus,2020-03,2020-03-01,104,8,7.692,0
lt_2y,2020-04,2020-04-01,997,6,0.602,0
2_5y,2020-04,2020-04-01,522,19,3.640,0
5y_plus,2020-04,2020-04-01,120,13,10.833,0
lt_2y,2020-05,2020-05-01,1019,12,1.178,0
2_5y,2020-05,2020-05-01,526,26,4.943,0
5y_plus,2020-05,2020-05-01,130,11,8.462,0
lt_2y,2020-06,2020-06-01,1061,14,1.320,0
2_5y,2020-06,2020-06-01,547,41,7.495,0
5y_plus,2020-06,2020-06-01,136,10,7.353,0
