project_cohort,project_age_months,projects_with_complete_followup_to_age,projects_with_first_publication_by_age,cumulative_first_publication_probability_percent,censor_date
pre_rap_project_start,0,4332,3,0.069,2025-12-31
pre_rap_project_start,1,4332,6,0.139,2025-12-31
pre_rap_project_start,2,4332,12,0.277,2025-12-31
pre_rap_project_start,3,4332,17,0.392,2025-12-31
pre_rap_project_start,4,4332,31,0.716,2025-12-31
pre_rap_project_start,5,4332,48,1.108,2025-12-31
pre_rap_project_start,6,4332,69,1.593,2025-12-31
pre_rap_project_start,7,4332,91,2.101,2025-12-31
pre_rap_project_start,8,4332,119,2.747,2025-12-31
pre_rap_project_start,9,4332,144,3.324,2025-12-31
pre_rap_project_start,10,4332,181,4.178,2025-12-31
pre_rap_project_start,11,4332,224,5.171,2025-12-31
pre_rap_project_start,12,4332,288,6.648,2025-12-31
pre_rap_project_start,13,4332,349,8.056,2025-12-31
pre_rap_project_start,14,4332,402,9.280,2025-12-31
pre_rap_project_start,15,4332,457,10.549,2025-12-31
pre_rap_project_start,16,4332,509,11.750,2025-12-31
pre_rap_project_start,17,4332,570,13.158,2025-12-31
pre_rap_project_start,18,4329,639,14.761,2025-12-31
pre_rap_project_start,19,4319,689,15.953,2025-12-31
pre_rap_project_start,20,4286,756,17.639,2025-12-31
pre_rap_project_start,21,4214,803,19.056,2025-12-31
pre_rap_project_start,22,4131,832,20.140,2025-12-31
pre_rap_project_start,23,4080,879,21.544,2025-12-31
pre_rap_project_start,24,4005,911,22.747,2025-12-31
pre_rap_project_start,25,3968,944,23.790,2025-12-31
pre_rap_project_start,26,3888,969,24.923,2025-12-31
pre_rap_project_start,27,3817,1009,26.434,2025-12-31
pre_rap_project_start,28,3760,1041,27.686,2025-12-31
pre_rap_project_start,29,3702,1076,29.065,2025-12-31
pre_rap_project_start,30,3640,1102,30.275,2025-12-31
pre_rap_project_start,31,3564,1114,31.257,2025-12-31
pre_rap_project_start,32,3501,1143,32.648,2025-12-31
pre_rap_project_start,33,3443,1170,33.982,2025-12-31
pre_rap_project_start,34,3370,1184,35.134,2025-12-31
pre_rap_project_start,35,3321,1198,36.073,2025-12-31
pre_rap_project_start,36,3263,1210,37.082,2025-12-31
pre_rap_project_start,37,3191,1233,38.640,2025-12-31
pre_rap_project_start,38,3117,1231,39.493,2025-12-31
pre_rap_project_start,39,3082,1248,40.493,2025-12-31
pre_rap_project_start,40,2988,1229,41.131,2025-12-31
pre_rap_project_start,41,2915,1230,42.196,2025-12-31
pre_rap_project_start,42,2862,1224,42.767,2025-12-31
pre_rap_project_start,43,2816,1227,43.572,2025-12-31
pre_rap_project_start,44,2750,1207,43.891,2025-12-31
pre_rap_project_start,45,2691,1197,44.482,2025-12-31
pre_rap_project_start,46,2610,1176,45.057,2025-12-31
pre_rap_project_start,47,2548,1162,45.604,2025-12-31
pre_rap_project_start,48,2512,1162,46.258,2025-12-31
pre_rap_project_start,49,2477,1155,46.629,2025-12-31
pre_rap_project_start,50,2435,1155,47.433,2025-12-31
pre_rap_project_start,51,2389,1152,48.221,2025-12-31
pre_rap_project_start,52,2356,1148,48.727,2025-12-31
pre_rap_project_start,53,2336,1149,49.187,2025-12-31
pre_rap_project_start,54,2311,1144,49.502,2025-12-31
pre_rap_project_start,55,2267,1137,50.154,2025-12-31
pre_rap_project_start,56,2227,1129,50.696,2025-12-31
pre_rap_project_start,57,2187,1115,50.983,2025-12-31
pre_rap_project_start,58,2109,1095,51.920,2025-12-31
pre_rap_project_start,59,2053,1083,52.752,2025-12-31
pre_rap_project_start,60,1966,1049,53.357,2025-12-31
post_rap_project_start,0,2133,2,0.094,2025-12-31
post_rap_project_start,1,2031,4,0.197,2025-12-31
post_rap_project_start,2,1862,7,0.376,2025-12-31
post_rap_project_start,3,1731,10,0.578,2025-12-31
post_rap_project_start,4,1566,15,0.958,2025-12-31
post_rap_project_start,5,1449,22,1.518,2025-12-31
post_rap_project_start,6,1258,30,2.385,2025-12-31
post_rap_project_start,7,1098,31,2.823,2025-12-31
post_rap_project_start,8,972,37,3.807,2025-12-31
post_rap_project_start,9,791,43,5.436,2025-12-31
post_rap_project_start,10,681,47,6.902,2025-12-31
post_rap_project_start,11,571,46,8.056,2025-12-31
post_rap_project_start,12,471,54,11.465,2025-12-31
post_rap_project_start,13,365,56,15.342,2025-12-31
post_rap_project_start,14,209,36,17.225,2025-12-31
post_rap_project_start,15,1,0,0.000,2025-12-31
post_rap_project_start,16,0,0,,2025-12-31
post_rap_project_start,17,0,0,,2025-12-31
post_rap_project_start,18,0,0,,2025-12-31
post_rap_project_start,19,0,0,,2025-12-31
post_rap_project_start,20,0,0,,2025-12-31
post_rap_project_start,21,0,0,,2025-12-31
post_rap_project_start,22,0,0,,2025-12-31
post_rap_project_start,23,0,0,,2025-12-31
post_rap_project_start,24,0,0,,2025-12-31
post_rap_project_start,25,0,0,,2025-12-31
post_rap_project_start,26,0,0,,2025-12-31
post_rap_project_start,27,0,0,,2025-12-31
post_rap_project_start,28,0,0,,2025-12-31
post_rap_project_start,29,0,0,,2025-12-31
post_rap_project_start,30,0,0,,2025-12-31
post_rap_project_start,31,0,0,,2025-12-31
post_rap_project_start,32,0,0,,2025-12-31
post_rap_project_start,33,0,0,,2025-12-31
post_rap_project_start,34,0,0,,2025-12-31
post_rap_project_start,35,0,0,,2025-12-31
post_rap_project_start,36,0,0,,2025-12-31
post_rap_project_start,37,0,0,,2025-12-31
post_rap_project_start,38,0,0,,2025-12-31
post_rap_project_start,39,0,0,,2025-12-31
post_rap_project_start,40,0,0,,2025-12-31
post_rap_project_start,41,0,0,,2025-12-31
post_rap_project_start,42,0,0,,2025-12-31
post_rap_project_start,43,0,0,,2025-12-31
post_rap_project_start,44,0,0,,2025-12-31
post_rap_project_start,45,0,0,,2025-12-31
post_rap_project_start,46,0,0,,2025-12-31
post_rap_project_start,47,0,0,,2025-12-31
post_rap_project_start,48,0,0,,2025-12-31
post_rap_project_start,49,0,0,,2025-12-31
post_rap_project_start,50,0,0,,2025-12-31
post_rap_project_start,51,0,0,,2025-12-31
post_rap_project_start,52,0,0,,2025-12-31
post_rap_project_start,53,0,0,,2025-12-31
post_rap_project_start,54,0,0,,2025-12-31
post_rap_project_start,55,0,0,,2025-12-31
post_rap_project_start,56,0,0,,2025-12-31
post_rap_project_start,57,0,0,,2025-12-31
post_rap_project_start,58,0,0,,2025-12-31
post_rap_project_start,59,0,0,,2025-12-31
post_rap_project_start,60,0,0,,2025-12-31
