month,month_start,fixed_cohort_projects_started_before_2022_07_01,publication_app_links,unique_publication_ids,apps_with_any_publication,fractional_publications_per_100_fixed_cohort,any_publication_rate_percent,post_transition
2022-07,2022-07-01,2862,115,106,100,3.704,3.494,0
2022-08,2022-08-01,2862,128,119,107,4.158,3.739,0
2022-09,2022-09-01,2862,113,107,96,3.739,3.354,0
2022-10,2022-10-01,2862,128,120,110,4.193,3.843,0
2022-11,2022-11-01,2862,123,118,100,4.123,3.494,0
2022-12,2022-12-01,2862,113,110,98,3.843,3.424,0
2023-01,2023-01-01,2862,141,135,118,4.717,4.123,0
2023-02,2023-02-01,2862,141,135,116,4.717,4.053,0
2023-03,2023-03-01,2862,147,136,131,4.752,4.577,0
2023-04,2023-04-01,2862,126,120,101,4.193,3.529,0
2023-05,2023-05-01,2862,128,126,105,4.403,3.669,0
2023-06,2023-06-01,2862,153,141,126,4.927,4.403,0
2023-07,2023-07-01,2862,135,129,116,4.507,4.053,0
2023-08,2023-08-01,2862,131,122,114,4.263,3.983,0
2023-09,2023-09-01,2862,129,126,105,4.403,3.669,0
2023-10,2023-10-01,2862,127,111,103,3.878,3.599,0
2023-11,2023-11-01,2862,144,138,114,4.822,3.983,0
2023-12,2023-12-01,2862,117,109,111,3.809,3.878,0
2024-01,2024-01-01,2862,141,134,117,4.682,4.088,0
2024-02,2024-02-01,2862,111,108,95,3.774,3.319,0
2024-03,2024-03-01,2862,145,139,124,4.857,4.333,0
2024-04,2024-04-01,2862,147,140,123,4.892,4.298,0
2024-05,2024-05-01,2862,134,132,116,4.612,4.053,0
2024-06,2024-06-01,2862,108,105,99,3.669,3.459,0
2024-07,2024-07-01,2862,147,134,117,4.682,4.088,1
2024-08,2024-08-01,2862,143,134,117,4.682,4.088,1
2024-09,2024-09-01,2862,107,104,95,3.634,3.319,1
2024-10,2024-10-01,2862,126,119,106,4.158,3.704,1
2024-11,2024-11-01,2862,123,113,106,3.948,3.704,1
2024-12,2024-12-01,2862,111,108,96,3.774,3.354,1
2025-01,2025-01-01,2862,146,143,122,4.997,4.263,1
2025-02,2025-02-01,2862,118,113,104,3.948,3.634,1
2025-03,2025-03-01,2862,155,139,125,4.857,4.368,1
2025-04,2025-04-01,2862,131,124,117,4.333,4.088,1
2025-05,2025-05-01,2862,138,132,122,4.612,4.263,1
2025-06,2025-06-01,2862,119,115,101,4.018,3.529,1
2025-07,2025-07-01,2862,161,153,138,5.346,4.822,1
2025-08,2025-08-01,2862,157,153,126,5.346,4.403,1
2025-09,2025-09-01,2862,122,120,106,4.193,3.704,1
2025-10,2025-10-01,2862,150,144,116,5.031,4.053,1
2025-11,2025-11-01,2862,125,120,107,4.193,3.739,1
2025-12,2025-12-01,2862,133,130,113,4.542,3.948,1
