diagnostic,lag,acf,pacf,durbin_watson_primary_model,ljung_box_q,ljung_box_p_value,interpretation
primary_total_output_residual_acf_pacf,1,-0.1569,-0.1586,2.3022,2.1435,0.1389,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,2,0.0416,0.0208,2.3022,2.2959,0.3176,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,3,0.1375,0.1587,2.3022,3.9813,0.2625,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,4,-0.1406,-0.1214,2.3022,5.7659,0.2160,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,5,-0.1165,-0.1802,2.3022,7.0065,0.2190,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,6,0.0613,0.0076,2.3022,7.3542,0.2887,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,7,-0.0534,-0.0018,2.3022,7.6219,0.3670,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,8,-0.1391,-0.1883,2.3022,9.4603,0.3045,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,9,0.1673,0.1520,2.3022,12.1553,0.2039,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,10,-0.2490,-0.3412,2.3022,18.2084,0.0513,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,11,-0.0967,-0.2024,2.3022,19.1345,0.0584,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
primary_total_output_residual_acf_pacf,12,0.0308,-0.0442,2.3022,19.2297,0.0827,"diagnostic after trend, July terms, and month-of-year fixed effects; not a pass/fail test"
