month,month_start,observed_fractional_publications_per_100_incumbents,fitted_pre_transition_historical_benchmark,mean_ci_low_hac,mean_ci_high_hac,forecast_interval_low_ols_scale,forecast_interval_high_ols_scale,gap_observed_minus_benchmark,post_july_2024,cumulative_gap_since_july_2024
2019-01,2019-01-01,4.230,3.534,3.071,3.997,2.558,4.510,0.696,0,
2019-02,2019-02-01,3.960,3.129,2.519,3.739,2.075,4.183,0.831,0,
2019-03,2019-03-01,2.800,3.237,2.900,3.574,2.314,4.161,-0.437,0,
2019-04,2019-04-01,2.990,2.886,2.421,3.350,1.908,3.863,0.104,0,
2019-05,2019-05-01,3.530,3.316,2.877,3.754,2.351,4.281,0.214,0,
2019-06,2019-06-01,3.180,3.362,3.085,3.639,2.459,4.266,-0.182,0,
2019-07,2019-07-01,2.960,3.270,2.971,3.570,2.360,4.181,-0.310,0,
2019-08,2019-08-01,2.660,3.046,2.670,3.423,2.108,3.985,-0.386,0,
2019-09,2019-09-01,2.440,2.912,2.594,3.231,1.996,3.829,-0.472,0,
2019-10,2019-10-01,3.420,3.070,2.745,3.396,2.151,3.990,0.350,0,
2019-11,2019-11-01,3.290,3.374,3.197,3.552,2.497,4.252,-0.084,0,
2019-12,2019-12-01,3.150,3.040,2.786,3.295,2.144,3.937,0.110,0,
2020-01,2020-01-01,2.900,3.658,3.249,4.066,2.706,4.610,-0.758,0,
2020-02,2020-02-01,2.270,3.253,2.685,3.820,2.223,4.283,-0.983,0,
2020-03,2020-03-01,3.270,3.361,3.051,3.671,2.447,4.275,-0.091,0,
2020-04,2020-04-01,2.200,3.009,2.589,3.430,2.052,3.967,-0.809,0,
2020-05,2020-05-01,2.930,3.439,3.039,3.840,2.491,4.388,-0.509,0,
2020-06,2020-06-01,3.560,3.486,3.251,3.721,2.595,4.377,0.074,0,
2020-07,2020-07-01,3.900,3.394,3.128,3.660,2.494,4.294,0.506,0,
2020-08,2020-08-01,3.410,3.170,2.816,3.524,2.240,4.100,0.240,0,
2020-09,2020-09-01,2.800,3.036,2.753,3.320,2.131,3.942,-0.236,0,
2020-10,2020-10-01,3.330,3.194,2.873,3.516,2.276,4.112,0.136,0,
2020-11,2020-11-01,3.420,3.498,3.380,3.617,2.630,4.366,-0.078,0,
2020-12,2020-12-01,3.100,3.164,2.914,3.414,2.269,4.060,-0.064,0,
2021-01,2021-01-01,3.800,3.781,3.421,4.142,2.849,4.714,0.019,0,
2021-02,2021-02-01,3.700,3.376,2.846,3.907,2.366,4.387,0.324,0,
2021-03,2021-03-01,4.160,3.485,3.186,3.783,2.575,4.395,0.675,0,
2021-04,2021-04-01,3.460,3.133,2.748,3.519,2.191,4.075,0.327,0,
