metric,value
total_schema19_publications,14633
total_schema24_app_publication_links,12598
publication_ids_linked_to_multiple_applications,549
unmatched_app_links,6
unmatched_publication_links,0
publication_before_project_start_exclusions,24
all_cleaned_publication_app_events,12568
cleaned_incumbent_publication_app_events,12110
cleaned_unique_publication_ids,11535
cleaned_apps_with_any_publication,2229
latest_exact_publication_date,2026-07-16
latest_clean_incumbent_publication_date,2026-07-16
pre_transition_incumbent_projects_total,4332
primary_window_start,2019-01-01
primary_window_end,2025-12-01
primary_window_months,84
primary_pre_transition_months,66
primary_post_transition_months,18
right_edge_decision,main analysis excludes 2026; 2026 retained only as right-edge diagnostic
