month,month_start,actual_fractional_publication_count,pipeline_expected_fractional_publication_count,pipeline_gap_actual_minus_expected,pipeline_ratio_actual_over_expected,calendar_post_july_2024,cumulative_pipeline_gap_since_july_2024,benchmark_source
2019-01,2019-01-01,40.000,26.954,13.046,1.4840,0,,pre-transition project-age-bin profile only
2019-02,2019-02-01,39.000,27.888,11.112,1.3984,0,,pre-transition project-age-bin profile only
2019-03,2019-03-01,29.000,28.817,0.183,1.0064,0,,pre-transition project-age-bin profile only
2019-04,2019-04-01,32.000,29.964,2.036,1.0679,0,,pre-transition project-age-bin profile only
2019-05,2019-05-01,40.000,31.446,8.554,1.2720,0,,pre-transition project-age-bin profile only
2019-06,2019-06-01,37.000,32.567,4.433,1.1361,0,,pre-transition project-age-bin profile only
2019-07,2019-07-01,36.000,33.811,2.189,1.0648,0,,pre-transition project-age-bin profile only
2019-08,2019-08-01,33.000,35.427,-2.427,0.9315,0,,pre-transition project-age-bin profile only
2019-09,2019-09-01,31.000,36.574,-5.574,0.8476,0,,pre-transition project-age-bin profile only
2019-10,2019-10-01,45.000,38.352,6.648,1.1733,0,,pre-transition project-age-bin profile only
2019-11,2019-11-01,45.000,39.976,5.024,1.1257,0,,pre-transition project-age-bin profile only
2019-12,2019-12-01,44.000,41.520,2.480,1.0597,0,,pre-transition project-age-bin profile only
2020-01,2020-01-01,42.000,42.653,-0.653,0.9847,0,,pre-transition project-age-bin profile only
2020-02,2020-02-01,34.000,44.173,-10.173,0.7697,0,,pre-transition project-age-bin profile only
2020-03,2020-03-01,52.000,45.719,6.281,1.1374,0,,pre-transition project-age-bin profile only
2020-04,2020-04-01,36.000,47.539,-11.539,0.7573,0,,pre-transition project-age-bin profile only
2020-05,2020-05-01,49.000,49.213,-0.213,0.9957,0,,pre-transition project-age-bin profile only
2020-06,2020-06-01,62.000,51.366,10.634,1.2070,0,,pre-transition project-age-bin profile only
2020-07,2020-07-01,70.000,53.029,16.971,1.3200,0,,pre-transition project-age-bin profile only
2020-08,2020-08-01,63.000,55.317,7.683,1.1389,0,,pre-transition project-age-bin profile only
2020-09,2020-09-01,53.000,56.918,-3.918,0.9312,0,,pre-transition project-age-bin profile only
2020-10,2020-10-01,64.000,59.188,4.812,1.0813,0,,pre-transition project-age-bin profile only
2020-11,2020-11-01,67.000,61.322,5.678,1.0926,0,,pre-transition project-age-bin profile only
2020-12,2020-12-01,61.000,63.524,-2.524,0.9603,0,,pre-transition project-age-bin profile only
2021-01,2021-01-01,78.000,65.553,12.447,1.1899,0,,pre-transition project-age-bin profile only
2021-02,2021-02-01,78.000,68.020,9.980,1.1467,0,,pre-transition project-age-bin profile only
2021-03,2021-03-01,91.000,70.310,20.690,1.2943,0,,pre-transition project-age-bin profile only
2021-04,2021-04-01,77.000,73.440,3.560,1.0485,0,,pre-transition project-age-bin profile only
2021-05,2021-05-01,99.000,75.575,23.425,1.3100,0,,pre-transition project-age-bin profile only
2021-06,2021-06-01,86.000,77.850,8.150,1.1047,0,,pre-transition project-age-bin profile only
2021-07,2021-07-01,83.000,79.878,3.122,1.0391,0,,pre-transition project-age-bin profile only
