app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
132,2012-08-31,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
166,2012-09-30,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,3.500000,1
178,2012-10-01,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
236,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
262,2013-12-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
270,2012-06-01,2012H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
289,2012-07-01,2012H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
291,2012-09-01,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
338,2013-04-15,2013H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
408,2013-12-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
412,2012-10-01,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
431,2013-06-30,2013H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
522,2013-07-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
648,2012-11-01,2012H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
669,2013-01-01,2013H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
676,2016-04-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
742,2016-04-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
761,2012-09-19,2012H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
774,2012-11-05,2012H2,pre_rap_project_start,0,1,0.000000,0,1,2.000000,1,1,4.000000,1
788,2013-02-01,2013H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
828,2015-07-13,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
837,2015-02-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
