month,month_start,pre_transition_start_contribution,post_transition_start_contribution,total_fractional_contribution,aggregate_fractional_publication_count,unique_publication_ids,post_transition_start_share_percent,calendar_post_july_2024,reconciliation_error,interpretation
2019-01,2019-01-01,40.000000,0.000000,40.000000,40.000000,40.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-02,2019-02-01,39.000000,0.000000,39.000000,39.000000,39.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-03,2019-03-01,29.000000,0.000000,29.000000,29.000000,29.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-04,2019-04-01,32.000000,0.000000,32.000000,32.000000,32.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-05,2019-05-01,40.000000,0.000000,40.000000,40.000000,40.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-06,2019-06-01,37.000000,0.000000,37.000000,37.000000,37.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-07,2019-07-01,36.000000,0.000000,36.000000,36.000000,36.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-08,2019-08-01,33.000000,0.000000,33.000000,33.000000,33.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-09,2019-09-01,31.000000,0.000000,31.000000,31.000000,31.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-10,2019-10-01,45.000000,0.000000,45.000000,45.000000,45.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-11,2019-11-01,45.000000,0.000000,45.000000,45.000000,45.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2019-12,2019-12-01,44.000000,0.000000,44.000000,44.000000,44.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-01,2020-01-01,42.000000,0.000000,42.000000,42.000000,42.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-02,2020-02-01,34.000000,0.000000,34.000000,34.000000,34.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-03,2020-03-01,52.000000,0.000000,52.000000,52.000000,52.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-04,2020-04-01,36.000000,0.000000,36.000000,36.000000,36.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-05,2020-05-01,49.000000,0.000000,49.000000,49.000000,49.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-06,2020-06-01,62.000000,0.000000,62.000000,62.000000,62.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-07,2020-07-01,70.000000,0.000000,70.000000,70.000000,70.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-08,2020-08-01,63.000000,0.000000,63.000000,63.000000,63.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-09,2020-09-01,53.000000,0.000000,53.000000,53.000000,53.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-10,2020-10-01,64.000000,0.000000,64.000000,64.000000,64.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-11,2020-11-01,67.000000,0.000000,67.000000,67.000000,67.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2020-12,2020-12-01,61.000000,0.000000,61.000000,61.000000,61.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-01,2021-01-01,78.000000,0.000000,78.000000,78.000000,78.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-02,2021-02-01,78.000000,0.000000,78.000000,78.000000,78.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-03,2021-03-01,91.000000,0.000000,91.000000,91.000000,91.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-04,2021-04-01,77.000000,0.000000,77.000000,77.000000,77.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-05,2021-05-01,99.000000,0.000000,99.000000,99.000000,99.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-06,2021-06-01,86.000000,0.000000,86.000000,86.000000,86.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-07,2021-07-01,83.000000,0.000000,83.000000,83.000000,83.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-08,2021-08-01,67.000000,0.000000,67.000000,67.000000,67.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-09,2021-09-01,83.000000,0.000000,83.000000,83.000000,83.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-10,2021-10-01,72.000000,0.000000,72.000000,72.000000,72.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-11,2021-11-01,94.000000,0.000000,94.000000,94.000000,94.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2021-12,2021-12-01,94.000000,0.000000,94.000000,94.000000,94.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-01,2022-01-01,101.000000,0.000000,101.000000,101.000000,101.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-02,2022-02-01,94.000000,0.000000,94.000000,94.000000,94.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-03,2022-03-01,89.000000,0.000000,89.000000,89.000000,89.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-04,2022-04-01,80.000000,0.000000,80.000000,80.000000,80.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-05,2022-05-01,91.000000,0.000000,91.000000,91.000000,91.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-06,2022-06-01,116.000000,0.000000,116.000000,116.000000,116.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-07,2022-07-01,106.000000,0.000000,106.000000,106.000000,106.000000,0.000,0,-0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-08,2022-08-01,120.000000,0.000000,120.000000,120.000000,120.000000,0.000,0,-0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-09,2022-09-01,108.000000,0.000000,108.000000,108.000000,108.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-10,2022-10-01,120.000000,0.000000,120.000000,120.000000,120.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-11,2022-11-01,118.000000,0.000000,118.000000,118.000000,118.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2022-12,2022-12-01,111.000000,0.000000,111.000000,111.000000,111.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-01,2023-01-01,137.000000,0.000000,137.000000,137.000000,137.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-02,2023-02-01,137.000000,0.000000,137.000000,137.000000,137.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-03,2023-03-01,138.000000,0.000000,138.000000,138.000000,138.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
