month,month_start,publication_app_links,unique_publication_ids,fractional_publication_count,apps_with_any_publication,calendar_post_july_2024,jul_sep_2024_window,right_edge_2026
2019-01,2019-01-01,45,40,40.000,42,0,0,0
2019-02,2019-02-01,41,39,39.000,34,0,0,0
2019-03,2019-03-01,36,29,29.000,32,0,0,0
2019-04,2019-04-01,33,32,32.000,30,0,0,0
2019-05,2019-05-01,45,40,40.000,42,0,0,0
2019-06,2019-06-01,45,37,37.000,39,0,0,0
2019-07,2019-07-01,41,36,36.000,39,0,0,0
2019-08,2019-08-01,36,33,33.000,32,0,0,0
2019-09,2019-09-01,33,31,31.000,28,0,0,0
2019-10,2019-10-01,48,45,45.000,40,0,0,0
2019-11,2019-11-01,49,45,45.000,43,0,0,0
2019-12,2019-12-01,48,44,44.000,42,0,0,0
2020-01,2020-01-01,43,42,42.000,41,0,0,0
2020-02,2020-02-01,38,34,34.000,37,0,0,0
2020-03,2020-03-01,57,52,52.000,50,0,0,0
2020-04,2020-04-01,42,36,36.000,35,0,0,0
2020-05,2020-05-01,49,49,49.000,44,0,0,0
2020-06,2020-06-01,66,62,62.000,53,0,0,0
2020-07,2020-07-01,70,70,70.000,61,0,0,0
2020-08,2020-08-01,66,63,63.000,53,0,0,0
2020-09,2020-09-01,58,53,53.000,53,0,0,0
2020-10,2020-10-01,68,64,64.000,62,0,0,0
2020-11,2020-11-01,71,67,67.000,58,0,0,0
2020-12,2020-12-01,64,61,61.000,59,0,0,0
2021-01,2021-01-01,82,78,78.000,70,0,0,0
2021-02,2021-02-01,81,78,78.000,74,0,0,0
2021-03,2021-03-01,98,91,91.000,85,0,0,0
2021-04,2021-04-01,82,77,77.000,72,0,0,0
2021-05,2021-05-01,106,99,99.000,95,0,0,0
2021-06,2021-06-01,88,86,86.000,79,0,0,0
2021-07,2021-07-01,89,83,83.000,76,0,0,0
2021-08,2021-08-01,70,67,67.000,60,0,0,0
2021-09,2021-09-01,86,83,83.000,79,0,0,0
2021-10,2021-10-01,74,72,72.000,72,0,0,0
2021-11,2021-11-01,101,94,94.000,87,0,0,0
2021-12,2021-12-01,100,94,94.000,92,0,0,0
2022-01,2022-01-01,106,101,101.000,86,0,0,0
2022-02,2022-02-01,100,94,94.000,90,0,0,0
2022-03,2022-03-01,91,89,89.000,85,0,0,0
2022-04,2022-04-01,85,80,80.000,73,0,0,0
2022-05,2022-05-01,97,91,91.000,89,0,0,0
2022-06,2022-06-01,123,116,116.000,109,0,0,0
2022-07,2022-07-01,115,106,106.000,100,0,0,0
2022-08,2022-08-01,129,120,120.000,108,0,0,0
2022-09,2022-09-01,114,108,108.000,97,0,0,0
2022-10,2022-10-01,128,120,120.000,110,0,0,0
2022-11,2022-11-01,123,118,118.000,100,0,0,0
2022-12,2022-12-01,114,111,111.000,99,0,0,0
2023-01,2023-01-01,143,137,137.000,120,0,0,0
2023-02,2023-02-01,143,137,137.000,118,0,0,0
2023-03,2023-03-01,149,138,138.000,133,0,0,0
2023-04,2023-04-01,128,122,122.000,103,0,0,0
2023-05,2023-05-01,130,128,128.000,107,0,0,0
2023-06,2023-06-01,158,146,146.000,130,0,0,0
2023-07,2023-07-01,137,131,131.000,118,0,0,0
2023-08,2023-08-01,142,133,133.000,124,0,0,0
2023-09,2023-09-01,140,137,137.000,115,0,0,0
2023-10,2023-10-01,136,118,118.000,111,0,0,0
2023-11,2023-11-01,164,155,155.000,133,0,0,0
2023-12,2023-12-01,131,122,122.000,122,0,0,0
2024-01,2024-01-01,173,165,165.000,143,0,0,0
2024-02,2024-02-01,128,125,125.000,112,0,0,0
2024-03,2024-03-01,163,157,157.000,139,0,0,0
2024-04,2024-04-01,184,177,177.000,153,0,0,0
2024-05,2024-05-01,179,177,177.000,157,0,0,0
2024-06,2024-06-01,156,152,152.000,135,0,0,0
2024-07,2024-07-01,201,187,187.000,157,1,1,0
2024-08,2024-08-01,190,180,180.000,157,1,1,0
2024-09,2024-09-01,148,144,144.000,131,1,1,0
2024-10,2024-10-01,176,169,169.000,153,1,0,0
2024-11,2024-11-01,175,164,164.000,145,1,0,0
2024-12,2024-12-01,156,151,151.000,136,1,0,0
2025-01,2025-01-01,233,229,229.000,193,1,0,0
2025-02,2025-02-01,179,174,174.000,154,1,0,0
2025-03,2025-03-01,228,209,209.000,182,1,0,0
2025-04,2025-04-01,217,209,209.000,193,1,0,0
2025-05,2025-05-01,226,217,217.000,196,1,0,0
2025-06,2025-06-01,199,193,193.000,172,1,0,0
2025-07,2025-07-01,290,281,281.000,241,1,0,0
2025-08,2025-08-01,270,261,261.000,224,1,0,0
2025-09,2025-09-01,224,213,213.000,195,1,0,0
2025-10,2025-10-01,281,272,272.000,227,1,0,0
2025-11,2025-11-01,239,227,227.000,205,1,0,0
2025-12,2025-12-01,270,265,265.000,228,1,0,0
2026-01,2026-01-01,311,304,304.000,269,1,0,1
2026-02,2026-02-01,256,245,245.000,226,1,0,1
2026-03,2026-03-01,287,280,280.000,239,1,0,1
2026-04,2026-04-01,301,287,287.000,252,1,0,1
2026-05,2026-05-01,267,262,262.000,232,1,0,1
2026-06,2026-06-01,167,158,158.000,150,1,0,1
