app_id,quarter,quarter_index,project_start_date,project_start_quarter,quarters_since_project_start,project_age_bin,at_risk,at_risk_days,partial_first_quarter,publication_count,any_publication,post_policy,stable_post_q4,transition_quarter,event_time_quarter,original_stage3_classification,control_layer,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05,regression_group_CONTROL_C06,institution,pi,schema27_title
132,2022Q3,0,2012-08-31,2012Q3,40,q36_47,1,92,0,0,0,0,0,0,-8,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2022Q4,1,2012-08-31,2012Q3,41,q36_47,1,92,0,0,0,0,0,0,-7,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2023Q1,2,2012-08-31,2012Q3,42,q36_47,1,90,0,0,0,0,0,0,-6,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2023Q2,3,2012-08-31,2012Q3,43,q36_47,1,91,0,0,0,0,0,0,-5,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2023Q3,4,2012-08-31,2012Q3,44,q36_47,1,92,0,0,0,0,0,0,-4,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2023Q4,5,2012-08-31,2012Q3,45,q36_47,1,92,0,0,0,0,0,0,-3,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2024Q1,6,2012-08-31,2012Q3,46,q36_47,1,91,0,0,0,0,0,0,-2,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2024Q2,7,2012-08-31,2012Q3,47,q36_47,1,91,0,0,0,0,0,0,-1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2024Q3,8,2012-08-31,2012Q3,48,q48_plus,1,92,0,0,0,1,0,1,0,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2024Q4,9,2012-08-31,2012Q3,49,q48_plus,1,92,0,0,0,1,1,0,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2025Q1,10,2012-08-31,2012Q3,50,q48_plus,1,90,0,0,0,1,1,0,2,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2025Q2,11,2012-08-31,2012Q3,51,q48_plus,1,91,0,0,0,1,1,0,3,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2025Q3,12,2012-08-31,2012Q3,52,q48_plus,1,92,0,0,0,1,1,0,4,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2025Q4,13,2012-08-31,2012Q3,53,q48_plus,1,92,0,0,0,1,1,0,5,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2026Q1,14,2012-08-31,2012Q3,54,q48_plus,1,90,0,0,0,1,1,0,6,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
132,2026Q2,15,2012-08-31,2012Q3,55,q48_plus,1,91,0,0,0,1,1,0,7,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,Western Infirmary,Dr Jonathan Hewitt,Prevalence of stroke and identification of associated risk factors
166,2022Q3,0,2012-09-30,2012Q3,40,q36_47,1,92,0,0,0,0,0,0,-8,NEWLY_RAP_BOUND,,treated,treated,treated,treated,treated,University of Manchester,Dr Piers Dawes,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years"
166,2022Q4,1,2012-09-30,2012Q3,41,q36_47,1,92,0,0,0,0,0,0,-7,NEWLY_RAP_BOUND,,treated,treated,treated,treated,treated,University of Manchester,Dr Piers Dawes,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years"
166,2023Q1,2,2012-09-30,2012Q3,42,q36_47,1,90,0,0,0,0,0,0,-6,NEWLY_RAP_BOUND,,treated,treated,treated,treated,treated,University of Manchester,Dr Piers Dawes,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years"
166,2023Q2,3,2012-09-30,2012Q3,43,q36_47,1,91,0,0,0,0,0,0,-5,NEWLY_RAP_BOUND,,treated,treated,treated,treated,treated,University of Manchester,Dr Piers Dawes,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years"
