design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q0_quarterly_incumbent_did,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50294,3374,3344,30,0.089550,0.086188,0.298799,-0.079378,0.258479,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,institution,50294,3374,3344,30,0.089550,0.086108,0.298352,-0.079222,0.258322,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,50294,3374,3344,30,0.109567,0.083133,0.187511,-0.053373,0.272508,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,49184,3374,3344,30,0.088149,0.090706,0.331144,-0.089634,0.265933,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_stable_post,application,46920,3374,3344,30,0.069814,0.071165,0.326589,-0.069670,0.209297,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_quarterly_exclude_top1pct_publication_apps,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,49393,3316,3287,29,0.000880,0.017431,0.959734,-0.033284,0.035044,,excluded_top_1pct_apps=72
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,36224,2264,2245,19,0.078733,0.118593,0.506757,-0.153709,0.311176,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,37510,2575,2546,29,0.026986,0.018097,0.135926,-0.008485,0.062456,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C0,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,31318,2188,2160,28,0.046049,0.018901,0.014834,0.009004,0.083094,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C0,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,50294,3374,3344,30,-0.007270,0.017895,0.684554,-0.042345,0.027805,,pre_periods=8; post_periods=8; 2024Q3_as_post
