month,month_start,observed_recorded_project_starts,fitted_expected_starts_from_pre_transition_path,gap_observed_minus_expected,cumulative_gap_since_july_2024
2024-07,2024-07-01,3,60.464,-57.464,-57.464
2024-08,2024-08-01,0,57.264,-57.264,-114.727
2024-09,2024-09-01,1,64.064,-63.064,-177.791
2024-10,2024-10-01,208,56.664,151.336,-26.455
2024-11,2024-11-01,156,69.464,86.536,60.082
2024-12,2024-12-01,106,47.464,58.536,118.618
2025-01,2025-01-01,100,72.008,27.992,146.611
2025-02,2025-02-01,110,64.674,45.326,191.936
2025-03,2025-03-01,110,90.174,19.826,211.762
2025-04,2025-04-01,181,66.341,114.659,326.421
2025-05,2025-05-01,126,63.508,62.492,388.914
2025-06,2025-06-01,160,60.174,99.826,488.739
2025-07,2025-07-01,191,64.418,126.582,615.321
2025-08,2025-08-01,117,61.218,55.782,671.103
2025-09,2025-09-01,165,68.018,96.982,768.085
2025-10,2025-10-01,131,60.618,70.382,838.467
2025-11,2025-11-01,169,73.418,95.582,934.048
2025-12,2025-12-01,102,51.418,50.582,984.630
