month,event_month_relative_to_july_2024,observed_recorded_project_starts,fitted_expected_from_pre_transition_path,gap_observed_minus_expected,label,interpretation
2024-01,-6,75,68.053,6.947,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-02,-5,51,60.720,-9.720,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-03,-4,83,86.220,-3.220,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-04,-3,72,62.386,9.614,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-05,-2,33,59.553,-26.553,observed May-June slowdown,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-06,-1,10,56.220,-46.220,observed May-June slowdown,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-07,0,3,60.464,-57.464,observed July-September trough,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-08,1,0,57.264,-57.264,observed July-September trough,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-09,2,1,64.064,-63.064,observed July-September trough,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-10,3,208,56.664,151.336,observed October rebound,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-11,4,156,69.464,86.536,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2024-12,5,106,47.464,58.536,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-01,6,100,72.008,27.992,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-02,7,110,64.674,45.326,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-03,8,110,90.174,19.826,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-04,9,181,66.341,114.659,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-05,10,126,63.508,62.492,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-06,11,160,60.174,99.826,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-07,12,191,64.418,126.582,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-08,13,117,61.218,55.782,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-09,14,165,68.018,96.982,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-10,15,131,60.618,70.382,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-11,16,169,73.418,95.582,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
2025-12,17,102,51.418,50.582,,EXPLORATORY / OUTCOME-DRIVEN DYNAMIC CHARACTERIZATION
