month,month_start,observed_recorded_project_starts,fitted_expected_starts_from_pre_transition_path,expected_ci_low,expected_ci_high,gap_observed_minus_expected,post_july_2024,cumulative_gap_since_july_2024
2019-01,2019-01-01,40,48.280,33.120,63.440,-8.280,0,
2019-02,2019-02-01,40,40.947,25.787,56.107,-0.947,0,
2019-03,2019-03-01,52,66.447,51.287,81.607,-14.447,0,
2019-04,2019-04-01,35,42.614,27.454,57.774,-7.614,0,
2019-05,2019-05-01,60,39.780,24.620,54.940,20.220,0,
2019-06,2019-06-01,33,36.447,21.287,51.607,-3.447,0,
2019-07,2019-07-01,50,40.691,24.818,56.564,9.309,0,
2019-08,2019-08-01,27,37.491,21.618,53.364,-10.491,0,
2019-09,2019-09-01,31,44.291,28.418,60.164,-13.291,0,
2019-10,2019-10-01,43,36.891,21.018,52.764,6.109,0,
2019-11,2019-11-01,52,49.691,33.818,65.564,2.309,0,
2019-12,2019-12-01,29,27.691,11.818,43.564,1.309,0,
2020-01,2020-01-01,53,52.235,38.002,66.468,0.765,0,
2020-02,2020-02-01,47,44.902,30.668,59.135,2.098,0,
2020-03,2020-03-01,91,70.402,56.168,84.635,20.598,0,
2020-04,2020-04-01,51,46.568,32.335,60.801,4.432,0,
2020-05,2020-05-01,36,43.735,29.502,57.968,-7.735,0,
2020-06,2020-06-01,69,40.402,26.168,54.635,28.598,0,
2020-07,2020-07-01,53,44.645,29.430,59.861,8.355,0,
2020-08,2020-08-01,49,41.445,26.230,56.661,7.555,0,
2020-09,2020-09-01,46,48.245,33.030,63.461,-2.245,0,
2020-10,2020-10-01,29,40.845,25.630,56.061,-11.845,0,
2020-11,2020-11-01,40,53.645,38.430,68.861,-13.645,0,
2020-12,2020-12-01,5,31.645,16.430,46.861,-26.645,0,
2021-01,2021-01-01,87,56.189,42.443,69.936,30.811,0,
2021-02,2021-02-01,56,48.856,35.110,62.603,7.144,0,
2021-03,2021-03-01,78,74.356,60.610,88.103,3.644,0,
2021-04,2021-04-01,40,50.523,36.776,64.269,-10.523,0,
2021-05,2021-05-01,40,47.689,33.943,61.436,-7.689,0,
2021-06,2021-06-01,44,44.356,30.610,58.103,-0.356,0,
2021-07,2021-07-01,25,48.600,33.609,63.591,-23.600,0,
2021-08,2021-08-01,20,45.400,30.409,60.391,-25.400,0,
2021-09,2021-09-01,33,52.200,37.209,67.191,-19.200,0,
2021-10,2021-10-01,46,44.800,29.809,59.791,1.200,0,
2021-11,2021-11-01,42,57.600,42.609,72.591,-15.600,0,
2021-12,2021-12-01,35,35.600,20.609,50.591,-0.600,0,
2022-01,2022-01-01,36,60.144,46.397,73.890,-24.144,0,
2022-02,2022-02-01,62,52.811,39.064,66.557,9.189,0,
2022-03,2022-03-01,81,78.311,64.564,92.057,2.689,0,
2022-04,2022-04-01,59,54.477,40.731,68.224,4.523,0,
2022-05,2022-05-01,66,51.644,37.897,65.390,14.356,0,
2022-06,2022-06-01,46,48.311,34.564,62.057,-2.311,0,
2022-07,2022-07-01,53,52.555,37.339,67.770,0.445,0,
2022-08,2022-08-01,73,49.355,34.139,64.570,23.645,0,
2022-09,2022-09-01,94,56.155,40.939,71.370,37.845,0,
2022-10,2022-10-01,35,48.755,33.539,63.970,-13.755,0,
2022-11,2022-11-01,74,61.555,46.339,76.770,12.445,0,
2022-12,2022-12-01,72,39.555,24.339,54.770,32.445,0,
2023-01,2023-01-01,58,64.098,49.865,78.332,-6.098,0,
2023-02,2023-02-01,49,56.765,42.532,70.998,-7.765,0,
2023-03,2023-03-01,73,82.265,68.032,96.498,-9.265,0,
2023-04,2023-04-01,58,58.432,44.199,72.665,-0.432,0,
2023-05,2023-05-01,63,55.598,41.365,69.832,7.402,0,
2023-06,2023-06-01,76,52.265,38.032,66.498,23.735,0,
2023-07,2023-07-01,62,56.509,40.636,72.382,5.491,0,
2023-08,2023-08-01,58,53.309,37.436,69.182,4.691,0,
2023-09,2023-09-01,57,60.109,44.236,75.982,-3.109,0,
2023-10,2023-10-01,71,52.709,36.836,68.582,18.291,0,
2023-11,2023-11-01,80,65.509,49.636,81.382,14.491,0,
2023-12,2023-12-01,37,43.509,27.636,59.382,-6.509,0,
2024-01,2024-01-01,75,68.053,52.893,83.213,6.947,0,
2024-02,2024-02-01,51,60.720,45.560,75.880,-9.720,0,
2024-03,2024-03-01,83,86.220,71.060,101.380,-3.220,0,
2024-04,2024-04-01,72,62.386,47.226,77.546,9.614,0,
2024-05,2024-05-01,33,59.553,44.393,74.713,-26.553,0,
2024-06,2024-06-01,10,56.220,41.060,71.380,-46.220,0,
2024-07,2024-07-01,3,60.464,43.552,77.375,-57.464,1,-57.464
2024-08,2024-08-01,0,57.264,40.352,74.175,-57.264,1,-114.727
2024-09,2024-09-01,1,64.064,47.152,80.975,-63.064,1,-177.791
2024-10,2024-10-01,208,56.664,39.752,73.575,151.336,1,-26.455
2024-11,2024-11-01,156,69.464,52.552,86.375,86.536,1,60.082
2024-12,2024-12-01,106,47.464,30.552,64.375,58.536,1,118.618
2025-01,2025-01-01,100,72.008,55.555,88.460,27.992,1,146.611
2025-02,2025-02-01,110,64.674,48.222,81.127,45.326,1,191.936
2025-03,2025-03-01,110,90.174,73.722,106.627,19.826,1,211.762
2025-04,2025-04-01,181,66.341,49.889,82.793,114.659,1,326.421
2025-05,2025-05-01,126,63.508,47.055,79.960,62.492,1,388.914
2025-06,2025-06-01,160,60.174,43.722,76.627,99.826,1,488.739
2025-07,2025-07-01,191,64.418,46.152,82.685,126.582,1,615.321
2025-08,2025-08-01,117,61.218,42.952,79.485,55.782,1,671.103
2025-09,2025-09-01,165,68.018,49.752,86.285,96.982,1,768.085
2025-10,2025-10-01,131,60.618,42.352,78.885,70.382,1,838.467
2025-11,2025-11-01,169,73.418,55.152,91.685,95.582,1,934.048
2025-12,2025-12-01,102,51.418,33.152,69.685,50.582,1,984.630
