grouping,value,field_count,application_field_link_count,distinct_application_count
tier_combo,o1,2568,0,0
tier_combo,o1 s1,7563,16,1
tier_combo,o1 s2,1135,0,0
tier_combo,o2,7,21,21
tier_combo,o2 s2,207,0,0
tier_combo,o2 s3,199,36,2
tier_combo,o3,141,0,0
tier_combo,s1,1,0,0
tier_token,o1,11266,16,1
tier_token,o2,413,57,23
tier_token,o3,141,0,0
tier_token,s1,7564,16,1
tier_token,s2,1342,0,0
tier_token,s3,199,36,2
private,private=0,11502,28,2
private,private=1,319,45,24
main_category,100,17,0,0
main_category,1000,126,0,0
main_category,100002,6,0,0
main_category,100004,3,0,0
main_category,100007,14,0,0
main_category,100009,38,0,0
main_category,100010,21,0,0
main_category,100011,10,0,0
main_category,100012,27,0,0
main_category,100013,3,0,0
main_category,100014,76,0,0
main_category,100015,18,0,0
main_category,100016,15,0,0
main_category,100017,32,0,0
main_category,100018,41,0,0
main_category,100019,5,0,0
main_category,100020,37,0,0
main_category,100021,2,0,0
main_category,100023,2,0,0
main_category,100024,21,8,1
main_category,100027,29,0,0
main_category,100028,5,0,0
main_category,100029,15,0,0
main_category,100030,11,0,0
main_category,100031,11,0,0
main_category,100032,9,0,0
main_category,100033,8,0,0
main_category,100034,20,0,0
main_category,100035,1,0,0
main_category,100037,2,0,0
main_category,100038,10,0,0
main_category,100039,4,0,0
main_category,100040,4,0,0
main_category,100041,24,0,0
main_category,100042,4,0,0
main_category,100043,9,0,0
main_category,100044,21,0,0
main_category,100045,11,0,0
main_category,100046,2,0,0
main_category,100047,2,0,0
main_category,100048,9,0,0
main_category,100049,31,0,0
main_category,100051,21,0,0
main_category,100052,33,0,0
main_category,100053,11,0,0
main_category,100054,27,0,0
main_category,100055,9,0,0
main_category,100056,5,0,0
main_category,100057,7,0,0
main_category,100058,33,0,0
main_category,100060,44,0,0
main_category,100061,4,0,0
main_category,100063,3,0,0
main_category,100064,11,0,0
main_category,100065,2,0,0
main_category,100066,11,0,0
main_category,100067,2,0,0
main_category,100069,30,0,0
main_category,100070,4,0,0
main_category,100072,9,0,0
main_category,100073,3,0,0
main_category,100074,13,0,0
main_category,100075,4,0,0
main_category,100076,7,0,0
main_category,100077,3,0,0
main_category,100079,80,0,0
main_category,100081,31,0,0
main_category,100083,8,0,0
main_category,100085,11,0,0
main_category,100086,1,0,0
main_category,100087,1,0,0
main_category,100090,3,0,0
main_category,100091,1,21,21
main_category,100092,9,0,0
main_category,100093,8,0,0
main_category,100094,7,0,0
main_category,100095,2,0,0
main_category,100096,2,0,0
main_category,100097,4,0,0
main_category,100098,23,0,0
main_category,100099,6,0,0
main_category,100100,11,0,0
main_category,100101,39,0,0
main_category,100102,14,0,0
main_category,100103,60,0,0
main_category,100104,40,0,0
main_category,100105,1,0,0
main_category,100106,23,0,0
main_category,100107,19,0,0
main_category,100108,3,0,0
main_category,100109,56,0,0
main_category,100110,5,0,0
main_category,100111,5,0,0
main_category,100112,2,0,0
main_category,100114,9,0,0
main_category,100116,16,0,0
main_category,100117,63,0,0
main_category,100118,93,0,0
main_category,100313,22,0,0
main_category,100315,31,0,0
main_category,100316,25,0,0
main_category,100317,27,0,0
main_category,100319,30,0,0
main_category,1008,5,0,0
main_category,1009,38,0,0
main_category,101,25,0,0
main_category,1010,67,0,0
main_category,1011,42,0,0
main_category,1012,21,0,0
main_category,1013,18,0,0
main_category,102,10,0,0
main_category,1020,20,0,0
main_category,103,6,0,0
main_category,1039,154,0,0
main_category,104,18,0,0
main_category,105,5,0,0
main_category,106,26,2,2
main_category,107,16,2,2
main_category,1080,38,0,0
main_category,1081,8,0,0
main_category,109,36,2,2
main_category,110,20,2,2
main_category,1101,139,0,0
main_category,1102,14,0,0
main_category,11090,1,0,0
main_category,111,45,2,2
main_category,112,5,2,2
main_category,113,1,0,0
main_category,114,17,0,0
main_category,115,5,0,0
main_category,116,1,0,0
main_category,117,7,0,0
main_category,118,32,0,0
main_category,119,51,0,0
main_category,120,2,0,0
main_category,121,10,0,0
main_category,122,9,0,0
main_category,123,4,0,0
main_category,124,72,0,0
main_category,125,120,0,0
main_category,126,11,0,0
main_category,127,21,0,0
main_category,128,23,0,0
main_category,129,22,0,0
main_category,130,42,0,0
main_category,1306,1,0,0
main_category,1307,47,0,0
main_category,131,4,0,0
main_category,132,55,0,0
main_category,133,8,0,0
main_category,134,432,0,0
main_category,135,243,0,0
main_category,1358,11,0,0
main_category,136,2,0,0
main_category,137,3,0,0
main_category,138,32,0,0
main_category,139,5,0,0
main_category,140,28,0,0
main_category,141,12,0,0
main_category,1419,79,0,0
main_category,142,11,0,0
main_category,143,3,0,0
main_category,144,13,0,0
main_category,145,21,0,0
main_category,146,10,0,0
main_category,147,3,0,0
main_category,148,8,0,0
main_category,149,32,0,0
main_category,150,10,8,1
main_category,1500,1,0,0
main_category,1501,4,0,0
main_category,1502,49,0,0
main_category,1503,11,0,0
main_category,1504,20,0,0
main_category,1505,17,0,0
main_category,1506,15,0,0
main_category,1507,6,0,0
main_category,1508,14,0,0
main_category,1509,32,0,0
main_category,151,9,0,0
main_category,1510,8,0,0
main_category,1511,8,0,0
main_category,1512,21,0,0
main_category,1513,4,0,0
main_category,152,30,0,0
main_category,153,57,0,0
main_category,154,132,0,0
main_category,155,6,0,0
main_category,156,4,0,0
main_category,157,83,0,0
main_category,158,19,0,0
main_category,159,5,0,0
main_category,160,157,0,0
main_category,161,6,0,0
main_category,162,72,0,0
main_category,163,10,0,0
main_category,164,4,0,0
main_category,170,13,0,0
main_category,171,21,0,0
main_category,172,4,0,0
main_category,17518,30,0,0
main_category,180,2,0,0
main_category,181,2,0,0
main_category,182,2,0,0
main_category,1839,5,0,0
main_category,185,17,0,0
main_category,18518,180,0,0
