app_id,start_date,month,pre_post_july_2024,title,institution,website_url,HIGH_SENSITIVITY,LOWER_SENSITIVITY_COMPARISON,LOW_STRICT,hs_wes_wgs_sequence,hs_s3_direct,hs_s3_text,hs_o2_field,hs_restricted_field,linked_field_count,linked_s3_field_count,linked_s3_field_count_timing_conservative,linked_o2_field_count,linked_restricted_field_count,field_debut_after_project_start,field_debut_after_project_start_ids,control_layer,control_evidence_type,control_matched_term,control_inferred_product,previous_classification,previous_confidence,legacy_route_modalities,already_rap_modalities,hs_sequence_product_term,hs_sequence_product_source,hs_sequence_product_excerpt,hs_s3_text_term,hs_s3_text_source,hs_s3_text_source_field_ids,hs_s3_text_source_field_titles,hs_s3_text_family,hs_s3_text_excerpt,evidence_source,evidence_detail,classification_reason
132,2012-08-31,2012-08,pre_july_2024,Prevalence of stroke and identification of associated risk factors,Western Infirmary,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
166,2012-09-30,2012-09,pre_july_2024,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
178,2012-10-01,2012-10,pre_july_2024,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
236,2015-07-01,2015-07,pre_july_2024,Genome-wide association study of blood pressure.,Imperial College London,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|LINKED_HEALTH_RECORDS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
262,2013-12-01,2013-12,pre_july_2024,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,University of Cambridge,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
270,2012-06-01,2012-06,pre_july_2024,Development of BMI specific cut offs for fat free mass index,CIRO+,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,PHYSICAL_MEASURES,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES,only strict low-granularity legacy modality evidence and no high flags
289,2012-07-01,2012-07,pre_july_2024,Development of normative values for hand grip strength,CIRO+,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
291,2012-09-01,2012-09,pre_july_2024,Multimorbidity in participants with and without COPD,CIRO+,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
338,2013-04-15,2013-04,pre_july_2024,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,University of Edinburgh,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|IMAGING|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
408,2013-12-01,2013-12,pre_july_2024,Derivation of fitness indicators and their relation with hemodynamic factors,University of Cambridge,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,PHYSICAL_MEASURES,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES,only strict low-granularity legacy modality evidence and no high flags
