term,source_field_ids,source_field_titles,source_category,precision_level,reason
Surface-based analysis of resting and task fMRI CIFTI,32136,Surface-based analysis of resting and task fMRI - CIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Surface-based analysis of resting and task fMRI,32136; 1032136; 2032136,Surface-based analysis of resting and task fMRI - CIFTI; EMBARGOED UNLINKED : Surface-based analysis of resting and task fMRI; EMBARGOED LINKED : Surface-based analysis of resting and task fMRI,Mixed s3 imaging/file fields,field_title_exact,specific s3 field title after file-format suffix removal
T1 surface model files and additional structural segmentations,20263; 1020263; 2020263,T1 surface model files and additional structural segmentations; EMBARGOED UNLINKED : T1 surface model files and additional structural segmentations; EMBARGOED LINKED : T1 surface model files and additional structural segmentations,Mixed s3 imaging/file fields,field_title_exact,specific s3 field title after file-format suffix removal
Liver Imaging T1 ShMoLLI DICOM,20204; 1020204; 2020204,Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED UNLINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED LINKED : Liver Imaging - T1 ShMoLLI - DICOM,Liver imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Native Tian Subcortex S1 3T dMRI,31006,Native Tian Subcortex S1 3T dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Tian Subcortex S4 3T dMRI,31007,Native Tian Subcortex S4 3T dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI full correlation matrix, dimension 100",1025751; 2025751,"EMBARGOED UNLINKED : rfMRI full correlation matrix, dimension 100; EMBARGOED LINKED : rfMRI full correlation matrix, dimension 100",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI full correlation matrix, dimension 25",1025750; 2025750,"EMBARGOED UNLINKED : rfMRI full correlation matrix, dimension 25; EMBARGOED LINKED : rfMRI full correlation matrix, dimension 25",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI partial correlation matrix, dimension 100",1025753; 2025753,"EMBARGOED UNLINKED : rfMRI partial correlation matrix, dimension 100; EMBARGOED LINKED : rfMRI partial correlation matrix, dimension 100",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI partial correlation matrix, dimension 25",1025752; 2025752,"EMBARGOED UNLINKED : rfMRI partial correlation matrix, dimension 25; EMBARGOED LINKED : rfMRI partial correlation matrix, dimension 25",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
Arterial spin labelling brain images DICOM,20266; 1020266; 2020266,Arterial spin labelling brain images - DICOM; EMBARGOED UNLINKED : Arterial spin labelling brain images - DICOM; EMBARGOED LINKED : Arterial spin labelling brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Arterial spin labelling brain images NIFTI,26300; 1026300; 2026300,Arterial spin labelling brain images - NIFTI; EMBARGOED UNLINKED : Arterial spin labelling brain images - NIFTI; EMBARGOED LINKED : Arterial spin labelling brain images - NIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Dixon technique for internal fat DICOM,20201; 1020201; 2020201,Dixon technique for internal fat - DICOM; EMBARGOED UNLINKED : Dixon technique for internal fat - DICOM; EMBARGOED LINKED : Dixon technique for internal fat - DICOM,Abdominal/internal fat imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Experimental sh MOLLI sequence images DICOM,20214; 1020214; 2020214,Experimental shMOLLI sequence images - DICOM; EMBARGOED UNLINKED : Experimental shMOLLI sequence images - DICOM; EMBARGOED LINKED : Experimental shMOLLI sequence images - DICOM,Mixed s3 imaging/file fields,field_title_exact,normalized exact title of an s3 Schema 1 field
Kidney Imaging T1 Sh MOLLI DICOM,20243,Kidney Imaging - T1 ShMOLLI - DICOM,Kidney imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Left ventricular outflow tract images DICOM,20212; 1020212; 2020212,Left ventricular outflow tract images - DICOM; EMBARGOED UNLINKED : Left ventricular outflow tract images - DICOM; EMBARGOED LINKED : Left ventricular outflow tract images - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Liver Imaging T1 ShMoLLI,20204; 1020204; 2020204,Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED UNLINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED LINKED : Liver Imaging - T1 ShMoLLI - DICOM,Liver imaging,field_title_stem,specific s3 field title after file-format suffix removal
Pancreas Images ShMoLLI DICOM,20259; 1020259; 2020259,Pancreas Images - ShMoLLI - DICOM; EMBARGOED UNLINKED : Pancreas Images - ShMoLLI - DICOM; EMBARGOED LINKED : Pancreas Images - ShMoLLI - DICOM,Pancreas imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
PANDORA: included in dMRI tracts,31236,PANDORA: included in dMRI tracts,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in T2 FLAIR lesions,31235,PANDORA: included in T2 FLAIR lesions,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI cope1,31237,PANDORA: included in tfMRI cope1,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI cope2,31238,PANDORA: included in tfMRI cope2,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI cope5,31239,PANDORA: included in tfMRI cope5,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI zstat1,31240,PANDORA: included in tfMRI zstat1,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI zstat2,31241,PANDORA: included in tfMRI zstat2,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in tfMRI zstat5,31242,PANDORA: included in tfMRI zstat5,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI component amplitudes, dimension 100",1025755; 2025755,"EMBARGOED UNLINKED : rfMRI component amplitudes, dimension 100; EMBARGOED LINKED : rfMRI component amplitudes, dimension 100",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
"rfMRI component amplitudes, dimension 25",1025754; 2025754,"EMBARGOED UNLINKED : rfMRI component amplitudes, dimension 25; EMBARGOED LINKED : rfMRI component amplitudes, dimension 25",Embargoed imaging replicas,field_title_exact,specific s3 field title after file-format suffix removal
Scout images for brain scans DICOM,20215; 1020215; 2020215,Scout images for brain scans - DICOM; EMBARGOED UNLINKED : Scout images for brain scans - DICOM; EMBARGOED LINKED : Scout images for brain scans - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Scout images for heart MRI DICOM,20207; 1020207; 2020207,Scout images for heart MRI - DICOM; EMBARGOED UNLINKED : Scout images for heart MRI - DICOM; EMBARGOED LINKED : Scout images for heart MRI - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
T2 FLAIR structural brain images DICOM,20220; 1020220; 2020220,T2 FLAIR structural brain images - DICOM; EMBARGOED UNLINKED : T2 FLAIR structural brain images - DICOM; EMBARGOED LINKED : T2 FLAIR structural brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
T2 FLAIR structural brain images NIFTI,20253; 1020253; 2020253,T2 FLAIR structural brain images - NIFTI; EMBARGOED UNLINKED : T2 FLAIR structural brain images - NIFTI; EMBARGOED LINKED : T2 FLAIR structural brain images - NIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
