model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Intercept,9.88255224,1.85636365,5.32360793,0.00000010,6.24407949,13.52102499,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,Time,-0.01262926,0.01790482,-0.70535510,0.48058928,-0.04772270,0.02246419,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,PostJuly2024,1.56644608,3.17655641,0.49312711,0.62192278,-4.65960447,7.79249664,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,TimeAfterJuly2024,0.75629809,0.24478158,3.08968549,0.00200369,0.27652620,1.23606998,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_02,-1.67644527,2.27338951,-0.73742104,0.46086634,-6.13228871,2.77939818,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_03,1.27210947,2.00952542,0.63303975,0.52670769,-2.66656036,5.21077930,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_04,-2.77933580,2.99882480,-0.92680833,0.35402606,-8.65703241,3.09836082,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_05,-2.66895658,2.01035678,-1.32760344,0.18430915,-6.60925588,1.27134271,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_06,0.09277295,2.73269567,0.03394924,0.97291763,-5.26331056,5.44885645,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_07,-2.79784696,2.41317444,-1.15940519,0.24629106,-7.52766886,1.93197494,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_08,-3.42987430,2.32534515,-1.47499579,0.14021368,-7.98755080,1.12780220,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_09,-2.77618736,2.65192326,-1.04685810,0.29516503,-7.97395696,2.42158224,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_10,-1.26535755,2.40000740,-0.52723069,0.59803340,-5.96937206,3.43865695,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_11,1.24547225,2.99287201,0.41614618,0.67730304,-4.62055689,7.11150139,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test1_high_sensitivity_count,Test 1,high_sensitivity_count,HIGH_SENSITIVITY,,month_12,-4.52941223,3.32346059,-1.36286022,0.17292657,-11.04339500,1.98457053,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Intercept,0.19328259,0.01835109,10.53248786,0.00000000,0.15731446,0.22925072,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,Time,-0.00112769,0.00037247,-3.02758864,0.00246513,-0.00185773,-0.00039765,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,PostJuly2024,-0.04661334,0.02728916,-1.70812656,0.08761286,-0.10010009,0.00687341,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,TimeAfterJuly2024,0.00686511,0.00161387,4.25381495,0.00002102,0.00370192,0.01002830,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_02,0.00944491,0.01923532,0.49101936,0.62341275,-0.02825631,0.04714613,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_03,-0.00377637,0.01487982,-0.25379108,0.79965697,-0.03294081,0.02538808,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_04,-0.01110974,0.02333157,-0.47616775,0.63395487,-0.05683962,0.03462014,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_05,-0.01071928,0.02726585,-0.39313958,0.69421639,-0.06416035,0.04272178,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_06,0.01601379,0.02331996,0.68669879,0.49227256,-0.02969333,0.06172091,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_07,-0.02022716,0.02320946,-0.87150513,0.38347841,-0.06571771,0.02526338,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_08,0.01750673,0.02009517,0.87119095,0.38364990,-0.02187980,0.05689326,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_09,-0.02128169,0.02464540,-0.86351587,0.38785390,-0.06958667,0.02702329,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_10,0.00064918,0.01924486,0.03373268,0.97309032,-0.03707075,0.03836911,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_11,0.01447639,0.03132354,0.46215696,0.64396877,-0.04691775,0.07587054,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_12,-0.01570792,0.03672153,-0.42775784,0.66882743,-0.08768212,0.05626627,87,0.28306151,2.03050185,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Intercept,83.55820941,14.86203232,5.62225997,0.00000002,54.42862607,112.68779275,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Time,0.73521435,0.25125695,2.92614534,0.00343191,0.24275073,1.22767796,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,PostJuly2024,53.54749607,56.07411610,0.95494142,0.33960732,-56.35777149,163.45276363,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,TimeAfterJuly2024,4.33849191,4.79261352,0.90524552,0.36533533,-5.05503058,13.73201440,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_02,-15.46559887,12.09356573,-1.27882869,0.20095739,-39.16898770,8.23778997,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_03,25.35756864,13.75120036,1.84402583,0.06517938,-1.59478406,52.30992134,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_04,-10.29238585,28.57613501,-0.36017417,0.71871689,-66.30161047,45.71683877,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_05,-7.98662241,16.66764896,-0.47916910,0.63181833,-40.65521436,24.68196954,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_06,-11.29101582,23.10467231,-0.48868972,0.62506138,-56.57617354,33.99414190,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_07,-14.77237258,31.77956216,-0.46483877,0.64204692,-77.06031442,47.51556925,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_08,-45.98807364,24.03046695,-1.91374033,0.05565334,-93.08778887,1.11164158,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_09,-22.94562761,31.13103991,-0.73706589,0.46108228,-83.96246583,38.07121062,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
