test,quantity,through_2025_12_estimate,through_2025_12_std_error,through_2025_12_p_value,through_2025_12_ci_low,through_2025_12_ci_high,through_2026_04_estimate,through_2026_04_std_error,through_2026_04_p_value,through_2026_04_ci_low,through_2026_04_ci_high,change_estimate
Test 1,beta1,-0.01340049,0.01809644,0.45899415,-0.04886951,0.02206853,-0.01262926,0.01790482,0.48058928,-0.04772270,0.02246419,0.00077123
Test 1,beta2,0.84391026,3.66270885,0.81777627,-6.33499910,8.02281961,1.56644608,3.17655641,0.62192278,-4.65960447,7.79249664,0.72253582
Test 1,beta3,0.86153846,0.36725337,0.01898137,0.14172186,1.58135506,0.75629809,0.24478158,0.00200369,0.27652620,1.23606998,-0.10524037
Test 1,post slope,0.84813797,0.36287420,0.01942472,0.13690454,1.55937141,0.74366883,0.23943799,0.00189705,0.27437036,1.21296730,-0.10446914
Test 2,beta1,-0.00113399,0.00037117,0.00224952,-0.00186150,-0.00040649,-0.00112769,0.00037247,0.00246513,-0.00185773,-0.00039765,0.00000630
Test 2,beta2,-0.03720663,0.03360559,0.26822646,-0.10307359,0.02866032,-0.04661334,0.02728916,0.08761286,-0.10010009,0.00687341,-0.00940671
Test 2,beta3,0.00540024,0.00254052,0.03353299,0.00042082,0.01037966,0.00686511,0.00161387,0.00002102,0.00370192,0.01002830,0.00146487
Test 2,post slope,0.00426625,0.00257029,0.09694903,-0.00077153,0.00930403,0.00573742,0.00160667,0.00035562,0.00258835,0.00888650,0.00147117
Test 3,High pre slope,-0.16943146,0.22880556,0.45899415,-0.61789035,0.27902743,-0.15968025,0.22638279,0.48058928,-0.60339052,0.28403001,0.00975121
Test 3,High post slope,10.72358357,4.58806463,0.01942472,1.73097689,19.71619025,9.40270936,3.02737693,0.00189705,3.46905058,15.33636813,-1.32087421
Test 3,High slope change,10.89301503,4.64343338,0.01898137,1.79188561,19.99414445,9.56238961,3.09493948,0.00200369,3.49630823,15.62847099,-1.33062542
Test 3,Lower pre slope,0.75002121,0.25510585,0.00328171,0.25001374,1.25002867,0.73521435,0.25125695,0.00343191,0.24275073,1.22767796,-0.01480686
Test 3,Lower post slope,12.38425754,5.21258061,0.01750905,2.16759954,22.60091554,5.07370625,4.69425420,0.27977127,-4.12703197,14.27444448,-7.31055129
Test 3,Lower slope change,11.63423634,5.30428360,0.02828101,1.23784049,22.03063218,4.33849191,4.79261352,0.36533533,-5.05503058,13.73201440,-7.29574443
Test 3,delta2,1.47726004,17.38836700,0.93229573,-32.60393927,35.55845936,-33.74185595,23.19307909,0.14571790,-79.20029097,11.71657907,-35.21911599
Test 3,delta3,-0.74122130,1.61526095,0.64631573,-3.90713276,2.42469015,5.22389770,2.35724403,0.02668439,0.60369941,9.84409599,5.96511900
