project_age_months,project_age_bin,projects_with_complete_followup_to_age,publication_app_links_at_age,unique_publication_ids_at_age,fractional_publication_count_at_age,publications_per_100_projects_at_risk,cumulative_fractional_publications
0,0_6_months,6465,5,5,4.500,0.0696,4.500
1,0_6_months,6363,6,6,5.000,0.0786,9.500
2,0_6_months,6194,10,10,9.500,0.1534,19.000
3,0_6_months,6063,12,12,11.000,0.1814,30.000
4,0_6_months,5898,22,22,21.000,0.3561,51.000
5,0_6_months,5781,33,33,31.500,0.5449,82.500
6,0_6_months,5590,36,36,34.000,0.6082,116.500
7,7_12_months,5430,39,39,37.000,0.6814,153.500
8,7_12_months,5304,55,55,53.000,0.9992,206.500
9,7_12_months,5123,58,58,53.500,1.0443,260.000
10,7_12_months,5013,74,74,72.200,1.4403,332.200
11,7_12_months,4903,83,83,78.750,1.6062,410.950
12,7_12_months,4803,110,110,106.500,2.2174,517.450
13,13_24_months,4697,117,117,115.000,2.4484,632.450
14,13_24_months,4541,101,100,98.000,2.1581,730.450
15,13_24_months,4333,115,115,112.333,2.5925,842.783
16,13_24_months,4332,120,120,116.833,2.6970,959.617
17,13_24_months,4332,143,143,137.500,3.1741,1097.117
18,13_24_months,4329,152,152,145.833,3.3688,1242.950
19,13_24_months,4319,124,124,120.333,2.7861,1363.283
20,13_24_months,4286,158,158,155.167,3.6203,1518.450
21,13_24_months,4214,166,166,159.667,3.7890,1678.117
22,13_24_months,4131,169,169,163.500,3.9579,1841.617
23,13_24_months,4080,174,174,168.583,4.1319,2010.200
24,13_24_months,4005,182,181,175.200,4.3745,2185.400
25,25_48_months,3968,166,166,161.000,4.0575,2346.400
26,25_48_months,3888,204,204,200.000,5.1440,2546.400
27,25_48_months,3817,213,213,209.000,5.4755,2755.400
28,25_48_months,3760,184,184,177.917,4.7318,2933.317
29,25_48_months,3702,198,198,187.750,5.0716,3121.067
30,25_48_months,3640,195,193,187.583,5.1534,3308.650
31,25_48_months,3564,172,172,165.750,4.6507,3474.400
32,25_48_months,3501,186,185,177.867,5.0805,3652.267
33,25_48_months,3443,203,203,194.833,5.6588,3847.100
34,25_48_months,3370,175,175,169.200,5.0208,4016.300
35,25_48_months,3321,183,183,178.000,5.3598,4194.300
36,25_48_months,3263,185,184,172.733,5.2937,4367.033
37,25_48_months,3191,185,185,175.667,5.5051,4542.700
38,25_48_months,3117,191,191,178.783,5.7358,4721.483
39,25_48_months,3082,171,170,164.500,5.3374,4885.983
40,25_48_months,2988,200,198,186.200,6.2316,5072.183
41,25_48_months,2915,173,173,165.333,5.6718,5237.517
42,25_48_months,2862,150,150,143.000,4.9965,5380.517
43,25_48_months,2816,151,151,144.333,5.1255,5524.850
44,25_48_months,2750,146,146,136.533,4.9648,5661.383
45,25_48_months,2691,141,140,131.833,4.8990,5793.217
46,25_48_months,2610,138,138,130.750,5.0096,5923.967
47,25_48_months,2548,129,128,120.333,4.7227,6044.300
48,25_48_months,2512,144,143,133.333,5.3079,6177.633
49,49_plus_months,2477,110,110,106.333,4.2928,6283.967
50,49_plus_months,2435,130,130,124.333,5.1061,6408.300
51,49_plus_months,2389,120,119,114.083,4.7754,6522.383
52,49_plus_months,2356,108,108,100.083,4.2480,6622.467
53,49_plus_months,2336,123,123,116.250,4.9765,6738.717
54,49_plus_months,2311,114,114,110.000,4.7598,6848.717
55,49_plus_months,2267,110,110,103.333,4.5582,6952.050
56,49_plus_months,2227,115,115,107.667,4.8346,7059.717
57,49_plus_months,2187,93,93,87.000,3.9781,7146.717
58,49_plus_months,2109,114,114,108.167,5.1288,7254.883
59,49_plus_months,2053,100,100,93.033,4.5316,7347.917
60,49_plus_months,1966,97,97,92.000,4.6796,7439.917
61,49_plus_months,1961,97,96,88.667,4.5215,7528.583
62,49_plus_months,1921,103,103,95.250,4.9584,7623.833
63,49_plus_months,1892,100,100,94.667,5.0035,7718.500
64,49_plus_months,1846,81,81,76.500,4.1441,7795.000
65,49_plus_months,1797,94,93,86.167,4.7950,7881.167
66,49_plus_months,1744,99,99,93.367,5.3536,7974.533
67,49_plus_months,1675,94,94,85.533,5.1065,8060.067
68,49_plus_months,1639,82,82,76.500,4.6675,8136.567
69,49_plus_months,1588,79,79,70.867,4.4626,8207.433
70,49_plus_months,1497,88,88,83.750,5.5945,8291.183
71,49_plus_months,1450,84,84,78.667,5.4253,8369.850
72,49_plus_months,1397,73,73,69.700,4.9893,8439.550
73,49_plus_months,1368,79,78,74.833,5.4703,8514.383
74,49_plus_months,1316,65,65,61.500,4.6733,8575.883
75,49_plus_months,1273,71,71,67.000,5.2632,8642.883
76,49_plus_months,1242,77,76,71.000,5.7166,8713.883
77,49_plus_months,1215,86,86,82.833,6.8176,8796.717
78,49_plus_months,1165,77,77,71.500,6.1373,8868.217
79,49_plus_months,1132,58,58,51.250,4.5274,8919.467
80,49_plus_months,1072,56,56,53.000,4.9440,8972.467
81,49_plus_months,1037,56,56,50.000,4.8216,9022.467
82,49_plus_months,985,53,53,51.000,5.1777,9073.467
83,49_plus_months,945,43,43,42.500,4.4974,9115.967
