project_cohort,project_age_months,share_with_first_publication_by_project_age_percent,ci_low,ci_high,number_at_risk,events_observed_by_age,censor_date,estimator
pre_rap_project_start,0,0.000,0.000,0.000,4332,0,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,1,0.092,0.002,0.183,4329,4,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,2,0.162,0.042,0.281,4325,7,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,3,0.346,0.171,0.521,4317,15,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,4,0.600,0.370,0.830,4307,26,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,5,0.900,0.619,1.182,4294,39,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,6,1.339,0.997,1.681,4275,58,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,7,1.893,1.487,2.299,4251,82,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,8,2.470,2.008,2.932,4226,107,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,9,2.978,2.472,3.484,4204,129,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,10,3.717,3.153,4.280,4173,161,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,11,4.640,4.013,5.266,4133,201,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,12,5.817,5.120,6.514,4081,252,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,13,7.479,6.696,8.263,4008,324,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,14,8.749,7.907,9.590,3956,379,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,15,9.949,9.058,10.841,3905,431,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,16,11.127,10.190,12.063,3851,482,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,17,12.373,11.392,13.354,3798,536,2025-12-31,Kaplan-Meier 1 minus survival
