cohort_cutoff,calendar_month,month_start,fixed_cohort_projects,fractional_publication_count,fractional_publications_per_100_fixed_cohort,calendar_post_july_2024
2021-07-01,2021-07,2021-07-01,2311,83.000,3.5915,0
2021-07-01,2021-08,2021-08-01,2311,67.000,2.8992,0
2021-07-01,2021-09,2021-09-01,2311,83.000,3.5915,0
2021-07-01,2021-10,2021-10-01,2311,72.000,3.1155,0
2021-07-01,2021-11,2021-11-01,2311,92.000,3.9810,0
2021-07-01,2021-12,2021-12-01,2311,94.000,4.0675,0
2021-07-01,2022-01,2022-01-01,2311,100.000,4.3271,0
2021-07-01,2022-02,2022-02-01,2311,91.000,3.9377,0
2021-07-01,2022-03,2022-03-01,2311,88.000,3.8079,0
2021-07-01,2022-04,2022-04-01,2311,78.000,3.3752,0
2021-07-01,2022-05,2022-05-01,2311,87.000,3.7646,0
2021-07-01,2022-06,2022-06-01,2311,109.000,4.7166,0
2021-07-01,2022-07,2022-07-01,2311,101.000,4.3704,0
2021-07-01,2022-08,2022-08-01,2311,108.000,4.6733,0
2021-07-01,2022-09,2022-09-01,2311,96.500,4.1757,0
2021-07-01,2022-10,2022-10-01,2311,112.500,4.8680,0
2021-07-01,2022-11,2022-11-01,2311,111.000,4.8031,0
2021-07-01,2022-12,2022-12-01,2311,101.000,4.3704,0
2021-07-01,2023-01,2023-01-01,2311,116.000,5.0195,0
2021-07-01,2023-02,2023-02-01,2311,119.500,5.1709,0
2021-07-01,2023-03,2023-03-01,2311,114.500,4.9546,0
2021-07-01,2023-04,2023-04-01,2311,103.000,4.4569,0
2021-07-01,2023-05,2023-05-01,2311,108.000,4.6733,0
2021-07-01,2023-06,2023-06-01,2311,122.500,5.3007,0
2021-07-01,2023-07,2023-07-01,2311,113.000,4.8897,0
2021-07-01,2023-08,2023-08-01,2311,97.000,4.1973,0
2021-07-01,2023-09,2023-09-01,2311,110.000,4.7598,0
2021-07-01,2023-10,2023-10-01,2311,92.500,4.0026,0
2021-07-01,2023-11,2023-11-01,2311,97.000,4.1973,0
2021-07-01,2023-12,2023-12-01,2311,91.000,3.9377,0
2021-07-01,2024-01,2024-01-01,2311,111.667,4.8320,0
2021-07-01,2024-02,2024-02-01,2311,87.000,3.7646,0
