model,outcome,window,n_months,pre_months,post_months,term,estimate,std_error,p_value,ci_low,ci_high,notes
"Primary total-output ITS, linear HAC(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0771,0.0000,1.9349,2.2372,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,8.0556,0.5249,-20.9114,10.6666,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.7328,0.0000,2.8967,5.7693,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(3)",unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0753,0.0000,1.9384,2.2337,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(3)",unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,7.6605,0.5037,-20.1369,9.8921,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(3)",unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.7125,0.0000,2.9366,5.7294,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(6)",unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0723,0.0000,1.9444,2.2278,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(6)",unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,6.3052,0.4166,-17.4807,7.2358,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(6)",unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.5872,0.0000,3.1822,5.4838,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(12)",unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0658,0.0000,1.9571,2.2151,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(12)",unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,6.0115,0.3942,-16.9050,6.6602,HAC lag sensitivity; OLS point estimates should be invariant
"Primary total-output ITS, linear HAC(12)",unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.5419,0.0000,3.2709,5.3951,HAC lag sensitivity; OLS point estimates should be invariant
