project_age_months,pre_transition_project_months,pre_transition_fractional_publications,raw_monthly_fractional_publications_per_project,smoothed_monthly_fractional_publications_per_project,smoothing_window_months,estimated_using_calendar_months_before
0,3424,2.000000,0.00058411,0.00101675,+/-2,2024-07-01
1,3446,2.500000,0.00072548,0.00116347,+/-2,2024-07-01
2,3457,6.000000,0.00173561,0.00172142,+/-2,2024-07-01
3,3425,5.500000,0.00160584,0.00272376,+/-2,2024-07-01
4,3385,13.500000,0.00398818,0.00368775,+/-2,2024-07-01
5,3359,19.000000,0.00565645,0.00482057,+/-2,2024-07-01
6,3322,18.500000,0.00556893,0.00634625,+/-2,2024-07-01
7,3312,24.500000,0.00739734,0.00745451,+/-2,2024-07-01
8,3246,30.000000,0.00924214,0.00877950,+/-2,2024-07-01
9,3194,30.500000,0.00954915,0.01075084,+/-2,2024-07-01
10,3157,39.000000,0.01235350,0.01305437,+/-2,2024-07-01
11,3113,48.250000,0.01549952,0.01557456,+/-2,2024-07-01
12,3051,58.000000,0.01901016,0.01802853,+/-2,2024-07-01
13,2975,65.500000,0.02201681,0.02063082,+/-2,2024-07-01
14,2916,63.500000,0.02177641,0.02324865,+/-2,2024-07-01
15,2862,72.500000,0.02533194,0.02519217,+/-2,2024-07-01
16,2799,80.000000,0.02858164,0.02684500,+/-2,2024-07-01
17,2758,79.000000,0.02864394,0.02783814,+/-2,2024-07-01
18,2721,82.333333,0.03025848,0.02845828,+/-2,2024-07-01
19,2666,70.500000,0.02644411,0.02967096,+/-2,2024-07-01
20,2608,73.833333,0.02831033,0.03203466,+/-2,2024-07-01
21,2599,90.500000,0.03482109,0.03241821,+/-2,2024-07-01
22,2522,103.000000,0.04084060,0.03341519,+/-2,2024-07-01
23,2463,79.000000,0.03207471,0.03407718,+/-2,2024-07-01
24,2432,75.500000,0.03104441,0.03538550,+/-2,2024-07-01
25,2397,75.000000,0.03128911,0.03652414,+/-2,2024-07-01
26,2352,98.000000,0.04166667,0.03867423,+/-2,2024-07-01
27,2307,109.000000,0.04724751,0.04157956,+/-2,2024-07-01
28,2236,95.916666,0.04289654,0.04302580,+/-2,2024-07-01
29,2188,99.416666,0.04543723,0.04223972,+/-2,2024-07-01
30,2168,81.750000,0.03770756,0.04129042,+/-2,2024-07-01
31,2153,80.750000,0.03750581,0.04240267,+/-2,2024-07-01
32,2130,91.200000,0.04281690,0.04198215,+/-2,2024-07-01
33,2106,102.500000,0.04867047,0.04297556,+/-2,2024-07-01
34,2088,90.700000,0.04343870,0.04458655,+/-2,2024-07-01
35,2079,88.500000,0.04256854,0.04565524,+/-2,2024-07-01
36,2074,94.233333,0.04543555,0.04609367,+/-2,2024-07-01
37,2041,98.333333,0.04817900,0.04582558,+/-2,2024-07-01
38,2009,102.583333,0.05106189,0.04793507,+/-2,2024-07-01
39,2002,84.000000,0.04195804,0.04892098,+/-2,2024-07-01
40,1947,103.699999,0.05326143,0.04853285,+/-2,2024-07-01
41,1902,95.750000,0.05034175,0.04746986,+/-2,2024-07-01
42,1830,84.250000,0.04603825,0.04790391,+/-2,2024-07-01
43,1831,83.833333,0.04578555,0.04654720,+/-2,2024-07-01
44,1801,78.500000,0.04358690,0.04688716,+/-2,2024-07-01
45,1788,83.666666,0.04679344,0.04734250,+/-2,2024-07-01
46,1745,91.500000,0.05243553,0.04967801,+/-2,2024-07-01
47,1703,82.333333,0.04834606,0.04993919,+/-2,2024-07-01
48,1659,96.000000,0.05786618,0.05086999,+/-2,2024-07-01
49,1602,70.833333,0.04421556,0.04983021,+/-2,2024-07-01
50,1567,80.333333,0.05126569,0.05022919,+/-2,2024-07-01
51,1518,71.583333,0.04715635,0.04926562,+/-2,2024-07-01
52,1435,72.083333,0.05023229,0.05006202,+/-2,2024-07-01
53,1390,75.250000,0.05413669,0.04978834,+/-2,2024-07-01
54,1346,64.000000,0.04754829,0.05248101,+/-2,2024-07-01
55,1319,66.000000,0.05003791,0.05200540,+/-2,2024-07-01
56,1268,77.333333,0.06098843,0.05303030,+/-2,2024-07-01
57,1226,58.000000,0.04730832,0.05457633,+/-2,2024-07-01
58,1199,71.833333,0.05991104,0.05516608,+/-2,2024-07-01
59,1172,64.333333,0.05489192,0.05378007,+/-2,2024-07-01
60,1126,58.999999,0.05239787,0.05699106,+/-2,2024-07-01
61,1097,59.833333,0.05454269,0.05728783,+/-2,2024-07-01
62,1037,65.916666,0.06356477,0.05806194,+/-2,2024-07-01
63,1004,62.333333,0.06208499,0.06166001,+/-2,2024-07-01
64,956,56.000000,0.05857741,0.06340844,+/-2,2024-07-01
65,916,64.833333,0.07077875,0.06212483,+/-2,2024-07-01
66,880,54.833333,0.06231061,0.06320797,+/-2,2024-07-01
67,853,48.333333,0.05666276,0.06303217,+/-2,2024-07-01
68,809,55.000000,0.06798517,0.06257216,+/-2,2024-07-01
69,770,43.500000,0.05649351,0.06357721,+/-2,2024-07-01
70,730,51.250000,0.07020548,0.06460877,+/-2,2024-07-01
71,706,47.833333,0.06775260,0.06607481,+/-2,2024-07-01
72,670,40.500000,0.06044776,0.06697704,+/-2,2024-07-01
73,644,49.500000,0.07686335,0.06729887,+/-2,2024-07-01
74,633,37.500000,0.05924171,0.06960691,+/-2,2024-07-01
75,616,44.666666,0.07251082,0.07711039,+/-2,2024-07-01
76,600,47.999999,0.08000000,0.07572751,+/-2,2024-07-01
77,587,57.833333,0.09852357,0.07558725,+/-2,2024-07-01
78,588,41.000000,0.06972789,0.07225613,+/-2,2024-07-01
79,589,33.749999,0.05730051,0.06760523,+/-2,2024-07-01
80,585,32.500000,0.05555556,0.05962594,+/-2,2024-07-01
81,581,33.000000,0.05679862,0.05668051,+/-2,2024-07-01
82,571,33.500000,0.05866900,0.05923059,+/-2,2024-07-01
83,563,31.000000,0.05506217,0.06236520,+/-2,2024-07-01
84,542,38.333333,0.07072571,0.06580566,+/-2,2024-07-01
85,525,37.666666,0.07174603,0.06839563,+/-2,2024-07-01
86,509,37.833333,0.07432875,0.06884488,+/-2,2024-07-01
87,483,34.500000,0.07142857,0.06488706,+/-2,2024-07-01
88,466,25.500000,0.05472103,0.06296296,+/-2,2024-07-01
89,452,22.500000,0.04977876,0.05814815,+/-2,2024-07-01
90,430,27.000000,0.06279070,0.05581216,+/-2,2024-07-01
91,419,21.333333,0.05091488,0.05440871,+/-2,2024-07-01
92,398,24.500000,0.06155779,0.05951787,+/-2,2024-07-01
93,384,18.000000,0.04687500,0.05538329,+/-2,2024-07-01
94,374,28.500000,0.07620321,0.05689964,+/-2,2024-07-01
95,360,14.833333,0.04120370,0.05515118,+/-2,2024-07-01
96,344,20.000000,0.05813953,0.05477446,+/-2,2024-07-01
97,324,17.166666,0.05298354,0.05043317,+/-2,2024-07-01
98,305,13.000000,0.04262295,0.05260280,+/-2,2024-07-01
99,283,16.500000,0.05830389,0.05323591,+/-2,2024-07-01
100,268,13.500000,0.05037313,0.05530864,+/-2,2024-07-01
101,257,16.333333,0.06355382,0.05848413,+/-2,2024-07-01
102,237,15.333333,0.06469761,0.05749033,+/-2,2024-07-01
103,226,12.666666,0.05604719,0.05936480,+/-2,2024-07-01
104,218,11.500000,0.05275229,0.06014916,+/-2,2024-07-01
105,185,10.833333,0.05855856,0.05891720,+/-2,2024-07-01
106,162,11.500000,0.07098765,0.06142410,+/-2,2024-07-01
107,151,9.000000,0.05960265,0.06457243,+/-2,2024-07-01
108,136,9.500000,0.06985294,0.06223176,+/-2,2024-07-01
109,130,8.500000,0.06538462,0.06708268,+/-2,2024-07-01
110,120,5.000000,0.04166667,0.06598985,+/-2,2024-07-01
111,104,11.000000,0.10576923,0.05737705,+/-2,2024-07-01
112,101,5.000000,0.04950495,0.04861111,+/-2,2024-07-01
113,94,2.000000,0.02127660,0.04558716,+/-2,2024-07-01
114,85,1.500000,0.01764706,0.02901961,+/-2,2024-07-01
115,73,1.333333,0.01826484,0.02876480,+/-2,2024-07-01
