record_type,control_definition,period,group,metric,value,treated_n,control_n,note
data_integrity,,,,source_commit,8465974b8998161d795e553a08dd737aa4b3e83a,,,
data_integrity,,,,design_scope,quarterly,,,
data_integrity,,,,working_universe_projects,6935,,,
data_integrity,,,,quarter_panel_rows,75973,,,
data_integrity,,,,month_panel_rows,not_run_in_quarterly_design,,,
data_integrity,,,,quarter_window,2022Q3_2026Q2,,,
data_integrity,,,,month_window,not_run_in_quarterly_design,,,
data_integrity,,,,policy_date,2024-07-05,,,
data_integrity,,,,missing_project_start_dates,0,,,
data_integrity,,,,pre_start_panel_rows,0,,,
data_integrity,,,,publication_events_in_complete_quarter_panel,12400,,,
data_integrity,,,,schema19_publications,14633,,,
data_integrity,,,,exact_date_pub,14633,,,
data_integrity,,,,schema24_links,12598,,,
data_integrity,,,,unique_application_publication_pairs,12598,,,
data_integrity,,,,duplicate_application_publication_pairs,0,,,
data_integrity,,,,clean_events_in_working_universe,12568,,,
data_integrity,,,,publication_observation_end_date,2026-07-16,,,
data_integrity,,,,publication_before_project_start_events,24,,,
data_integrity,,,,events_after_main_complete_panel_window,168,,,
data_integrity,,,,top_1pct_high_output_apps,72,,,
data_integrity,,,,heterogeneity_triggered_count_positive_any_nonpositive,True,,,
data_integrity,,,,CONTROL_C0_incumbent_apps,3374,,,
data_integrity,,,,CONTROL_C0_treated_apps,3344,,,
data_integrity,,,,CONTROL_C0_control_apps,30,,,
data_integrity,,,,CONTROL_C01_incumbent_apps,3450,,,
data_integrity,,,,CONTROL_C01_treated_apps,3338,,,
data_integrity,,,,CONTROL_C01_control_apps,112,,,
data_integrity,,,,CONTROL_C03_incumbent_apps,3455,,,
data_integrity,,,,CONTROL_C03_treated_apps,3325,,,
data_integrity,,,,CONTROL_C03_control_apps,130,,,
data_integrity,,,,CONTROL_C05_incumbent_apps,3455,,,
data_integrity,,,,CONTROL_C05_treated_apps,3324,,,
data_integrity,,,,CONTROL_C05_control_apps,131,,,
outlier_distribution,,2022Q3_2026Q2,all,top_1pct_high_output_apps,72,,,based_on_total_publication_count_in_main_quarter_panel
quarterly_raw_series,CONTROL_C0,2022Q3,treated,mean_publication_count,0.124531,,,
quarterly_raw_series,CONTROL_C0,2022Q3,treated,any_publication_rate,0.086631,,,
