layer,previous_classification,new_projects
C0,ALREADY_RAP_BOUND,42
C0,NEWLY_RAP_BOUND,0
C0,MIXED,0
C0,UNCLEAR,0
C1,ALREADY_RAP_BOUND,0
C1,NEWLY_RAP_BOUND,13
C1,MIXED,179
C1,UNCLEAR,3
C2,ALREADY_RAP_BOUND,0
C2,NEWLY_RAP_BOUND,0
C2,MIXED,0
C2,UNCLEAR,0
C3,ALREADY_RAP_BOUND,0
C3,NEWLY_RAP_BOUND,23
C3,MIXED,0
C3,UNCLEAR,7
C4,ALREADY_RAP_BOUND,0
C4,NEWLY_RAP_BOUND,0
C4,MIXED,1
C4,UNCLEAR,0
C5,ALREADY_RAP_BOUND,0
C5,NEWLY_RAP_BOUND,1
C5,MIXED,0
C5,UNCLEAR,0
C6,ALREADY_RAP_BOUND,0
C6,NEWLY_RAP_BOUND,135
C6,MIXED,0
C6,UNCLEAR,34
