control_definition,outcome,treated_event,treated_non_event,control_event,control_non_event,treated_n,control_n,treated_event_rate,control_event_rate,fisher_exact_p,warning
CONTROL_C0,dmca_strict_21,13,3333,0,30,3346,30,0.003885,0.000000,1.000000,zero_cell
CONTROL_C0,dmca_main_27,19,3327,0,30,3346,30,0.005678,0.000000,1.000000,zero_cell
CONTROL_C0,dmca_broad_48,34,3312,0,30,3346,30,0.010161,0.000000,1.000000,zero_cell
CONTROL_C01,dmca_strict_21,13,3327,1,111,3340,112,0.003892,0.008929,0.370386,
CONTROL_C01,dmca_main_27,19,3321,1,111,3340,112,0.005689,0.008929,0.483930,
CONTROL_C01,dmca_broad_48,34,3306,1,111,3340,112,0.010180,0.008929,1.000000,
CONTROL_C03,dmca_strict_21,13,3314,1,129,3327,130,0.003907,0.007692,0.415883,
CONTROL_C03,dmca_main_27,19,3308,1,129,3327,130,0.005711,0.007692,0.536412,
CONTROL_C03,dmca_broad_48,34,3293,1,129,3327,130,0.010219,0.007692,1.000000,
CONTROL_C05,dmca_strict_21,13,3313,1,130,3326,131,0.003909,0.007634,0.418341,
CONTROL_C05,dmca_main_27,19,3307,1,130,3326,131,0.005713,0.007634,0.539199,
CONTROL_C05,dmca_broad_48,34,3292,1,130,3326,131,0.010222,0.007634,1.000000,
CONTROL_C06,dmca_strict_21,10,3183,4,293,3193,297,0.003132,0.013468,0.025935,
CONTROL_C06,dmca_main_27,15,3178,5,292,3193,297,0.004698,0.016835,0.023023,
CONTROL_C06,dmca_broad_48,28,3165,7,290,3193,297,0.008769,0.023569,0.025355,
