control_definition,control_mean,control_n,control_post_mean,control_pre_mean,design,did_difference,difference,note,outcome,post_policy_start_mean,post_policy_start_n,pre_policy_start_mean,pre_policy_start_n,treated_mean,treated_n,treated_post_mean,treated_pre_mean
CONTROL_C0,,30,1.133333,1.466667,P1_existing_project_policy_did,0.688085,,post_policy_start_projects_excluded,publication_count,,,,,,3346,1.210102,0.855350
CONTROL_C0,,30,0.233333,0.100000,P1_existing_project_policy_did,-0.069675,,post_policy_start_projects_excluded,any_publication,,,,,,3346,0.339809,0.276151
CONTROL_C01,,112,1.196429,0.964286,P1_existing_project_policy_did,0.122947,,post_policy_start_projects_excluded,publication_count,,,,,,3340,1.211677,0.856587
CONTROL_C01,,112,0.348214,0.187500,P1_existing_project_policy_did,-0.096942,,post_policy_start_projects_excluded,any_publication,,,,,,3340,0.340120,0.276347
CONTROL_C03,,130,1.107692,0.930769,P1_existing_project_policy_did,0.181358,,post_policy_start_projects_excluded,publication_count,,,,,,3327,1.214908,0.856628
CONTROL_C03,,130,0.346154,0.207692,P1_existing_project_policy_did,-0.073839,,post_policy_start_projects_excluded,any_publication,,,,,,3327,0.340547,0.275924
CONTROL_C05,,131,1.129771,0.954198,P1_existing_project_policy_did,0.182816,,post_policy_start_projects_excluded,publication_count,,,,,,3326,1.214071,0.855683
CONTROL_C05,,131,0.351145,0.213740,P1_existing_project_policy_did,-0.072762,,post_policy_start_projects_excluded,any_publication,,,,,,3326,0.340349,0.275707
CONTROL_C06,,297,3.070707,2.582492,P1_existing_project_policy_did,-0.139327,,post_policy_start_projects_excluded,publication_count,,,,,,3193,1.064203,0.715315
CONTROL_C06,,297,0.606061,0.515152,P1_existing_project_policy_did,-0.024827,,post_policy_start_projects_excluded,any_publication,,,,,,3193,0.321015,0.254933
all_projects,,,,,P2_project_entry_cohort_6m,,0.001918,not_did_sufficient_followup_required,publication_6m,0.022446,1292,0.020528,682,,,,
all_projects,,,,,P2_project_entry_cohort_6m,,0.000981,not_did_sufficient_followup_required,any_publication_6m,0.018576,1292,0.017595,682,,,,
all_projects,,,,,P2_project_entry_cohort_12m,,-0.001895,not_did_sufficient_followup_required,publication_12m,0.116873,1292,0.118768,682,,,,
all_projects,,,,,P2_project_entry_cohort_12m,,0.013984,not_did_sufficient_followup_required,any_publication_12m,0.084365,1292,0.070381,682,,,,
all_projects,,,,,P2_project_entry_cohort_18m,,0.070190,not_did_sufficient_followup_required,publication_18m,0.381041,538,0.310850,682,,,,
all_projects,,,,,P2_project_entry_cohort_18m,,0.054323,not_did_sufficient_followup_required,any_publication_18m,0.215613,538,0.161290,682,,,,
CONTROL_C0,0.000000,30,,,DMCA_application_level_rare_outcome,,0.003885,exploratory_association_not_policy_did,dmca_strict_21,,,,,0.003885,3346,,
CONTROL_C0,0.000000,30,,,DMCA_application_level_rare_outcome,,0.005678,exploratory_association_not_policy_did,dmca_main_27,,,,,0.005678,3346,,
CONTROL_C0,0.000000,30,,,DMCA_application_level_rare_outcome,,0.010161,exploratory_association_not_policy_did,dmca_broad_48,,,,,0.010161,3346,,
CONTROL_C01,0.008929,112,,,DMCA_application_level_rare_outcome,,-0.005036,exploratory_association_not_policy_did,dmca_strict_21,,,,,0.003892,3340,,
CONTROL_C01,0.008929,112,,,DMCA_application_level_rare_outcome,,-0.003240,exploratory_association_not_policy_did,dmca_main_27,,,,,0.005689,3340,,
CONTROL_C01,0.008929,112,,,DMCA_application_level_rare_outcome,,0.001251,exploratory_association_not_policy_did,dmca_broad_48,,,,,0.010180,3340,,
CONTROL_C03,0.007692,130,,,DMCA_application_level_rare_outcome,,-0.003785,exploratory_association_not_policy_did,dmca_strict_21,,,,,0.003907,3327,,
CONTROL_C03,0.007692,130,,,DMCA_application_level_rare_outcome,,-0.001981,exploratory_association_not_policy_did,dmca_main_27,,,,,0.005711,3327,,
CONTROL_C03,0.007692,130,,,DMCA_application_level_rare_outcome,,0.002527,exploratory_association_not_policy_did,dmca_broad_48,,,,,0.010219,3327,,
CONTROL_C05,0.007634,131,,,DMCA_application_level_rare_outcome,,-0.003725,exploratory_association_not_policy_did,dmca_strict_21,,,,,0.003909,3326,,
CONTROL_C05,0.007634,131,,,DMCA_application_level_rare_outcome,,-0.001921,exploratory_association_not_policy_did,dmca_main_27,,,,,0.005713,3326,,
CONTROL_C05,0.007634,131,,,DMCA_application_level_rare_outcome,,0.002589,exploratory_association_not_policy_did,dmca_broad_48,,,,,0.010222,3326,,
CONTROL_C06,0.013468,297,,,DMCA_application_level_rare_outcome,,-0.010336,exploratory_association_not_policy_did,dmca_strict_21,,,,,0.003132,3193,,
CONTROL_C06,0.016835,297,,,DMCA_application_level_rare_outcome,,-0.012137,exploratory_association_not_policy_did,dmca_main_27,,,,,0.004698,3193,,
CONTROL_C06,0.023569,297,,,DMCA_application_level_rare_outcome,,-0.014800,exploratory_association_not_policy_did,dmca_broad_48,,,,,0.008769,3193,,
