design,model,control_definition,outcome,coefficient,n,estimate,robust_se,p_value,warning
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C0,publication_count_delta_24m,treated_minus_control_did,3376,0.688085,0.579621,0.235177,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C0,any_publication_delta_24m,treated_minus_control_did,3376,-0.069675,0.078498,0.374755,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C01,publication_count_delta_24m,treated_minus_control_did,3452,0.122947,0.199550,0.537814,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C01,any_publication_delta_24m,treated_minus_control_did,3452,-0.096942,0.042050,0.021146,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C03,publication_count_delta_24m,treated_minus_control_did,3457,0.181358,0.177766,0.307631,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C03,any_publication_delta_24m,treated_minus_control_did,3457,-0.073839,0.041395,0.074459,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C05,publication_count_delta_24m,treated_minus_control_did,3457,0.182816,0.176490,0.300276,
P1_existing_project_policy_did_first_difference,ols_first_difference_robust_se,CONTROL_C05,any_publication_delta_24m,treated_minus_control_did,3457,-0.072762,0.041108,0.076725,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,publication_6m,post_policy_start,1974,0.001918,0.008045,0.811558,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,any_publication_6m,post_policy_start,1974,0.000981,0.006285,0.876015,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,publication_12m,post_policy_start,1974,-0.001895,0.024597,0.938582,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,any_publication_12m,post_policy_start,1974,0.013984,0.012485,0.262694,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,publication_18m,post_policy_start,1220,0.070190,0.055968,0.209799,
P2_project_entry_cohort_before_after,ols_post_policy_start_robust_se,all_projects,any_publication_18m,post_policy_start,1220,0.054323,0.022662,0.016524,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C0,publication_12m,post_policy_start_x_provisional_treated,1576,-0.006128,0.030189,0.839150,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C0,any_publication_12m,post_policy_start_x_provisional_treated,1576,0.013330,0.014657,0.363090,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C01,publication_12m,post_policy_start_x_provisional_treated,1634,-0.017429,0.086579,0.840461,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C01,any_publication_12m,post_policy_start_x_provisional_treated,1634,0.018519,0.077488,0.811113,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C03,publication_12m,post_policy_start_x_provisional_treated,1634,-0.016754,0.081816,0.837746,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C03,any_publication_12m,post_policy_start_x_provisional_treated,1634,0.018119,0.072751,0.803313,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C05,publication_12m,post_policy_start_x_provisional_treated,1634,-0.016754,0.081816,0.837746,
P2_project_entry_cohort_group_interaction,ols_interaction_robust_se,CONTROL_C05,any_publication_12m,post_policy_start_x_provisional_treated,1634,0.018119,0.072751,0.803313,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C0,dmca_strict_21,provisional_treated,3376,0.002230,0.001013,0.027708,zero_cell
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C0,dmca_main_27,provisional_treated,3376,0.003510,0.001298,0.006853,zero_cell
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C0,dmca_broad_48,provisional_treated,3376,0.005932,0.001751,0.000706,zero_cell
DMCA_application_level_count_secondary,ols_count_start_year_fe_robust_se,CONTROL_C0,dmca_lineage_count,provisional_treated,3376,0.011880,0.005739,0.038447,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C01,dmca_strict_21,provisional_treated,3452,-0.005530,0.009003,0.539019,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C01,dmca_main_27,provisional_treated,3452,-0.003862,0.009010,0.668222,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C01,dmca_broad_48,provisional_treated,3452,-0.000604,0.009069,0.946873,
DMCA_application_level_count_secondary,ols_count_start_year_fe_robust_se,CONTROL_C01,dmca_lineage_count,provisional_treated,3452,0.005602,0.010266,0.585259,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C03,dmca_strict_21,provisional_treated,3457,-0.003692,0.007823,0.636944,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C03,dmca_main_27,provisional_treated,3457,-0.001978,0.007839,0.800754,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C03,dmca_broad_48,provisional_treated,3457,0.001877,0.007930,0.812856,
DMCA_application_level_count_secondary,ols_count_start_year_fe_robust_se,CONTROL_C03,dmca_lineage_count,provisional_treated,3457,0.008542,0.009290,0.357862,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C05,dmca_strict_21,provisional_treated,3457,-0.003573,0.007768,0.645512,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C05,dmca_main_27,provisional_treated,3457,-0.001872,0.007784,0.809915,
DMCA_application_level_rare_outcome,lpm_ols_start_year_fe_robust_se,CONTROL_C05,dmca_broad_48,provisional_treated,3457,0.002091,0.007880,0.790706,
DMCA_application_level_count_secondary,ols_count_start_year_fe_robust_se,CONTROL_C05,dmca_lineage_count,provisional_treated,3457,0.008843,0.009245,0.338793,
