table,variable,rows,nonmissing,missing,nonmissing_pct
schema27_applications,app_id,7078,7078,0,100.00
schema27_applications,title,7078,7078,0,100.00
schema27_applications,pi,7078,3100,3978,43.80
schema27_applications,institution,7078,7078,0,100.00
schema27_applications,notes,7078,7078,0,100.00
schema19_publications,pub_id,14633,14633,0,100.00
schema19_publications,title,14633,14633,0,100.00
schema19_publications,keywords,14633,9892,4741,67.60
schema19_publications,authors,14633,14621,12,99.92
schema19_publications,journal,14633,14610,23,99.84
schema19_publications,year_pub,14633,14633,0,100.00
schema19_publications,date_pub,14633,14633,0,100.00
schema19_publications,abstract,14633,14366,267,98.18
schema19_publications,pubmed_id,14633,14633,0,100.00
schema19_publications,doi,14633,14606,27,99.82
schema19_publications,url,14633,14600,33,99.77
schema19_publications,cite_total,14633,14633,0,100.00
schema19_publications,cite_recent,14633,14633,0,100.00
schema19_publications,cite_updated,14633,14633,0,100.00
schema24_pub_app_links,app_id,12598,12598,0,100.00
schema24_pub_app_links,pub_id,12598,12598,0,100.00
schema4_returned_datasets,archive_id,591,591,0,100.00
schema4_returned_datasets,application_id,591,591,0,100.00
schema4_returned_datasets,title,591,591,0,100.00
schema4_returned_datasets,availability,591,591,0,100.00
schema4_returned_datasets,personal,591,591,0,100.00
schema4_returned_datasets,notes,591,591,0,100.00
stage2_master_projects,app_id,7067,7067,0,100.00
stage2_master_projects,title,7067,7067,0,100.00
stage2_master_projects,pi,7067,3095,3972,43.80
stage2_master_projects,institution,7067,7067,0,100.00
stage2_master_projects,notes,7067,7067,0,100.00
stage2_master_projects,schema24_publication_links,7067,7067,0,100.00
stage2_master_projects,linked_publications_with_doi,7067,7067,0,100.00
stage2_master_projects,linked_publications_with_pubmed_id,7067,7067,0,100.00
stage2_master_projects,first_publication_date,7067,2497,4570,35.33
stage2_master_projects,last_publication_date,7067,2497,4570,35.33
stage2_master_projects,returned_dataset_count,7067,7067,0,100.00
stage2_master_projects,returned_dataset_personal_count,7067,7067,0,100.00
stage2_master_projects,returned_dataset_availability_values,7067,238,6829,3.37
