app_id,schema27_title,schema27_institution,schema27_pi,website_match_status,website_match_count,start_date,start_dates_all,website_url,website_urls_all,website_titles_all,match_methods
132,Prevalence of stroke and identification of associated risk factors,Western Infirmary,Dr Jonathan Hewitt,matched_one_website_record,1,2012-08-31,2012-08-31,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/,Prevalence of stroke and identification of associated risk factors,unique_normalized_title
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",University of Manchester,Dr Piers Dawes,matched_one_website_record,1,2012-09-30,2012-09-30,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 – 69 years",unique_normalized_title
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Imperial College London,Dr Lesley Rushton,matched_one_website_record,1,2012-10-01,2012-10-01,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/,Occupational risk factors for Chronic Obstructive Pulmonary Disease,unique_normalized_title
236,Genome-wide association study of blood pressure.,Imperial College London,Professor Paul Elliott,matched_one_website_record,1,2015-07-01,2015-07-01,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/,Genome-wide association study of blood pressure.,unique_normalized_title
262,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,University of Cambridge,Dr Soren Brage,matched_one_website_record,1,2013-12-01,2013-12-01,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,unique_normalized_title
270,Development of BMI specific cut offs for fat free mass index,CIRO+,Dr Martijn Spruit,matched_one_website_record,1,2012-06-01,2012-06-01,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/,Development of BMI specific cut offs for fat free mass index,unique_normalized_title
289,Development of normative values for hand grip strength,CIRO+,Dr Martijn Spruit,matched_one_website_record,1,2012-07-01,2012-07-01,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/,Development of normative values for hand grip strength,unique_normalized_title
291,Multimorbidity in participants with and without COPD,CIRO+,Dr Martijn Spruit,matched_one_website_record,1,2012-09-01,2012-09-01,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/,Multimorbidity in participants with and without COPD,unique_normalized_title
338,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,University of Edinburgh,Dr Thomas MacGillivray,matched_one_website_record,1,2013-04-15,2013-04-15,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,unique_normalized_title
408,Derivation of fitness indicators and their relation with hemodynamic factors,University of Cambridge,Dr Soren Brage,matched_one_website_record,1,2013-12-01,2013-12-01,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/,Derivation of fitness indicators and their relation with hemodynamic factors,unique_normalized_title
