website_page,website_index_on_page,website_start_date,website_start_date_text,website_title,website_institution,website_url,match_status,match_method,matched_app_id,schema27_title,schema27_institution,candidate_app_ids
1,1,2026-08-17,17 August 2026,Prod Pen Test Tier 1,"UK Biobank Ltd, Great Britain",https://www.ukbiobank.ac.uk/projects/prod-pen-test-tier-1/,matched,unique_normalized_title,1465797,Prod Pen Test Tier 1,UK Biobank Ltd,1465797
1,2,2026-07-14,14 July 2026,"Integrating Proteomics, Genomics, and Environmental Exposures to Decipher Mechanisms of Diabetic Retinopathy in the UK Biobank","University of Cambridge, Great Britain",https://www.ukbiobank.ac.uk/projects/integrating-proteomics-genomics-and-environmental-exposures-to-decipher-mechanisms-of-diabetic-retinopathy-in-the-uk-biobank/,matched,unique_normalized_title,730870,"Integrating Proteomics, Genomics, and Environmental Exposures to Decipher Mechanisms of Diabetic Retinopathy in the UK Biobank",University of Cambridge,730870
1,3,2026-04-21,21 April 2026,Imaging-Omics Foundation Model of Systemic Health and Disease in UK Biobank,"German Cancer Research Center (DKFZ), Germany",https://www.ukbiobank.ac.uk/projects/imaging-omics-foundation-model-of-systemic-health-and-disease-in-uk-biobank/,matched,unique_normalized_title,1094875,Imaging-Omics Foundation Model of Systemic Health and Disease in UK Biobank,German Cancer Research Center (DKFZ),1094875
1,4,2026-04-21,21 April 2026,"Leveraging Causal Inference Methods to Identify Molecular Links of Vascular Disease, Cognition, ADRD and Survival","University of Florida, United States of America",https://www.ukbiobank.ac.uk/projects/leveraging-causal-inference-methods-to-identify-molecular-links-of-vascular-disease-cognition-adrd-and-survival/,matched,unique_normalized_title,172017,"Leveraging Causal Inference Methods to Identify Molecular Links of Vascular Disease, Cognition, ADRD and Survival",University of Florida,172017
1,5,2026-04-21,21 April 2026,"Multi-Omics, Imaging and Clinical data Integration to Investigate the Determinants of Complex Musculoskeletal traits and their role in related diseases","Aganitha Cognitive Solutions Private Limited, India",https://www.ukbiobank.ac.uk/projects/multi-omics-imaging-and-clinical-data-integration-to-investigate-the-determinants-of-complex-musculoskeletal-traits-and-their-role-in-related-diseases/,matched,unique_normalized_title,1339089,"Multi-Omics, Imaging and Clinical data Integration to Investigate the Determinants of Complex Musculoskeletal traits and their role in related diseases",Aganitha Cognitive Solutions Private Limited,1339089
1,6,2026-04-20,20 April 2026,Sex hormones levels in morbidity and mortality in the UK Biobank,"National Cancer Institute, United States of America",https://www.ukbiobank.ac.uk/projects/sex-hormones-levels-in-morbidity-and-mortality-in-the-uk-biobank/,matched,unique_normalized_title,1273151,Sex hormones levels in morbidity and mortality in the UK Biobank,National Cancer Institute,1273151
1,7,2026-04-20,20 April 2026,To Assess the Risk of Mortality and Cardiorenal Events in the General Population and in People with Diabetes,"Fondazione IRCCS Casa Sollievo della Sofferenza, Italy",https://www.ukbiobank.ac.uk/projects/to-assess-the-risk-of-mortality-and-cardiorenal-events-in-the-general-population-and-in-people-with-diabetes/,matched,unique_normalized_title,1245359,To Assess the Risk of Mortality and Cardiorenal Events in the General Population and in People with Diabetes,Fondazione IRCCS Casa Sollievo della Sofferenza,1245359
1,8,2026-04-20,20 April 2026,Polygenic risk scores for cardiovascular disease,"Chung-Ang University, Korea (South)",https://www.ukbiobank.ac.uk/projects/polygenic-risk-scores-for-cardiovascular-disease/,matched,unique_normalized_title,1175049,Polygenic risk scores for cardiovascular disease,Chung-Ang University,1175049
1,9,2026-04-20,20 April 2026,Trajectory-Based Multimodal Risk Assessment of Type 2 Diabetes and Associated Cardiovascular and Neurological Outcomes,"SRM University-AP, India",https://www.ukbiobank.ac.uk/projects/trajectory-based-multimodal-risk-assessment-of-type-2-diabetes-and-associated-cardiovascular-and-neurological-outcomes/,matched,unique_normalized_title,1323939,Trajectory-Based Multimodal Risk Assessment of Type 2 Diabetes and Associated Cardiovascular and Neurological Outcomes,SRM University-AP,1323939
1,10,2026-04-17,17 April 2026,"Predicting First-Time Stroke Risk Through Integration of Genetic, Clinical, and Lifestyle Factors","Trinity College Dublin, Ireland",https://www.ukbiobank.ac.uk/projects/predicting-first-time-stroke-risk-through-integration-of-genetic-clinical-and-lifestyle-factors/,matched,unique_normalized_title,1110109,"Predicting First-Time Stroke Risk Through Integration of Genetic, Clinical, and Lifestyle Factors",Trinity College Dublin,1110109
