website_page,website_index_on_page,website_start_date,website_start_date_text,website_title,website_institution,website_url,match_status,candidate_app_ids,detail_fetch_status,detail_title,detail_app_id,detail_start_date_text,detail_start_date_iso_guess,detail_status,detail_pi,detail_institution,start_date_matches_listing,error
4,6,2026-04-09,9 April 2026,Hormonal History and Neuroendocrine Signatures of Alzheimer’s Disease in Women: Defining Key Predictors of Risks and Outcomes,"Temple University, United States of America",https://www.ukbiobank.ac.uk/projects/hormonal-history-and-neuroendocrine-signatures-of-alzheimers-disease-in-women-defining-key-predictors-of-risks-and-outcomes/,no_schema27_title_match,,ok,Hormonal History and Neuroendocrine Signatures of Alzheimer’s Disease in Women: Defining Key Predictors of Risks and Outcomes,1045071,9 April 2026,2026-04-09,Current,Dr Tetyana Buzhdygan,"Temple University, United States of America",true,
19,3,2026-03-05,5 March 2026,AI-Enhanced Digital Biomarkers from Wearables for Monitoring Alzheimer’s Disease and Related Dementias,"Massachusetts General Hospital, United States of America",https://www.ukbiobank.ac.uk/projects/ai-enhanced-digital-biomarkers-from-wearables-for-monitoring-alzheimers-disease-and-related-dementias/,no_schema27_title_match,,ok,AI-Enhanced Digital Biomarkers from Wearables for Monitoring Alzheimer’s Disease and Related Dementias,1083977,5 March 2026,2026-03-05,Current,Dr Sudeshna Das,"Massachusetts General Hospital, United States of America",true,
23,6,2026-02-23,23 February 2026,Association of Osteoarthritis With Risk of Parkinson’s Disease and Metabolic Disorders,"Chung-Ang University, Korea (South)",https://www.ukbiobank.ac.uk/projects/association-of-osteoarthritis-with-risk-of-parkinsons-disease-and-metabolic-disorders/,no_schema27_title_match,,ok,Association of Osteoarthritis With Risk of Parkinson’s Disease and Metabolic Disorders,1236423,23 February 2026,2026-02-23,Current,Mr Hyunmin Woo,"Chung-Ang University, Korea (South)",true,
23,10,2026-02-23,23 February 2026,Sjögren’s Syndrome and Risk of Leukoencephalopathy: A Cross-Sectional Analysis of Neuroimaging Markers in the UK Biobank,"Beijing Friendship Hospital, Capital Medical University, China",https://www.ukbiobank.ac.uk/projects/sjogrens-syndrome-and-risk-of-leukoencephalopathy-a-cross-sectional-analysis-of-neuroimaging-markers-in-the-uk-biobank/,no_schema27_title_match,,ok,Sjögren’s Syndrome and Risk of Leukoencephalopathy: A Cross-Sectional Analysis of Neuroimaging Markers in the UK Biobank,1250281,23 February 2026,2026-02-23,Current,Miss Fanxing Meng,"Beijing Friendship Hospital, Capital Medical University, China",true,
27,3,2026-02-17,17 February 2026,Prediction of progression in Parkinson’s disease,"Yale University, United States of America",https://www.ukbiobank.ac.uk/projects/prediction-of-progression-in-parkinsons-disease/,no_schema27_title_match,,ok,Prediction of progression in Parkinson’s disease,1097167,17 February 2026,2026-02-17,Current,Dr Clemens Scherzer,"Yale University, United States of America",true,
28,10,2026-02-13,13 February 2026,A Machine Learning based screening system for Alzheimer’s and dementia,"iHealthScreen Inc, United States of America",https://www.ukbiobank.ac.uk/projects/a-machine-learning-based-screening-system-for-alzheimers-and-dementia/,no_schema27_title_match,,ok,A Machine Learning based screening system for Alzheimer’s and dementia,181105,13 February 2026,2026-02-13,Current,Dr Alauddin Bhuiyan,"iHealthScreen Inc, United States of America",true,
29,10,2026-02-11,11 February 2026,Multi-omics Prediction of Parkinson’s Disease and PD Dementia,"The First Affiliated Hospital of Kunming Medical University., China",https://www.ukbiobank.ac.uk/projects/multi-omics-prediction-of-parkinsons-disease-and-pd-dementia/,no_schema27_title_match,,ok,Multi-omics Prediction of Parkinson’s Disease and PD Dementia,961200,11 February 2026,2026-02-11,Current,Dr Xinglong Yang,"The First Affiliated Hospital of Kunming Medical University., China",true,
31,8,2026-02-06,6 February 2026,Discovery of Peripheral Immune Diagnostic Biomarkers and Therapeutic Targets for Alzheimer’s Disease Based on Multi-Omics and Artificial Intelligence,"Chongqing International Institute for Immunology, China",https://www.ukbiobank.ac.uk/projects/discovery-of-peripheral-immune-diagnostic-biomarkers-and-therapeutic-targets-for-alzheimers-disease-based-on-multi-omics-and-artificial-intelligence/,no_schema27_title_match,,ok,Discovery of Peripheral Immune Diagnostic Biomarkers and Therapeutic Targets for Alzheimer’s Disease Based on Multi-Omics and Artificial Intelligence,1219922,6 February 2026,2026-02-06,Current,Dr Bo Tang,"Chongqing International Institute for Immunology, China",true,
32,8,2026-02-04,4 February 2026,"Investigating the relationship between the ATP7B gene, Wilson’s disease and Steatotic Liver Disease","University of Manchester, Great Britain",https://www.ukbiobank.ac.uk/projects/investigating-the-relationship-between-the-atp7b-gene-wilsons-disease-and-steatotic-liver-disease/,no_schema27_title_match,,ok,"Investigating the relationship between the ATP7B gene, Wilson’s disease and Steatotic Liver Disease",1129230,4 February 2026,2026-02-04,Current,Dr Stephanie Landi,"University of Manchester, Great Britain",true,
35,5,2026-01-26,26 January 2026,"Based on lifestyle / treatment plans / mental health–multi-omics / clinical characters–comorbidity axis, explore the causes and mechanisms of comorbidity","Affiliated Hospital of Nanjing University of Chinese Medicine, China",https://www.ukbiobank.ac.uk/projects/based-on-lifestyle-treatment-plans-mental-health-multi-omics-clinical-characters-comorbidity-axis-explore-the-causes-and-mechanisms-of-comorbidity/,no_schema27_title_match,,ok,"Based on lifestyle / treatment plans / mental health–multi-omics / clinical characters–comorbidity axis, explore the causes and mechanisms of comorbidity",1224279,26 January 2026,2026-01-26,Current,Professor Shijia Liu,"Affiliated Hospital of Nanjing University of Chinese Medicine, China",true,
38,7,2026-01-19,19 January 2026,An explainable deep learning framework for brain age prediction in Alzheimer’s disease,"University of Washington, United States of America",https://www.ukbiobank.ac.uk/projects/an-explainable-deep-learning-framework-for-brain-age-prediction-in-alzheimers-disease/,no_schema27_title_match,,ok,An explainable deep learning framework for brain age prediction in Alzheimer’s disease,826561,19 January 2026,2026-01-19,Current,Dr Tianyi Ren,"University of Washington, United States of America",true,
39,6,2026-01-16,16 January 2026,Understanding Human Ageing and Alzheimer’s Disease Using UK Biobank Data,"University of Rostock, Germany",https://www.ukbiobank.ac.uk/projects/understanding-human-ageing-and-alzheimers-disease-using-uk-biobank-data/,no_schema27_title_match,,ok,Understanding Human Ageing and Alzheimer’s Disease Using UK Biobank Data,1085301,16 January 2026,2026-01-16,Current,Dr Axel Kowald,"University of Rostock, Germany",true,
40,4,2026-01-15,15 January 2026,Precision Prediction of Alzheimer’s Risk in Women: LeveragingFemale-Specific Variables and Machine Learning for Risk Reduction,"Centre for Addiction and Mental Health, Canada",https://www.ukbiobank.ac.uk/projects/precision-prediction-of-alzheimers-risk-in-women-leveragingfemale-specific-variables-and-machine-learning-for-risk-reduction/,no_schema27_title_match,,ok,Precision Prediction of Alzheimer’s Risk in Women: LeveragingFemale-Specific Variables and Machine Learning for Risk Reduction,1084623,15 January 2026,2026-01-15,Current,Professor Liisa Galea,"Centre for Addiction and Mental Health, Canada",true,
42,6,2026-01-13,13 January 2026,Female-specific plasma proteomic trajectories and causal inflammatory pathways in multi-modal prediction of Alzheimer’s disease risk (PhD project),"University College London, Great Britain",https://www.ukbiobank.ac.uk/projects/female-specific-plasma-proteomic-trajectories-and-causal-inflammatory-pathways-in-multi-modal-prediction-of-alzheimers-disease-risk-phd-project/,no_schema27_title_match,,ok,Female-specific plasma proteomic trajectories and causal inflammatory pathways in multi-modal prediction of Alzheimer’s disease risk (PhD project),1029266,13 January 2026,2026-01-13,Current,Dr Huiliang Li,"University College London, Great Britain",true,
42,7,2026-01-13,13 January 2026,Stratified risk analysis of development and progression of Barrett’s oesophagus – a cohort study across UK Biobank,"University of Manchester, Great Britain",https://www.ukbiobank.ac.uk/projects/stratified-risk-analysis-of-development-and-progression-of-barretts-oesophagus-a-cohort-study-across-uk-biobank/,no_schema27_title_match,,ok,Stratified risk analysis of development and progression of Barrett’s oesophagus – a cohort study across UK Biobank,1089028,13 January 2026,2026-01-13,Current,Dr Champika Swarna Sri Saman kumara Gamakaranage,"University of Manchester, Great Britain",true,
46,8,2026-01-04,4 January 2026,"Exploring Genetic and Clinical Factors in Neurodegenerative and Functional Neurological Diseases: A Study of Alzheimer’s Disease, Parkinson’s Disease, Epilepsy, and Related Disorders Using UK Biobank","Southern Medical University, China",https://www.ukbiobank.ac.uk/projects/exploring-genetic-and-clinical-factors-in-neurodegenerative-and-functional-neurological-diseases-a-study-of-alzheimers-disease-parkinsons-disease-epilepsy-and-related-disorders-using-uk-bioban/,no_schema27_title_match,,ok,"Exploring Genetic and Clinical Factors in Neurodegenerative and Functional Neurological Diseases: A Study of Alzheimer’s Disease, Parkinson’s Disease, Epilepsy, and Related Disorders Using UK Biobank",1162548,4 January 2026,2026-01-04,Current,Dr Simin Yang,"Southern Medical University, China",true,
47,5,2026-01-03,3 January 2026,Sex-Specific Mechanisms Underlying Alzheimer’s Disease: Integrative Multi-Omics Analysis Using UK Biobank Data,"Renmin Hospital of Wuhan University, China",https://www.ukbiobank.ac.uk/projects/sex-specific-mechanisms-underlying-alzheimers-disease-integrative-multi-omics-analysis-using-uk-biobank-data/,no_schema27_title_match,,ok,Sex-Specific Mechanisms Underlying Alzheimer’s Disease: Integrative Multi-Omics Analysis Using UK Biobank Data,1134784,3 January 2026,2026-01-03,Current,Dr Jing Xiong,"Renmin Hospital of Wuhan University, China",true,
50,5,2025-12-23,23 December 2025,Construction of a Alzheimer’s Disease Risk Prediction Model for Type 2 Diabetes Patients Based on Plasma Proteomics,"Zhujiang Hospital of the Southern Medical University, China",https://www.ukbiobank.ac.uk/projects/construction-of-a-alzheimers-disease-risk-prediction-model-for-type-2-diabetes-patients-based-on-plasma-proteomics/,no_schema27_title_match,,ok,Construction of a Alzheimer’s Disease Risk Prediction Model for Type 2 Diabetes Patients Based on Plasma Proteomics,1127911,23 December 2025,2025-12-23,Current,Mr Jiashan Tu,"Zhujiang Hospital of the Southern Medical University, China",true,
53,1,2025-12-15,15 December 2025,"Integrating Neuroimaging and Genomic Data to Uncover Genetic Proxies and Predict Cognitive Decline, Differential Diagnosis, and Prognosis in Dementia and Alzheimer’s Disease.","Mohamed bin Zayed University of Artificial Intelligence, United Arab Emirates",https://www.ukbiobank.ac.uk/projects/integrating-neuroimaging-and-genomic-data-to-uncover-genetic-proxies-and-predict-cognitive-decline-differential-diagnosis-and-prognosis-in-dementia-and-alzheimers-disease/,no_schema27_title_match,,ok,"Integrating Neuroimaging and Genomic Data to Uncover Genetic Proxies and Predict Cognitive Decline, Differential Diagnosis, and Prognosis in Dementia and Alzheimer’s Disease.",1099482,15 December 2025,2025-12-15,Current,Ms Salma Hassan,"Mohamed bin Zayed University of Artificial Intelligence, United Arab Emirates",true,
57,1,2025-12-04,4 December 2025,Genetic and Molecular Evidence Linking Cellular Senescence to Alzheimer’s Disease: A Multi-Omics Mendelian Randomization Study,"Xuanwu Hospital, Capital Medical University, China",https://www.ukbiobank.ac.uk/projects/genetic-and-molecular-evidence-linking-cellular-senescence-to-alzheimers-disease-a-multi-omics-mendelian-randomization-study/,no_schema27_title_match,,ok,Genetic and Molecular Evidence Linking Cellular Senescence to Alzheimer’s Disease: A Multi-Omics Mendelian Randomization Study,1090239,4 December 2025,2025-12-04,Current,Dr Yang Liu,"Xuanwu Hospital, Capital Medical University, China",true,
58,3,2025-11-28,28 November 2025,All women are born (un)equal: examining the relationship between menopause and women’s health and labour market outcomes.,"University of Essex, Great Britain",https://www.ukbiobank.ac.uk/projects/all-women-are-born-unequal-examining-the-relationship-between-menopause-and-womens-health-and-labour-market-outcomes/,no_schema27_title_match,,ok,All women are born (un)equal: examining the relationship between menopause and women’s health and labour market outcomes.,240770,28 November 2025,2025-11-28,Current,Professor Emilia Del Bono,"University of Essex, Great Britain",true,
59,3,2025-11-28,28 November 2025,Genetic Basis of Intergenerational Differences in Age of Onset in Familial Women’s Cancer.,"Tel Aviv University, Israel",https://www.ukbiobank.ac.uk/projects/genetic-basis-of-intergenerational-differences-in-age-of-onset-in-familial-womens-cancer/,no_schema27_title_match,,ok,Genetic Basis of Intergenerational Differences in Age of Onset in Familial Women’s Cancer.,1092876,28 November 2025,2025-11-28,Current,Ms Noa Hananel,"Tel Aviv University, Israel",true,
60,1,2025-11-28,28 November 2025,Neuroscience Self-Supervised Learning for Discovery of Gene-Brain Mechanisms in Alzheimer’s Disease,"Singapore University of Technology and Design, Singapore",https://www.ukbiobank.ac.uk/projects/neuroscience-self-supervised-learning-for-discovery-of-gene-brain-mechanisms-in-alzheimers-disease/,no_schema27_title_match,,ok,Neuroscience Self-Supervised Learning for Discovery of Gene-Brain Mechanisms in Alzheimer’s Disease,1067795,28 November 2025,2025-11-28,Current,Mr Sean Chen Jiale,"Singapore University of Technology and Design, Singapore",true,
60,3,2025-11-28,28 November 2025,Developing digital sleep-wake biomarkers for early detection of Alzheimer’s disease and related dementias,"Sun Yat-Sen University, China",https://www.ukbiobank.ac.uk/projects/developing-digital-sleep-wake-biomarkers-for-early-detection-of-alzheimers-disease-and-related-dementias/,no_schema27_title_match,,ok,Developing digital sleep-wake biomarkers for early detection of Alzheimer’s disease and related dementias,1007404,28 November 2025,2025-11-28,Current,Professor Jing Liao,"Sun Yat-Sen University, China",true,
60,8,2025-11-26,26 November 2025,Vascular and lifestyle determinants of dementia in Parkinson’s disease: A UK and Single-Center Chinese Cohort Comparison.,"Xuzhou Medical University, China",https://www.ukbiobank.ac.uk/projects/vascular-and-lifestyle-determinants-of-dementia-in-parkinsons-disease-a-uk-and-single-center-chinese-cohort-comparison/,no_schema27_title_match,,ok,Vascular and lifestyle determinants of dementia in Parkinson’s disease: A UK and Single-Center Chinese Cohort Comparison.,1043373,26 November 2025,2025-11-26,Current,Miss Shalom Agunbiade,"Xuzhou Medical University, China",true,
