metric,value
schema27_application_records_raw,7078
schema27_unique_app_ids,7067
schema27_duplicate_app_ids,3
schema27_duplicate_rows_beyond_first,11
schema19_publications,14633
schema19_unique_pub_ids,14633
schema24_links,12598
schema24_unique_app_pub_pairs,12598
schema27_apps_with_linked_publication,2497
schema27_apps_without_linked_publication,4570
schema24_links_to_missing_schema27_app,0
schema24_links_to_missing_schema19_pub,0
schema4_returned_dataset_records,591
schema4_unique_archive_ids,586
schema27_apps_with_returned_dataset,238
schema4_returns_to_missing_schema27_app,46
schema27_continuation_lines_in_notes,26791
schema27_orphan_continuation_lines,0
