classification,modality_type,modality,project_count
ALREADY_RAP_BOUND,already_rap_only,OMOP_RAP_ONLY,1
ALREADY_RAP_BOUND,already_rap_only,WES,25
ALREADY_RAP_BOUND,already_rap_only,WGS,20
ALREADY_RAP_BOUND,ambiguous,GENERIC_GENETIC_LANGUAGE,38
ALREADY_RAP_BOUND,ambiguous,GENERIC_SEQUENCE_LANGUAGE,36
ALREADY_RAP_BOUND,ambiguous,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,3
MIXED,already_rap_only,OMOP_RAP_ONLY,1
MIXED,already_rap_only,WES,76
MIXED,already_rap_only,WGS,129
MIXED,ambiguous,GENERIC_GENETIC_LANGUAGE,178
MIXED,ambiguous,GENERIC_SEQUENCE_LANGUAGE,152
MIXED,ambiguous,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,10
MIXED,legacy_route,BIOMARKERS_ASSAYS,72
MIXED,legacy_route,ENVIRONMENT_GEOSPATIAL,18
MIXED,legacy_route,GENOTYPING_IMPUTATION,142
MIXED,legacy_route,IMAGING,50
MIXED,legacy_route,LINKED_HEALTH_RECORDS,31
MIXED,legacy_route,PHYSICAL_MEASURES,25
MIXED,legacy_route,QUESTIONNAIRES_ASSESSMENT,55
NEWLY_RAP_BOUND,ambiguous,GENERIC_GENETIC_LANGUAGE,3832
NEWLY_RAP_BOUND,ambiguous,GENERIC_SEQUENCE_LANGUAGE,138
NEWLY_RAP_BOUND,ambiguous,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,64
NEWLY_RAP_BOUND,legacy_route,BIOMARKERS_ASSAYS,2178
NEWLY_RAP_BOUND,legacy_route,ENVIRONMENT_GEOSPATIAL,569
NEWLY_RAP_BOUND,legacy_route,GENOTYPING_IMPUTATION,2096
NEWLY_RAP_BOUND,legacy_route,IMAGING,1580
NEWLY_RAP_BOUND,legacy_route,LINKED_HEALTH_RECORDS,432
NEWLY_RAP_BOUND,legacy_route,PHYSICAL_MEASURES,835
NEWLY_RAP_BOUND,legacy_route,QUESTIONNAIRES_ASSESSMENT,2774
UNCLEAR,ambiguous,GENERIC_GENETIC_LANGUAGE,715
UNCLEAR,ambiguous,GENERIC_SEQUENCE_LANGUAGE,44
UNCLEAR,ambiguous,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,13
