app_id,period,period_start,period_end,publication_count,any_publication,project_start_date,p1_existing_project_sample,original_stage3_classification,control_layer,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05
132,pre24,2022-07-05,2024-07-04,0,0,2012-08-31,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
132,post24,2024-07-05,2026-07-04,0,0,2012-08-31,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
166,pre24,2022-07-05,2024-07-04,0,0,2012-09-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
166,post24,2024-07-05,2026-07-04,0,0,2012-09-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
178,pre24,2022-07-05,2024-07-04,0,0,2012-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
178,post24,2024-07-05,2026-07-04,0,0,2012-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
236,pre24,2022-07-05,2024-07-04,4,1,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
236,post24,2024-07-05,2026-07-04,2,1,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
262,pre24,2022-07-05,2024-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
262,post24,2024-07-05,2026-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
270,pre24,2022-07-05,2024-07-04,0,0,2012-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
270,post24,2024-07-05,2026-07-04,0,0,2012-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
289,pre24,2022-07-05,2024-07-04,0,0,2012-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
289,post24,2024-07-05,2026-07-04,0,0,2012-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
291,pre24,2022-07-05,2024-07-04,0,0,2012-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
291,post24,2024-07-05,2026-07-04,0,0,2012-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
338,pre24,2022-07-05,2024-07-04,0,0,2013-04-15,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
338,post24,2024-07-05,2026-07-04,0,0,2013-04-15,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
408,pre24,2022-07-05,2024-07-04,2,1,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
408,post24,2024-07-05,2026-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
412,pre24,2022-07-05,2024-07-04,0,0,2012-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
412,post24,2024-07-05,2026-07-04,0,0,2012-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
431,pre24,2022-07-05,2024-07-04,0,0,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
431,post24,2024-07-05,2026-07-04,0,0,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
522,pre24,2022-07-05,2024-07-04,1,1,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
522,post24,2024-07-05,2026-07-04,0,0,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
648,pre24,2022-07-05,2024-07-04,5,1,2012-11-01,1,MIXED,C1,excluded_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed
648,post24,2024-07-05,2026-07-04,4,1,2012-11-01,1,MIXED,C1,excluded_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed
669,pre24,2022-07-05,2024-07-04,1,1,2013-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
669,post24,2024-07-05,2026-07-04,0,0,2013-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
676,pre24,2022-07-05,2024-07-04,0,0,2016-04-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
676,post24,2024-07-05,2026-07-04,0,0,2016-04-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
742,pre24,2022-07-05,2024-07-04,0,0,2016-04-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
742,post24,2024-07-05,2026-07-04,0,0,2016-04-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
761,pre24,2022-07-05,2024-07-04,0,0,2012-09-19,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
761,post24,2024-07-05,2026-07-04,0,0,2012-09-19,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
774,pre24,2022-07-05,2024-07-04,0,0,2012-11-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
774,post24,2024-07-05,2026-07-04,0,0,2012-11-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
788,pre24,2022-07-05,2024-07-04,3,1,2013-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
788,post24,2024-07-05,2026-07-04,3,1,2013-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
828,pre24,2022-07-05,2024-07-04,0,0,2015-07-13,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
828,post24,2024-07-05,2026-07-04,0,0,2015-07-13,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
837,pre24,2022-07-05,2024-07-04,0,0,2015-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
837,post24,2024-07-05,2026-07-04,0,0,2015-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
871,pre24,2022-07-05,2024-07-04,2,1,2015-05-31,1,UNCLEAR,C6,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
871,post24,2024-07-05,2026-07-04,0,0,2015-05-31,1,UNCLEAR,C6,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
885,pre24,2022-07-05,2024-07-04,1,1,2014-11-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
885,post24,2024-07-05,2026-07-04,0,0,2014-11-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1100,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
1100,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
1144,pre24,2022-07-05,2024-07-04,0,0,2012-11-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1144,post24,2024-07-05,2026-07-04,2,1,2012-11-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1159,pre24,2022-07-05,2024-07-04,0,0,2013-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1159,post24,2024-07-05,2026-07-04,0,0,2013-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1163,pre24,2022-07-05,2024-07-04,0,0,2013-09-18,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1163,post24,2024-07-05,2026-07-04,0,0,2013-09-18,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1251,pre24,2022-07-05,2024-07-04,1,1,2015-07-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
1251,post24,2024-07-05,2026-07-04,4,1,2015-07-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
1331,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1331,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1383,pre24,2022-07-05,2024-07-04,0,0,2012-12-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
1383,post24,2024-07-05,2026-07-04,0,0,2012-12-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
1417,pre24,2022-07-05,2024-07-04,0,0,2013-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1417,post24,2024-07-05,2026-07-04,0,0,2013-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1602,pre24,2022-07-05,2024-07-04,5,1,2014-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1602,post24,2024-07-05,2026-07-04,5,1,2014-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1618,pre24,2022-07-05,2024-07-04,1,1,2018-05-14,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1618,post24,2024-07-05,2026-07-04,0,0,2018-05-14,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1781,pre24,2022-07-05,2024-07-04,0,0,2014-03-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1781,post24,2024-07-05,2026-07-04,0,0,2014-03-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1969,pre24,2022-07-05,2024-07-04,0,0,2017-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1969,post24,2024-07-05,2026-07-04,0,0,2017-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1995,pre24,2022-07-05,2024-07-04,0,0,2013-03-25,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
1995,post24,2024-07-05,2026-07-04,0,0,2013-03-25,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2112,pre24,2022-07-05,2024-07-04,7,1,2013-03-04,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
2112,post24,2024-07-05,2026-07-04,3,1,2013-03-04,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
2482,pre24,2022-07-05,2024-07-04,0,0,2013-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2482,post24,2024-07-05,2026-07-04,0,0,2013-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2495,pre24,2022-07-05,2024-07-04,1,1,2015-02-23,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2495,post24,2024-07-05,2026-07-04,0,0,2015-02-23,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2532,pre24,2022-07-05,2024-07-04,4,1,2017-03-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
2532,post24,2024-07-05,2026-07-04,5,1,2017-03-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
2964,pre24,2022-07-05,2024-07-04,28,1,2015-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2964,post24,2024-07-05,2026-07-04,23,1,2015-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3028,pre24,2022-07-05,2024-07-04,0,0,2017-04-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3028,post24,2024-07-05,2026-07-04,0,0,2017-04-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
